Country Name,Country Code,2017 GDP,2017 Population,2014 Emissions,Emissions Share
Aruba,ABW,0,105264,872.746,2.415017757483511e-05
Afghanistan,AFG,20815300220.0428,35530081,9809.225,0.0002714358193810249
Angola,AGO,124209385825.22,29784193,34763.16,0.0009619482496194825
Albania,ALB,13039352743.9616,2873457,5716.853,0.00015819381024860478
Andorra,AND,3012914131.16971,76965,462.042,1.278538812785388e-05
Arab World,ARB,2591047461124.41,414491886,1895700.3207852,0.05245684239817136
United Arab Emirates,ARE,382575085091.899,9400145,211369.547,0.005848909183155758
Argentina,ARG,637590419269.324,44271041,204024.546,0.005645662100456621
Armenia,ARM,11536590635.8268,2930450,5529.836,0.00015301877219685438
American Samoa,ASM,0,55641,,0
Antigua and Barbuda,ATG,1532397555.55556,102012,531.715,1.4713343480466769e-05
Australia,AUS,1323421072479.07,24598933,361261.839,0.009996651445966514
Austria,AUT,416595666396.636,8809212,58712.337,0.0016246575342465754
Azerbaijan,AZE,40747792237.9735,9862429,37487.741,0.0010373414510400812
Burundi,BDI,3477502178.27657,10864245,440.04,1.2176560121765601e-05
Belgium,BEL,492681283049.248,11372068,93350.819,0.0025831557584982245
Benin,BEN,9273558271.64744,11175692,6318.241,0.00017483510908168442
Burkina Faso,BFA,12873114800.0165,19193382,2849.259,7.884322678843226e-05
Bangladesh,BGD,249723887765.42,164669751,73189.653,0.0020252663622526636
Bulgaria,BGR,56831518294.4397,7075991,42416.189,0.0011737189244038558
Bahrain,BHR,35307127659.5745,1492584,31338.182,0.0008671740233384069
"Bahamas, The",BHS,12162100000,395361,2416.553,6.686960933536275e-05
Bosnia and Herzegovina,BIH,18168579578.1952,3507017,22233.021,0.000615220700152207
Belarus,BLR,54442374372.5094,9507875,63497.772,0.001757077625570776
Belize,BLZ,1838000000,374681,495.045,1.3698630136986302e-05
Bermuda,BMU,0,65441,575.719,1.5930999492643328e-05
Bolivia,BOL,37508642112.8799,11051600,20410.522,0.0005647894469812279
Brazil,BRA,2055505502224.73,209288278,529808.16,0.014660578386605784
Barbados,BRB,4796845980.8226,285719,1272.449,3.52105530187722e-05
Brunei Darussalam,BRN,12128089001.5858,428697,9108.828,0.0002520547945205479
Bhutan,BTN,2511852941.17647,807610,1001.091,2.7701674277016743e-05
Botswana,BWA,17406530780.7155,2291661,7033.306,0.00019462201927955352
Central African Republic,CAF,1949411659.20453,4659080,300.694,8.320649416539828e-06
Canada,CAN,1653042795255.04,36708083,537193.498,0.014864941653982751
Central Europe and the Baltics,CEB,1450746635299.76,102727102,636385.848,0.017609741248097412
Switzerland,CHE,678887336848.252,8466017,35305.876,0.0009769660071029932
Channel Islands,CHI,0,165314,,0
Chile,CHL,277075944401.941,18054726,82562.505,0.002284627092846271
China,CHN,12237700479375,1386395000,10291926.878,0.28479289700659566
Cote d'Ivoire,CIV,40388624117.1109,24294750,11045.004,0.00030563165905631663
Cameroon,CMR,34798596482.4274,24053727,7003.97,0.00019381024860476917
"Congo, Dem. Rep.",COD,37241300948.659,81339988,4671.758,0.00012927447995941146
