run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AGO,2,1p5,NA,0.37405172515872465,1.840303017581471,4.3125423634646385
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AGO,NA,NA,3,1.6127998881276806,3.4551255236455667,3.72010310991663
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AGO,2,1p5,NA,0.37421040747237583,1.8430470365053724,4.417743072352152
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AGO,NA,NA,3,1.618747194498171,3.458248688648765,3.7004377247325557
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AGO,2,1p5,NA,0.5870152071200944,3.0480303628447305,7.453207151071589
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AGO,NA,NA,3,1.225321503792581,2.5697091995925065,2.7690985631748797
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AGO,2,1p5,NA,0.5876363367417325,3.0531848757912257,7.518939502260559
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AGO,NA,NA,3,1.2244818161366642,2.565059444150373,2.745846065425569
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AGO,2,1p5,NA,0.5496349497975168,4.324490873962922,11.679501109530507
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AGO,NA,NA,3,1.0330886282599305,1.6444222233987855,1.7931684358845097
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AGO,2,1p5,NA,1.2587650205251162,6.818095506595383,15.46143415315772
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AGO,NA,NA,3,0.605368206539771,1.392268344596785,1.4966485468346955
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AGO,2,1p5,NA,1.2189980344673788,9.021865867818898,26.127929881943665
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AGO,NA,NA,3,0.5198518095459456,0.9790920743541022,1.020022452508092
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AGO,2,1p5,NA,0.8074534507256116,4.419361267617894,10.634972377545257
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AGO,NA,NA,3,1.2372736663122585,2.586565921100566,2.7875865136419313
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,AGO,2,1p5,NA,0.8089199305774859,4.521366966939345,10.777145926359728
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,AGO,NA,NA,3,1.2362859233017665,2.582413526470746,2.7640304598911625
