run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ARE,2,1p5,NA,0.8082936163669382,10.250931447644394,28.260784160909534
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ARE,NA,NA,3,1.1240346782754043,4.6979100565572285,5.295953541949278
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ARE,2,1p5,NA,0.8103654463122387,10.397246514473247,29.451294587316532
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ARE,NA,NA,3,1.128195216878062,4.744759622191026,5.503915066466958
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ARE,2,1p5,NA,0.9864174468182718,12.845552821974602,35.948772400522685
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ARE,NA,NA,3,1.2170571412222897,4.871675181728232,5.325710058953773
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ARE,2,1p5,NA,0.990988441735449,13.079016059063514,37.683382950724635
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ARE,NA,NA,3,1.2166877975649388,4.900228955396427,5.506189745603939
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ARE,2,1p5,NA,1.016927853542428,18.120852515541088,75.39629085103688
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ARE,NA,NA,3,1.126394552383631,3.6424554273251393,3.8121703473336646
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ARE,2,1p5,NA,1.190085541447136,14.785056397537405,42.88766114202787
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ARE,NA,NA,3,0.8186316349420293,3.484253773701494,4.038804256790142
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ARE,2,1p5,NA,1.2281403956963197,21.577213615353322,95.66097985568234
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ARE,NA,NA,3,0.7719433497013234,2.7148067020902924,3.036780532147952
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ARE,2,1p5,NA,0.8291186230781611,10.653860476178071,29.439296814569467
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ARE,NA,NA,3,1.1964056662900802,4.942038417087447,5.525414941211219
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ARE,2,1p5,NA,0.8312690716142604,10.81715980847144,30.770551892113897
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ARE,NA,NA,3,1.194432323010237,4.980773206291508,5.738702767433159
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ARE,2,1p5,NA,0.7961719300168357,10.367846813812902,28.240461611457814
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ARE,NA,NA,3,1.9195707285681294,7.537691191595843,8.111764174707899
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ARE,2,1p5,NA,0.8069143427335006,14.19594677239943,56.549202395145784
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ARE,NA,NA,3,1.7731213603763218,5.482996823730448,5.693415546095561
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ARE,2,1p5,NA,0.8288551220011819,9.547957879704535,26.722923171518353
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ARE,NA,NA,3,1.1681656413654649,4.269148087609867,5.486479093607087
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ARE,2,1p5,NA,0.8453470105776516,9.54364945769715,27.25816354412347
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ARE,NA,NA,3,1.1787481334890504,4.448278932109964,5.585243348823956
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ARE,2,1p5,NA,0.8626748836644109,13.539207577627034,55.669312225299635
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ARE,NA,NA,3,1.0549206551595294,3.4252837251707433,4.176733010492758
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ARE,2,1p5,NA,1.0506889259358874,11.840608919543168,33.77056560907844
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ARE,NA,NA,3,1.1737004721287556,4.391346190183573,5.59216967811081
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ARE,2,1p5,NA,1.0701244690474898,12.010438972570375,34.52284418064339
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ARE,NA,NA,3,1.2252692425083835,4.600417088891718,5.660628477696672
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ARE,2,1p5,NA,0.9769841690514985,16.996919408463757,71.21118709798202
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ARE,NA,NA,3,1.11557771222645,3.4338345175887004,4.163509991277688
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,ARE,2,1p5,NA,1.2044298269490548,13.662324743902257,40.13132724260899
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,ARE,NA,NA,3,0.8950752446842222,3.185654276336759,4.117936225106234
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,ARE,2,1p5,NA,1.2033527104002448,13.757723393841866,41.47866591013072
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,ARE,NA,NA,3,0.8327961534717458,3.3105955619621596,4.209277094563778
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,ARE,2,1p5,NA,1.294216268110102,20.116121465813396,89.68747081695886
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,ARE,NA,NA,3,0.7481755904600725,2.600911319480956,3.206612813094547
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,ARE,2,1p5,NA,0.8593916280174282,9.964233039274324,27.713528218566985
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,ARE,NA,NA,3,1.268601782412482,4.485743468115357,5.727665314437992
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,ARE,2,1p5,NA,0.896073182929585,9.871160743717091,28.425832168137976
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,ARE,NA,NA,3,1.2627794317957424,4.68506384978314,5.846459113074144
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,ARE,2,1p5,NA,0.8387573416688369,14.031758569433409,58.04166159202934
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,ARE,NA,NA,3,1.1745823875017998,3.5724916844945964,4.352338563390823
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,ARE,2,1p5,NA,0.9043155901328075,9.503057182128481,26.729801115591364
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,ARE,NA,NA,3,1.8875895953932735,6.760465820008091,8.573672284361598
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,ARE,2,1p5,NA,0.8133505098116997,9.607093184889596,26.90977173495955
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,ARE,NA,NA,3,1.9703809324508432,7.0967460293434135,8.66665535704722
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,ARE,2,1p5,NA,0.8037722422514398,13.468315383630461,52.64784948966061
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,ARE,NA,NA,3,1.766410532371869,5.1565905288534815,6.270293926709913
bhm_lr,estimates,expected,SSP1,rcp45,1,ARE,2,1p5,NA,NA,9.700899287340697,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,ARE,NA,NA,3,NA,4.631243657366607,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,ARE,2,1p5,NA,NA,9.826189687239586,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,ARE,NA,NA,3,NA,4.664700243197457,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,ARE,2,1p5,NA,NA,12.138737798750622,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,ARE,NA,NA,3,NA,4.817616512828221,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,ARE,2,1p5,NA,NA,12.325754993604223,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,ARE,NA,NA,3,NA,4.833687698409217,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,ARE,2,1p5,NA,NA,16.68133725977909,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,ARE,NA,NA,3,NA,3.6194706660925884,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,ARE,2,1p5,NA,NA,13.95839425449149,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,ARE,NA,NA,3,NA,3.428316809090542,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,ARE,2,1p5,NA,NA,19.854487267747977,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,ARE,NA,NA,3,NA,2.684537748474488,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,ARE,2,1p5,NA,NA,10.064262282612876,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,ARE,NA,NA,3,NA,4.872229088474778,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,ARE,2,1p5,NA,NA,10.20278901839501,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,ARE,NA,NA,3,NA,4.9028900459737175,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,ARE,2,1p5,NA,NA,9.696349758370689,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,ARE,NA,NA,3,NA,7.480383465696009,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,ARE,2,1p5,NA,NA,13.153447951613586,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,ARE,NA,NA,3,NA,5.538067537488973,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,ARE,2,1p5,NA,7.0325389353898355,8.681032845958171,12.878656611134923
bhm_lr,estimates,uncertain,SSP1,rcp45,315,ARE,NA,NA,3,3.853790546385959,4.489111186173294,5.420098640114996
