run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AUS,2,1p5,NA,2.7315052129009207,10.765659131770137,22.09974127420317
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AUS,NA,NA,3,3.9007781619440056,8.807873333099993,10.968838187556537
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AUS,2,1p5,NA,2.7537917608686007,11.012981976750316,22.634141171688512
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AUS,NA,NA,3,3.85488223025129,8.667469978282773,10.754759317649512
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AUS,2,1p5,NA,3.000911115780998,12.01831342796584,23.872718347634876
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AUS,NA,NA,3,3.382654911755413,7.6508628550138775,9.546566085913602
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AUS,2,1p5,NA,3.0356995709337973,12.377827606048674,24.555722306606462
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AUS,NA,NA,3,3.3614321140690153,7.529235625364048,9.358794251582182
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AUS,2,1p5,NA,3.265860066351689,14.654856165168582,32.34502948306962
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AUS,NA,NA,3,3.138209401365785,6.159376343587372,7.0536696190266
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AUS,2,1p5,NA,2.227367619740711,8.613746888596625,16.54991090430976
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AUS,NA,NA,3,1.8437129688456702,4.360539991683063,5.6699030656339895
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AUS,2,1p5,NA,2.444426257672252,10.129470091171436,22.09989323031462
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AUS,NA,NA,3,1.729883614127842,3.6723252117442433,4.493950690257271
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AUS,2,1p5,NA,2.2855438634365393,8.85138692255757,18.381038712328422
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AUS,NA,NA,3,3.6897213856647086,8.358476082110696,10.438976845626545
