run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,BEN,2,1p5,NA,0.015176777973838424,0.1003919787314136,0.21699265821786462
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,BEN,NA,NA,3,0.5760650312216922,1.5561334534810867,1.7004204805808323
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,BEN,2,1p5,NA,0.015061968316039471,0.09926802598670607,0.2151175820904173
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,BEN,NA,NA,3,0.5758310740674508,1.5815296014635742,1.714181658096701
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,BEN,2,1p5,NA,0.023252046682089182,0.1587129378333742,0.3577041688995302
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,BEN,NA,NA,3,0.3772376970749726,0.9883253662882875,1.082634149569118
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,BEN,2,1p5,NA,0.02308593857400123,0.15657473497772634,0.3557674719368728
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,BEN,NA,NA,3,0.3769610610500193,0.9993374174102131,1.08732523261981
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,BEN,2,1p5,NA,0.02311189458737702,0.19399547667743858,0.6565124693188666
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,BEN,NA,NA,3,0.3096820250819731,0.6017553584886988,0.6833467774584772
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,BEN,2,1p5,NA,0.04268884616835703,0.32867854789602635,0.868146784350897
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,BEN,NA,NA,3,0.13693939338171002,0.4004984143943669,0.43177834454273173
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,BEN,2,1p5,NA,0.04280210160493156,0.4731303701717267,1.4169300270619953
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,BEN,NA,NA,3,0.11732009076474033,0.2646419639451637,0.2841640983951075
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,BEN,2,1p5,NA,0.055353955553581476,0.46571399758750387,1.1065027789001898
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,BEN,NA,NA,3,0.09116082129751427,0.27972674778835765,0.30746713951076626
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,BEN,2,1p5,NA,0.055180187579690516,0.4736374291618871,1.1141471948670667
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,BEN,NA,NA,3,0.09239429363553649,0.28319412253034953,0.3177229966976664
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,BEN,2,1p5,NA,0.013093389953474355,0.0851655695650665,0.17987078068237572
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,BEN,NA,NA,3,0.9484774169350643,2.498531975715089,2.741227710002224
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,BEN,2,1p5,NA,0.01322545494735906,0.09801406955971012,0.26637373857882674
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,BEN,NA,NA,3,0.7764234089444787,1.5132743708404108,1.7271388174724536
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,BEN,2,1p5,NA,0.014167710597676762,0.09271127183649913,0.2174135950235556
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,BEN,NA,NA,3,0.5290260177430002,1.4335707254929209,1.8487245753134547
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,BEN,2,1p5,NA,0.014513204411153603,0.08766314679926966,0.20041138244885032
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,BEN,NA,NA,3,0.5269663393446553,1.4301344421655928,1.7077686357440132
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,BEN,2,1p5,NA,0.014500166139050448,0.10949173642348942,0.34361918221140736
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,BEN,NA,NA,3,0.45508616519914796,0.9216580036935451,1.1649726514938386
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,BEN,2,1p5,NA,0.022040658259506758,0.14699102547641765,0.35692736451206725
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,BEN,NA,NA,3,0.3488809627648805,0.9152703661310742,1.1830567455960772
