run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,BGD,2,1p5,NA,0.3135081734057238,1.3300890074971832,2.589430542522377
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,BGD,NA,NA,3,5.826424385725805,14.471869924052514,17.069485792790687
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,BGD,2,1p5,NA,0.3128323533736309,1.2985904681836735,2.499243609422721
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,BGD,NA,NA,3,5.963230229721457,14.982039132730435,18.23813466695078
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,BGD,2,1p5,NA,0.4443127747004542,1.9093531222129478,3.8060950506142057
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,BGD,NA,NA,3,4.618674284157994,11.238882937251436,12.941286852654331
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,BGD,2,1p5,NA,0.43987583405473196,1.867869557641583,3.667492913566533
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,BGD,NA,NA,3,4.745714812394922,11.624347750759203,13.867813516856422
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,BGD,2,1p5,NA,0.4474732465557006,2.1866307043285853,5.357265966219608
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,BGD,NA,NA,3,3.979520451407747,8.367122798237133,8.830260431418777
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,BGD,2,1p5,NA,0.853459807368936,3.975077893426675,9.000321093683542
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,BGD,NA,NA,3,2.4713297850969504,6.195191773369293,7.4234345683213485
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,BGD,2,1p5,NA,0.8582081308647549,5.21064427530987,12.911849745159467
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,BGD,NA,NA,3,2.1762885378389667,4.869485073785883,5.296206670648353
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,BGD,2,1p5,NA,0.6221847734971191,2.884805806064059,6.122687724593246
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,BGD,NA,NA,3,1.1713629490827797,3.1254383105573327,4.036829301229695
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,BGD,2,1p5,NA,0.6067851996821946,2.8233534159405926,5.923936193711947
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,BGD,NA,NA,3,1.1829876557758798,3.2464182972296545,4.292656963731668
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,BGD,2,1p5,NA,0.25976161316222024,1.0865161655965525,2.073906109764371
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,BGD,NA,NA,3,8.395662084392043,20.57928472280985,23.815572680355885
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,BGD,2,1p5,NA,0.26247947923623705,1.1932767776928612,2.609419275219116
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,BGD,NA,NA,3,7.244832586862056,15.411882564328293,16.30652505674211
