run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BHS,1,0p7,NA,0.04239238028907304,0.2172025435061241,0.3322418644796202
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BHS,1,1p5,NA,0.02297218640737187,0.19488467062791345,0.45257392114682693
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BHS,2,0p7,NA,0.021051827454658126,0.10475556446605473,0.16235926696739672
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BHS,2,1p5,NA,0.012591256771522438,0.09337819694835926,0.20458345023331556
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BHS,NA,NA,3,0.018267843918736783,0.06547342018158112,0.08296852249662406
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BHS,NA,NA,5,0.006903785502785868,0.028000487004244616,0.03888432786677722
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BHS,1,0p7,NA,0.04227784238338197,0.21810471281854243,0.3343546713023673
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BHS,1,1p5,NA,0.02282655629743741,0.19415044927603275,0.4472743842879358
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BHS,2,0p7,NA,0.02097407876642064,0.10558679056605452,0.16381630081626836
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BHS,2,1p5,NA,0.012490574137714894,0.09217377584209423,0.20083996578652774
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BHS,NA,NA,3,0.01825124811427622,0.06731830495866661,0.08714147566415481
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BHS,NA,NA,5,0.0069050608570380865,0.028801018898047256,0.04077843196778412
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BHS,1,0p7,NA,0.05221880863227535,0.26604443474256223,0.40089323618248207
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BHS,1,1p5,NA,0.030836423169636015,0.2699934320303022,0.6161501160396047
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BHS,2,0p7,NA,0.02485399662457779,0.12265181509615859,0.188442410160303
