run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,BOL,2,1p5,NA,0.08491824544101668,0.3117749613373066,0.6594767982908939
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,BOL,NA,NA,3,0.8344888002964043,1.5741107158001002,1.6930154118948089
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,BOL,2,1p5,NA,0.08535518073312401,0.31200587260788587,0.6652607270777865
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,BOL,NA,NA,3,0.8326385444615103,1.5875994180948219,1.715283377180697
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,BOL,2,1p5,NA,0.12270792273204481,0.4655848592409677,1.0284432011351046
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,BOL,NA,NA,3,0.824913076086938,1.5015691127353072,1.6101031169257307
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,BOL,2,1p5,NA,0.12329620351133737,0.4662814569760378,1.0461863781850036
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,BOL,NA,NA,3,0.8257753581744468,1.5121720479215894,1.615972322411957
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,BOL,2,1p5,NA,0.12608254007174666,0.6351177285450849,1.7513030932575906
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,BOL,NA,NA,3,0.7107981709208636,0.9995261176212147,1.0704032973178108
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,BOL,2,1p5,NA,0.29116458764465203,1.2817420528141872,3.000251126957754
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,BOL,NA,NA,3,0.5834539732508832,1.080425863112409,1.158706398345969
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,BOL,2,1p5,NA,0.3178647187472018,1.8645526018535064,4.9407656715156305
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,BOL,NA,NA,3,0.5053992103542393,0.7405158395304314,0.7828185075349731
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,BOL,2,1p5,NA,0.19031918993100164,0.7583041289552372,1.7864174282422252
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,BOL,NA,NA,3,0.9819793464830775,1.7201754999483616,1.8425460540131076
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,BOL,2,1p5,NA,0.19116902601928262,0.7632683571131159,1.8426383253367127
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,BOL,NA,NA,3,0.9836338870558582,1.721608202097969,1.8358792482381812
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,BOL,2,1p5,NA,0.06641751383338615,0.2365263492189718,0.4795236663413262
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,BOL,NA,NA,3,1.085565862525167,1.9957728841880453,2.1442954062919464
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,BOL,2,1p5,NA,0.06753258504176678,0.2905200715310775,0.7690002221673765
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,BOL,NA,NA,3,0.9373064648137407,1.3402580246677511,1.4332510386792912
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,BOL,2,1p5,NA,0.07610267568957274,0.29160257355931046,0.6531115501767181
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,BOL,NA,NA,3,0.7706709346567988,1.4359297494852274,1.800263147717741
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,BOL,2,1p5,NA,0.07490605902479394,0.28412044492143507,0.6336680615793062
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,BOL,NA,NA,3,0.767097889397198,1.4512986448611425,1.7236646571554572
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,BOL,2,1p5,NA,0.08269918047845401,0.36809295068267667,1.1264320075720966
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,BOL,NA,NA,3,0.6749632819158016,1.0320868542382429,1.2391224202738276
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,BOL,2,1p5,NA,0.11268082712732949,0.43584875135968204,1.017147217028112
