run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BRA,1,0p7,NA,15.178309666094151,53.9020147223388,86.7627238199853
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BRA,1,1p5,NA,5.1643691595810095,26.573101571140985,68.12767340691089
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BRA,2,0p7,NA,7.964645441547718,27.65303130464649,43.28641259348743
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BRA,2,1p5,NA,3.1446156115982884,14.912328232875236,33.33107376198774
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BRA,NA,NA,3,10.957726677745441,27.129409367762012,32.117844595007426
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BRA,NA,NA,5,3.946243093903781,10.91996360369331,14.313831335429382
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BRA,1,0p7,NA,15.194747057004285,54.00625269740967,87.47818424293008
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BRA,1,1p5,NA,5.171066030636373,26.895718384946232,70.92703662468053
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BRA,2,0p7,NA,7.955115023157058,27.562599317938492,43.61070178221273
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BRA,2,1p5,NA,3.1764451101287094,14.79806106200387,33.83040144106477
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BRA,NA,NA,3,10.990263388310488,27.34380817206158,32.970750241550945
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BRA,NA,NA,5,3.973593909899436,11.0992048537755,14.775081807100982
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BRA,1,0p7,NA,17.334240414627907,62.243636717512594,97.1008298532438
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BRA,1,1p5,NA,7.614859292383183,42.631021904671655,108.25541122805251
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BRA,2,0p7,NA,8.675932530057324,30.19263023302433,46.38688101181917
