run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CHL,2,1p5,NA,0.15271476327821687,1.0903401245472644,2.4970542983602355
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CHL,NA,NA,3,0.5318619920718147,2.3652342362564927,3.393395283612233
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CHL,2,1p5,NA,0.14196135062792983,1.0847248435268375,2.4857051787186437
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CHL,NA,NA,3,0.5207214475526395,2.380905953710432,3.4689858616931053
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CHL,2,1p5,NA,0.1878638030551304,1.335914306528911,3.108198675647887
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CHL,NA,NA,3,0.574026588330158,2.488546550419803,3.496728483343756
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CHL,2,1p5,NA,0.17618913353069432,1.3285505280914556,3.098428968713134
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CHL,NA,NA,3,0.566397761772743,2.4976603626405356,3.559088585306738
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CHL,2,1p5,NA,0.21378069359264287,1.5785331893445245,4.203515532758669
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CHL,NA,NA,3,0.6360557264915436,2.083341769503536,2.6029750847705544
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CHL,2,1p5,NA,0.31089530968706963,2.295568730567805,5.46366620802071
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CHL,NA,NA,3,0.41330770382493076,1.8188355656566533,2.5894743883001508
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CHL,2,1p5,NA,0.37678724127191054,2.849155082197216,7.021269051497528
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CHL,NA,NA,3,0.4574421984346228,1.5450802253941927,1.9736308045603466
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CHL,2,1p5,NA,0.16448752396126864,1.178826090606609,2.7183584549822872
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CHL,NA,NA,3,0.4573882419762083,2.026345052967441,2.8990009881777383
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CHL,2,1p5,NA,0.15304846221725607,1.17212339731166,2.707204502861418
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CHL,NA,NA,3,0.45057682174804226,2.037606229107198,2.9614627999333547
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CHL,2,1p5,NA,0.13407616301108727,0.9411131032240299,2.092021319412944
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CHL,NA,NA,3,0.75244017643157,3.2668786690114455,4.587570001530569
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CHL,2,1p5,NA,0.15074047101051258,1.0723913563753882,2.7580324300087153
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CHL,NA,NA,3,0.8354022472110758,2.7368674137353355,3.4089055337021983
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,CHL,2,1p5,NA,0.13879243462254787,0.9910920432486451,2.4034430442724846
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,CHL,NA,NA,3,0.4475333284392812,2.17702835526024,3.3326979396309953
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,CHL,2,1p5,NA,0.1257575539920935,0.9627697262947741,2.26340578045417
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,CHL,NA,NA,3,0.4268612412884846,2.1522278018342003,3.2704714049599204
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,CHL,2,1p5,NA,0.15847579511908755,1.1645856072386924,3.3175947122032583
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,CHL,NA,NA,3,0.5517783944186129,1.9164234162556053,2.644745580219781
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,CHL,2,1p5,NA,0.15455554249116601,1.1986301678803144,2.9847269196341712
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,CHL,NA,NA,3,0.4998635001929936,2.2980755279705942,3.4165501979033657
bhm_lr,bootstrap,uncertain,SSP2,rcp60,194805,CHL,2,1p5,NA,0.1496039563534223,1.1641964465654198,2.7991818182217023
bhm_lr,bootstrap,uncertain,SSP2,rcp60,194805,CHL,NA,NA,3,0.47958381050191917,2.271087070238918,3.3653251821272483
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,CHL,2,1p5,NA,0.1998681319250325,1.4266101839523002,4.170647763972109
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,CHL,NA,NA,3,0.5660872058928123,1.9877694432554944,2.644553656833689
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,CHL,2,1p5,NA,0.2693800848573383,2.077805250608034,5.263443434458818
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,CHL,NA,NA,3,0.3494031279032705,1.6775452256266763,2.541100889566867
bhm_lr,bootstrap,uncertain,SSP3,rcp60,194805,CHL,2,1p5,NA,0.24825510340262977,1.9673892732302622,4.934750997526455
bhm_lr,bootstrap,uncertain,SSP3,rcp60,194805,CHL,NA,NA,3,0.35365916334131225,1.6617404788046664,2.4916674816799125
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,CHL,2,1p5,NA,0.31520781822519633,2.5681512205756927,6.994470650872241
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,CHL,NA,NA,3,0.4140137608328133,1.472132821725128,2.0045545052509413
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,CHL,2,1p5,NA,0.1373574287957579,1.060764640177811,2.6005649166645353
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,CHL,NA,NA,3,0.39062389806510517,1.8761995867381636,2.8522439449517316
bhm_lr,bootstrap,uncertain,SSP4,rcp60,194805,CHL,2,1p5,NA,0.13982531402832377,1.028095276364713,2.4534509936213373
