run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CIV,1,0p7,NA,0.39384469729972427,2.190543225358028,3.579015647595187
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CIV,1,1p5,NA,0.04186174788826351,0.33358840572832904,0.83941926124995625
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CIV,2,0p7,NA,0.21242308681940894,1.1531441034477121,1.8474087386718248
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CIV,2,1p5,NA,0.02734178027550519,0.20612448505250008,0.47876195880275874
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CIV,NA,NA,3,1.0157040598404208,3.302976253161202,3.580012614474101
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CIV,NA,NA,5,0.2976994639802144,1.1148659966498367,1.317138706985594
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CIV,1,0p7,NA,0.39865116357915803,2.2006696604014007,3.607569791516886
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CIV,1,1p5,NA,0.042053468646740345,0.33158715347973666,0.8385268822978549
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CIV,2,0p7,NA,0.21594938791500948,1.1592889818508771,1.8639667812403204
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CIV,2,1p5,NA,0.02809609767861839,0.20421792427498345,0.4738087492020487
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CIV,NA,NA,3,1.029423638336083,3.406223168091428,3.6712886966467524
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CIV,NA,NA,5,0.3046994473061419,1.141726369813603,1.3896170147328117
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CIV,1,0p7,NA,0.46234865932159797,2.5903350629586583,4.261399807831672
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CIV,1,1p5,NA,0.05945956829387461,0.4862227786542936,1.2729760297817436
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CIV,2,0p7,NA,0.24002149880549548,1.3150754990343119,2.1090134002441916
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CIV,2,1p5,NA,0.03761107310426714,0.29013221100227193,0.6948346379838028
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CIV,NA,NA,3,0.9324469258813718,2.9049585853033384,3.158152610461377
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CIV,NA,NA,5,0.2589248391823499,0.9487885886800856,1.0943792481621841
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CIV,1,0p7,NA,0.46727617352089246,2.6017345620884376,4.294404835097677
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CIV,1,1p5,NA,0.059077406195115936,0.48343080485222034,1.276824025955906
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CIV,2,0p7,NA,0.2438341394571209,1.322416926701174,2.1272835178471765
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CIV,2,1p5,NA,0.03837146746760996,0.28754437495532453,0.6888006492759859
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CIV,NA,NA,3,0.9431592227738548,2.971697505810632,3.2217710409108795
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CIV,NA,NA,5,0.26454266244545005,0.9702541695558213,1.1551359903341578
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CIV,1,0p7,NA,0.374913496268971,2.4765553279679993,4.080836821061362
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CIV,1,1p5,NA,0.049817290009619576,0.644637735413648,3.2012549318430215
