run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,COG,2,1p5,NA,0.030769193283517293,0.21818917385603548,0.5311583161566378
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,COG,NA,NA,3,0.33287710730243963,0.9367567693501752,1.0074643821181413
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,COG,2,1p5,NA,0.030808552645431878,0.21930542699574,0.54174737343867
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,COG,NA,NA,3,0.33190059462754123,0.9469037490743882,1.0163062235136815
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,COG,2,1p5,NA,0.04184042677832891,0.30585054268519485,0.7805917864747438
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,COG,NA,NA,3,0.2922495135882816,0.79144955034103,0.8512237777671517
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,COG,2,1p5,NA,0.041814578168704555,0.3094669759341935,0.8025264407912851
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,COG,NA,NA,3,0.29133522608232787,0.7970804469290572,0.8535658671663832
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,COG,2,1p5,NA,0.04392779716619938,0.42339066530492503,1.381675312359424
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,COG,NA,NA,3,0.25511021857453103,0.5178831586396541,0.5592016561660761
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,COG,2,1p5,NA,0.07268884010808505,0.6239333633976211,1.5592224350509412
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,COG,NA,NA,3,0.171483782270435,0.49422759815011846,0.5323786606860677
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,COG,2,1p5,NA,0.07659744494897096,0.8651610427107552,2.734770274009516
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,COG,NA,NA,3,0.15349355224261022,0.3417304080744695,0.35961825989639457
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,COG,2,1p5,NA,0.08052177251549658,0.703990758894389,1.7115584541503273
