run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CUB,2,1p5,NA,0.03808903320262909,0.24849273531478597,0.5389348838900414
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CUB,NA,NA,3,0.18007646536041344,0.6227133925615921,0.766218051737032
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CUB,2,1p5,NA,0.03758083292692403,0.24361939560144844,0.5242508099233913
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CUB,NA,NA,3,0.17983219443054588,0.641019885372425,0.809081701259027
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CUB,2,1p5,NA,0.04450811032177664,0.297249473767545,0.667929045876506
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CUB,NA,NA,3,0.15079178717504296,0.5097208871723108,0.6177065735417948
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CUB,2,1p5,NA,0.04396376268537329,0.29163997394649327,0.6507733800692114
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CUB,NA,NA,3,0.15067288681986576,0.5245112805779454,0.6509174876290915
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CUB,2,1p5,NA,0.04649021485042815,0.35972935912850257,0.9456739005696699
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CUB,NA,NA,3,0.1376508199618776,0.40191158217485196,0.4490334674981444
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CUB,2,1p5,NA,0.0691721951060745,0.5174945782107625,1.171238583457797
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CUB,NA,NA,3,0.10957049651244666,0.3750572005759585,0.46040972591874274
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CUB,2,1p5,NA,0.07146753698527629,0.6427325707648942,1.717886616011565
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CUB,NA,NA,3,0.09987313944458717,0.298992087846302,0.34259162817763933
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CUB,2,1p5,NA,0.038935075065103325,0.25548058518079064,0.5604943075555346
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CUB,NA,NA,3,0.12906504195508015,0.44463828823498713,0.5481657300718038
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CUB,2,1p5,NA,0.0388127465434396,0.2503960902360316,0.5450616495618741
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CUB,NA,NA,3,0.12895383274472633,0.4580815932151499,0.5778592600159672
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CUB,2,1p5,NA,0.031064688968955815,0.19699613544369035,0.40946123389434286
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CUB,NA,NA,3,0.23852024066120212,0.809538300893465,0.9804162559032595
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CUB,2,1p5,NA,0.03211543377044408,0.22204112616310306,0.578908068026621
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CUB,NA,NA,3,0.21803343955376608,0.6388918268857542,0.7078675625633044
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,CUB,2,1p5,NA,0.037916111874501356,0.2354473548311939,0.5349756145079452
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,CUB,NA,NA,3,0.170777101654205,0.5857551921870886,0.7832182476962288
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,CUB,2,1p5,NA,0.03842583507018307,0.21966458477188278,0.4958819360005655
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,CUB,NA,NA,3,0.16943257372996315,0.5931958011261923,0.7917438002438927
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,CUB,2,1p5,NA,0.038011980962531146,0.27760817203677557,0.7678528451938149
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,CUB,NA,NA,3,0.16376144177007648,0.478496287807315,0.5986620273895014
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,CUB,2,1p5,NA,0.045603435834738935,0.2819859861541603,0.6676526528510368
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,CUB,NA,NA,3,0.1477104716256793,0.47911940378568124,0.6378501129442395
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,CUB,2,1p5,NA,0.04292322730135148,0.2626525860720756,0.6175898073618599
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,CUB,NA,NA,3,0.14701697788870458,0.4824074692382111,0.6383159964289841
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,CUB,2,1p5,NA,0.04552646992605052,0.34233395962576885,0.94384978610188075
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,CUB,NA,NA,3,0.13105807689139637,0.3827395609061995,0.47699479846905246
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,CUB,2,1p5,NA,0.07372650609449743,0.48447131311451064,1.1663162580543793
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,CUB,NA,NA,3,0.1062706963927925,0.3537514030997245,0.47254646689454416
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,CUB,2,1p5,NA,0.0653284012867976,0.4510277265279003,1.0885455168014881
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,CUB,NA,NA,3,0.09849169374876095,0.3573020928990255,0.4750397521179617
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,CUB,2,1p5,NA,0.07029428945063547,0.612126793592643,1.7167819221380545
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,CUB,NA,NA,3,0.10047773751494006,0.2873213398791098,0.36021293610860405
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,CUB,2,1p5,NA,0.040157701502803976,0.24219287258679253,0.5575139892580566
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,CUB,NA,NA,3,0.12904174847387773,0.4204411686099135,0.5617460672533717
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,CUB,2,1p5,NA,0.0373861419272771,0.22288605391826793,0.5132218665404081
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,CUB,NA,NA,3,0.12592528515480889,0.42335847770141843,0.5660246729165292
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,CUB,2,1p5,NA,0.037680210383860435,0.2879797104438513,0.7730591022783807
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,CUB,NA,NA,3,0.12049038404382557,0.3424112105215956,0.42895378139895046
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,CUB,2,1p5,NA,0.03162233847183746,0.18773505585384956,0.4090261045041926
