run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CZE,2,1p5,NA,0.03890168605911261,1.8064627888270424,5.222989870539128
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CZE,NA,NA,3,0.15100463474828732,2.3949722589379974,3.107649183516848
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CZE,2,1p5,NA,0.03790654334180035,1.8368002802386554,5.374788875817331
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CZE,NA,NA,3,0.15337550019663188,2.360815699464022,3.0718630656869794
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CZE,2,1p5,NA,0.03589572924022784,1.726032489057896,5.005545455382768
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CZE,NA,NA,3,0.14843052369431317,2.321507554230424,2.9818329382745983
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CZE,2,1p5,NA,0.035412629984769024,1.752061741061056,5.147840680822453
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CZE,NA,NA,3,0.151082161480316,2.292863314306664,2.95028016290115
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CZE,2,1p5,NA,0.10724007634566401,2.1352494986924597,6.658831255345337
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CZE,NA,NA,3,0.33532199495557774,1.931856336828203,2.22951235155261
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CZE,2,1p5,NA,0.02786949668273551,1.3588381902975704,3.6677615308944427
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CZE,NA,NA,3,0.07563951163113838,1.3746370849645644,1.905960169460322
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CZE,2,1p5,NA,0.07648504988108477,1.6239509881958163,4.77009815533409
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CZE,NA,NA,3,0.16562918786211997,1.1879316948079965,1.528536242691405
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CZE,2,1p5,NA,0.030023215897408133,1.434654003020042,4.101895196474808
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CZE,NA,NA,3,0.13529403657996397,2.1892250700203073,2.8769494562635685
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CZE,2,1p5,NA,0.02994488874197928,1.4524944404987556,4.201532058715665
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CZE,NA,NA,3,0.13706599543030654,2.16445104650186,2.846001022848258
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CZE,2,1p5,NA,0.044482556567924714,1.9558617647269598,5.743678136092331
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CZE,NA,NA,3,0.2839535284331723,4.093490616970124,4.880437962900053
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CZE,2,1p5,NA,0.12773805476348343,2.3834244273388228,8.085746336442227
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CZE,NA,NA,3,0.6930467533037071,3.209009215733931,3.481560956407611
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,CZE,2,1p5,NA,0.040748868959274986,1.6794585642136812,5.062638297606565
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,CZE,NA,NA,3,0.14222432287039322,2.1270361179041894,3.26496198485307
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,CZE,2,1p5,NA,0.03636499190280551,1.6480327591689368,5.034201029605077
