run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,DJI,2,1p5,NA,0.00167448386890294,0.018748939584361513,0.05248768670847219
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,DJI,NA,NA,3,0.027026563589252726,0.10013943006437412,0.10876475538424746
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,DJI,2,1p5,NA,0.0016906191858340725,0.018355229640404522,0.05112734632609897
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,DJI,NA,NA,3,0.02684634154358492,0.10630826691031771,0.11474394747553035
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,DJI,2,1p5,NA,0.0020305933408981047,0.023067359699488355,0.0667353614703666
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,DJI,NA,NA,3,0.02664785133514269,0.09380930005795496,0.10240360887313134
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,DJI,2,1p5,NA,0.0020350243753105655,0.022614871455788933,0.06504330033607857
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,DJI,NA,NA,3,0.026483085627354956,0.09922458772701313,0.10728388011044412
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,DJI,2,1p5,NA,0.0019618287416944126,0.030708103443855814,0.12314150362740818
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,DJI,NA,NA,3,0.022765895723101663,0.06256737466038184,0.06922489636288673
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,DJI,2,1p5,NA,0.0030915913385409196,0.040237591742953174,0.12475078055366864
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,DJI,NA,NA,3,0.01496027527979025,0.05781541295614875,0.06222287996657885
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,DJI,2,1p5,NA,0.002872687090222135,0.05996164779606917,0.22478437890535105
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,DJI,NA,NA,3,0.012922099853325722,0.04084118265128347,0.04341971421841341
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,DJI,2,1p5,NA,0.0030057593309798635,0.03851963641172665,0.11981864871329743
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,DJI,NA,NA,3,0.01542646062276592,0.05864738110635224,0.06315051936633218
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,DJI,2,1p5,NA,0.003010264288351984,0.03782851879225279,0.11706330202654226
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,DJI,NA,NA,3,0.015321870683539726,0.062238194363594464,0.06666861725008141
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,DJI,2,1p5,NA,0.0014605453263469806,0.0157232246391734,0.041340634104527256
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,DJI,NA,NA,3,0.03931518864178966,0.13814685273205904,0.1511769558510225
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,DJI,2,1p5,NA,0.0014455317062943604,0.019300395470892854,0.07861149620659112
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,DJI,NA,NA,3,0.03363313946209032,0.09149004735024152,0.10201401712860815
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,DJI,2,1p5,NA,0.0015694030854984556,0.01775901885552663,0.049832376857948696
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,DJI,NA,NA,3,0.02461949340035514,0.09303666897375255,0.11799351632557784
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,DJI,2,1p5,NA,0.0015430426859925775,0.01651574421214224,0.04460235416931425
