run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ECU,2,1p5,NA,0.16811945440807902,0.6437200780061617,1.3070394857438958
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ECU,NA,NA,3,0.9076757276942273,1.9889846580983754,2.3092122555501806
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ECU,2,1p5,NA,0.16808337858712402,0.6372562154209597,1.295508283729242
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ECU,NA,NA,3,0.9224482245882397,2.022174284254984,2.3878128093961757
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ECU,2,1p5,NA,0.2285108885757815,0.9011167195734703,1.8931701729251549
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ECU,NA,NA,3,0.8608092490837698,1.8531593832050939,2.110180619508851
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ECU,2,1p5,NA,0.228342751699466,0.8913348442740999,1.8817122531526924
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ECU,NA,NA,3,0.8693614125056819,1.8865646604006945,2.1859635620772364
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ECU,2,1p5,NA,0.22876697142806096,1.134018860393093,2.7823980591186994
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ECU,NA,NA,3,0.7547934002199452,1.3921293145893436,1.4658576850022138
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ECU,2,1p5,NA,0.4762593196319507,2.1281305558196792,4.468121402814087
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ECU,NA,NA,3,0.6266523973695821,1.362474703484998,1.5779990821729142
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ECU,2,1p5,NA,0.4899065444244258,2.704002356224762,6.3422337083808165
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ECU,NA,NA,3,0.5488671809155978,1.0503081976776534,1.1108680836982927
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ECU,2,1p5,NA,0.20984631926049785,0.8229833650551678,1.7242288011993712
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ECU,NA,NA,3,0.6634629623599035,1.458842630619548,1.7044551053250692
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ECU,2,1p5,NA,0.20973288444328206,0.8166274645249897,1.713161761869728
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ECU,NA,NA,3,0.6758731079541084,1.4814048579135368,1.7621830449193192
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ECU,2,1p5,NA,0.13792316122304743,0.513957527135631,1.0095740151984431
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ECU,NA,NA,3,1.2724756803173198,2.737436939100204,3.1047399331474126
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ECU,2,1p5,NA,0.13738596218267388,0.5991957862586519,1.4191579041043478
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ECU,NA,NA,3,1.119775288543869,2.03467866481092,2.1495028060208963
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ECU,2,1p5,NA,0.1608598519173937,0.6069659427890529,1.3209757057556213
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ECU,NA,NA,3,0.8804493853620834,1.8396815843755745,2.4229099448545117
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ECU,2,1p5,NA,0.15214091586819678,0.5706588213350169,1.2246703292193957
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ECU,NA,NA,3,0.8463812902648564,1.8535098511041006,2.3563778720961857
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ECU,2,1p5,NA,0.16008401838275163,0.7153968787383972,1.9380742770013986
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ECU,NA,NA,3,0.7900691695716803,1.429550411366298,1.7717505245366276
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ECU,2,1p5,NA,0.21464255792364698,0.8426517407687499,1.9011576180112177
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ECU,NA,NA,3,0.8261194126493345,1.7162592193242667,2.246040553298132
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ECU,2,1p5,NA,0.20997822797494903,0.7996353387495778,1.7868990578422008
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ECU,NA,NA,3,0.7892138087874511,1.7250737445856814,2.1676987181600564
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ECU,2,1p5,NA,0.22339433469770195,1.0361927401435977,2.815688825362439
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ECU,NA,NA,3,0.749287018855213,1.2995845811124689,1.606293348049766
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,ECU,2,1p5,NA,0.4440685691416232,1.9558247314998263,4.518266501472539
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,ECU,NA,NA,3,0.6088353180265621,1.265007284182978,1.6559242713954447
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,ECU,2,1p5,NA,0.4335636010490553,1.8723688458340808,4.248887772078539
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,ECU,NA,NA,3,0.5908804269018815,1.2728562891578314,1.609714981042532
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,ECU,2,1p5,NA,0.46430184975770744,2.463222634623375,6.414727366929667
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,ECU,NA,NA,3,0.5465035541627791,0.9763386996809341,1.210247854655337
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,ECU,2,1p5,NA,0.19799660937609376,0.7686554382782439,1.7382130615637164
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,ECU,NA,NA,3,0.6414821505331901,1.3506506481826706,1.7834868206881513
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,ECU,2,1p5,NA,0.1924390698488714,0.7335572093070754,1.6217384602564744
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,ECU,NA,NA,3,0.6169814269619106,1.3587996314124793,1.7362605368453818
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,ECU,2,1p5,NA,0.20011326843374766,0.9425638056855747,2.4555741770234936
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,ECU,NA,NA,3,0.5714662303786316,1.0555398070572575,1.3111594748638193
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,ECU,2,1p5,NA,0.12651624256106164,0.4866692518223662,1.021066904851331
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,ECU,NA,NA,3,1.2176044178148904,2.531502499309254,3.306077443916168
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,ECU,2,1p5,NA,0.12601568713244896,0.4638763988935835,0.9447667813039156
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,ECU,NA,NA,3,1.1863680945508195,2.5504080261509907,3.1975912258516734
