run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ESP,2,1p5,NA,2.7718358570174697,11.081340259372727,23.44117283621006
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ESP,NA,NA,3,3.8013224009325732,8.14311366014769,9.768483759937634
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ESP,2,1p5,NA,2.7274793799945494,11.086010710506248,23.377055620383935
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ESP,NA,NA,3,3.7945362469217474,8.230342713713547,10.050519374499528
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ESP,2,1p5,NA,2.850139203057335,11.519244721596248,24.105548355738573
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ESP,NA,NA,3,3.492269652805447,7.470117875372164,8.957957524092453
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ESP,2,1p5,NA,2.8053974738338385,11.539823462843497,24.04992293773776
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ESP,NA,NA,3,3.4858727312108964,7.5457163083807846,9.206383524261655
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ESP,2,1p5,NA,3.174696673697858,14.832312514548907,34.52637126031775
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ESP,NA,NA,3,3.1948304487013135,5.8811928540610845,6.555613066477068
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ESP,2,1p5,NA,2.392672705768651,9.352286978510069,18.910530700686692
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ESP,NA,NA,3,1.9828907830285167,4.4979918959498715,5.706822887938486
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ESP,2,1p5,NA,2.6995566909671673,11.573460106152561,26.523506749190258
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ESP,NA,NA,3,1.8643798323201553,3.76070375379381,4.526417775774941
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ESP,2,1p5,NA,2.4314678261338316,9.608648420218794,20.31573618982076
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ESP,NA,NA,3,3.4056733106171304,7.348546109361831,8.87504303122692
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ESP,2,1p5,NA,2.3970947616740395,9.611905439870293,20.24167367408794
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ESP,NA,NA,3,3.4025039127669605,7.429033614157152,9.124115604969532
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ESP,2,1p5,NA,2.9851450131300674,11.667924897401589,26.408982759629044
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ESP,NA,NA,3,6.842572418469394,14.021267979045966,15.837762296989059
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ESP,2,1p5,NA,3.298764314218411,16.4212566448825,38.286204999781525
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ESP,NA,NA,3,6.2009748278726,10.23301825933372,10.759124910538738
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ESP,2,1p5,NA,2.646519096800537,10.431478520536626,23.09768363937301
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ESP,NA,NA,3,3.6291503842318664,7.405342255549347,10.046045520156591
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ESP,2,1p5,NA,2.493265753760286,10.03148380276046,22.623004492494836
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ESP,NA,NA,3,3.5301697438119835,7.461034573286344,9.962216901357051
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ESP,2,1p5,NA,2.8670597547757173,13.440624410757064,33.50625504388389
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ESP,NA,NA,3,3.3942324758434785,6.124976215298128,7.717574007415557
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ESP,2,1p5,NA,2.6528469664420755,10.778325256756627,23.823489522020488
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ESP,NA,NA,3,3.2229794009651687,6.8121185548923116,9.217405618670565
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ESP,2,1p5,NA,2.5660210659867753,10.237055438352249,23.209879807680935
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ESP,NA,NA,3,3.2385423781928266,6.86624257446761,9.122593138867645
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ESP,2,1p5,NA,3.0686261126505,13.82250963648073,34.3295557505766
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ESP,NA,NA,3,3.1330827639249543,5.609164208782072,7.069809440547133
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,ESP,2,1p5,NA,2.265255149281872,8.685999213976961,18.476897203867487
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,ESP,NA,NA,3,1.8625194130029052,4.164671338604671,5.736579224694615
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,ESP,2,1p5,NA,2.1684500643287996,8.46836426190087,18.15090078268964
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,ESP,NA,NA,3,1.8278291985655526,4.207277523357029,5.783084845488644
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,ESP,2,1p5,NA,2.491914338403489,10.862056193330977,26.817563850085516
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,ESP,NA,NA,3,1.8307904881540056,3.6166111704567516,4.729707740508179
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,ESP,2,1p5,NA,2.3148012770411617,9.02991310209296,20.0733809379836
