run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GAB,2,1p5,NA,0.029322033184487884,0.21287291805650366,0.5352297687221933
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GAB,NA,NA,3,0.10759447908868762,0.3424039849398916,0.3889138178753693
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GAB,2,1p5,NA,0.029312645667308717,0.2148543206923303,0.5401280397536653
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GAB,NA,NA,3,0.10731446394832124,0.3443520827570145,0.3981209148840143
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GAB,2,1p5,NA,0.03618168788510916,0.26925792529337605,0.6728907639663397
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GAB,NA,NA,3,0.10151344723398496,0.31495864593793843,0.3503695556112812
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GAB,2,1p5,NA,0.03617675008956143,0.271400560648127,0.6796840995928093
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GAB,NA,NA,3,0.10123307939011217,0.3159130991875238,0.3563121713543053
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GAB,2,1p5,NA,0.03755019899223576,0.3698647168381697,1.0425138520395638
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GAB,NA,NA,3,0.09222201968158096,0.2304659670447773,0.24093162184079878
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GAB,2,1p5,NA,0.06468465283913888,0.521272620990495,1.208441135796257
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GAB,NA,NA,3,0.06322259860348152,0.20336739426561762,0.2358460510082173
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GAB,2,1p5,NA,0.06854899389863545,0.6651003907936138,1.9878859454088191
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GAB,NA,NA,3,0.058074638499973415,0.1562001535281825,0.1681414117031075
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,GAB,2,1p5,NA,0.05151933755779379,0.4162320730994938,0.9874951122269648
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,GAB,NA,NA,3,0.08487929939885872,0.26156119728049515,0.2896729807735583
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,GAB,2,1p5,NA,0.05155503283633719,0.42631199593394803,1.00143330876895
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,GAB,NA,NA,3,0.08463797034719575,0.26203155859445676,0.29429995984498014
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,GAB,2,1p5,NA,0.024985601194765783,0.17489040465309807,0.4126514499881924
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,GAB,NA,NA,3,0.15324017427502468,0.47165426516892656,0.5191176306978474
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,GAB,2,1p5,NA,0.02621293812669732,0.22358528889050694,0.6717554145864482
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,GAB,NA,NA,3,0.13941693088906498,0.33588129650775794,0.3542359001875774
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GAB,2,1p5,NA,0.028831163713070023,0.19855245721699188,0.5178818155361653
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GAB,NA,NA,3,0.10740714068441105,0.31748485154963557,0.41432056460695627
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GAB,2,1p5,NA,0.0273558404162724,0.19318510790874893,0.5096220634967775
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GAB,NA,NA,3,0.09989700090790875,0.3180376032117571,0.3998948178718754
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GAB,2,1p5,NA,0.028684510603261697,0.26582230486007735,0.7938286434173252
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GAB,NA,NA,3,0.09453981945760853,0.24047083537977337,0.29427939343853776
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GAB,2,1p5,NA,0.03558730232868428,0.2492001547389147,0.6657198388547116
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GAB,NA,NA,3,0.10414433864466309,0.2899618040207152,0.37794227218674376
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GAB,2,1p5,NA,0.03245528095961263,0.24004559732343728,0.6349029503634761
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GAB,NA,NA,3,0.09659155560094597,0.2933044471573293,0.36035627046563345
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GAB,2,1p5,NA,0.03527773571633937,0.33806321510843573,1.0188519137539602
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GAB,NA,NA,3,0.08945164188725656,0.21557721462499452,0.2632365602507852
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GAB,2,1p5,NA,0.0658649685039844,0.48547270289663746,1.1924898853182468
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GAB,NA,NA,3,0.06058197184326967,0.1885293116563752,0.24882118606440035
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GAB,2,1p5,NA,0.06082771312503219,0.4692061086229433,1.1574337285565828
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GAB,NA,NA,3,0.060838443967030226,0.18994020456847882,0.24067775895012306
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GAB,2,1p5,NA,0.06252869145876701,0.6099274224588943,1.931185593649491
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GAB,NA,NA,3,0.05501931932116415,0.1471878974979537,0.17978036645060744
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,GAB,2,1p5,NA,0.05262579326249306,0.38061132957503474,0.9737178106129506
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,GAB,NA,NA,3,0.08192426577693905,0.24153238808710464,0.3133814711574001
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,GAB,2,1p5,NA,0.04909964442701539,0.3724599072679726,0.9429429066771199
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,GAB,NA,NA,3,0.08072604345220458,0.24379676732210065,0.2981354691221594
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,GAB,2,1p5,NA,0.05199167925476273,0.5055700891216525,1.5407331690997514
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,GAB,NA,NA,3,0.07114243238854684,0.17745103336661516,0.21713541254330793
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,GAB,2,1p5,NA,0.024900138638334544,0.16408009560303607,0.40878609105029884
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,GAB,NA,NA,3,0.14775523079751035,0.43343632706374113,0.5624452309363583
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,GAB,2,1p5,NA,0.024939125118097184,0.15690219574614392,0.3940686106964468
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,GAB,NA,NA,3,0.14615583714771976,0.43725952600265283,0.5354747464218035
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,GAB,2,1p5,NA,0.024770039218408372,0.20315164940644306,0.652720745126463
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,GAB,NA,NA,3,0.13548583592066324,0.3150071290959046,0.38557492300219887
bhm_lr,estimates,expected,SSP1,rcp45,1,GAB,2,1p5,NA,NA,0.19982111718144935,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,GAB,NA,NA,3,NA,0.33613736705820224,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,GAB,2,1p5,NA,NA,0.20083443168697762,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,GAB,NA,NA,3,NA,0.3373709907101579,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,GAB,2,1p5,NA,NA,0.25230969417649646,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,GAB,NA,NA,3,NA,0.3099349697720652,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,GAB,2,1p5,NA,NA,0.2540727629502695,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,GAB,NA,NA,3,NA,0.31025831462605574,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,GAB,2,1p5,NA,NA,0.34358672188256634,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,GAB,NA,NA,3,NA,0.23304808703917937,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,GAB,2,1p5,NA,NA,0.4874511783711147,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,GAB,NA,NA,3,NA,0.19946419104390448,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,GAB,2,1p5,NA,NA,0.6156517663643573,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,GAB,NA,NA,3,NA,0.15472330364475703,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,GAB,2,1p5,NA,NA,0.3878142419794813,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,GAB,NA,NA,3,NA,0.2574443234680237,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,GAB,2,1p5,NA,NA,0.39361023642547244,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,GAB,NA,NA,3,NA,0.25750187396273017,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,GAB,2,1p5,NA,NA,0.16359563562193968,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,GAB,NA,NA,3,NA,0.46458818477667496,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,GAB,2,1p5,NA,NA,0.2062748074110187,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,GAB,NA,NA,3,NA,0.3464510135186276,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,GAB,2,1p5,NA,0.15109268897032485,0.18549575535030127,0.2617746665727327
bhm_lr,estimates,uncertain,SSP1,rcp45,315,GAB,NA,NA,3,0.2836063098330752,0.3372847075586862,0.39073635490437014
bhm_lr,estimates,uncertain,SSP1,rcp60,210,GAB,2,1p5,NA,0.1486614741965576,0.1833815404080302,0.24880835374523683
bhm_lr,estimates,uncertain,SSP1,rcp60,210,GAB,NA,NA,3,0.2896962637734671,0.3199481434931875,0.37630926142963067
bhm_lr,estimates,uncertain,SSP2,rcp45,315,GAB,2,1p5,NA,0.18944706753209742,0.23288923041797321,0.3328816741560806
bhm_lr,estimates,uncertain,SSP2,rcp45,315,GAB,NA,NA,3,0.26125014817943837,0.31081177480435723,0.36007406316890106
bhm_lr,estimates,uncertain,SSP2,rcp60,210,GAB,2,1p5,NA,0.18645844864043906,0.23044485261621747,0.31843159488954803
bhm_lr,estimates,uncertain,SSP2,rcp60,210,GAB,NA,NA,3,0.26721523196613256,0.29422143617610486,0.34535466067216974
bhm_lr,estimates,uncertain,SSP2,rcp85,345,GAB,2,1p5,NA,0.2428107424043222,0.3221564270005541,0.45833962605076656
bhm_lr,estimates,uncertain,SSP2,rcp85,345,GAB,NA,NA,3,0.20455129790598725,0.229427396097182,0.26675057212866327
bhm_lr,estimates,uncertain,SSP3,rcp45,315,GAB,2,1p5,NA,0.3669502226759868,0.4532526561693424,0.6325250873190569
bhm_lr,estimates,uncertain,SSP3,rcp45,315,GAB,NA,NA,3,0.16887339635464926,0.20026222460528606,0.23183860955129068
bhm_lr,estimates,uncertain,SSP3,rcp85,345,GAB,2,1p5,NA,0.4525927916419916,0.5899720087945494,0.8341305333206324
bhm_lr,estimates,uncertain,SSP3,rcp85,345,GAB,NA,NA,3,0.13611807688714558,0.15308970639145122,0.17612733172486647
bhm_lr,estimates,uncertain,SSP4,rcp45,315,GAB,2,1p5,NA,0.28560948246748497,0.3540572870842917,0.5143289993200518
bhm_lr,estimates,uncertain,SSP4,rcp45,315,GAB,NA,NA,3,0.21738603785433414,0.2583156506464392,0.29922340932472824
bhm_lr,estimates,uncertain,SSP4,rcp60,210,GAB,2,1p5,NA,0.28086859483249943,0.3500366404989696,0.4929105882204818
bhm_lr,estimates,uncertain,SSP4,rcp60,210,GAB,NA,NA,3,0.2220639186305566,0.24454187322172363,0.28684505562709944
bhm_lr,estimates,uncertain,SSP5,rcp45,315,GAB,2,1p5,NA,0.1254652262755467,0.15359317631675337,0.20987581604033878
bhm_lr,estimates,uncertain,SSP5,rcp45,315,GAB,NA,NA,3,0.39114161782027157,0.46546646913163486,0.5388520606725403
bhm_lr,estimates,uncertain,SSP5,rcp85,345,GAB,2,1p5,NA,0.1518671967933828,0.19567188886948975,0.2854167817568324
bhm_lr,estimates,uncertain,SSP5,rcp85,345,GAB,NA,NA,3,0.30355353837936594,0.34092864116008054,0.39805758839233846
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,GAB,2,1p5,NA,9.088137834713702e-4,0.1904850821494775,0.7873336434422148
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,GAB,NA,NA,3,-0.18533552591050115,0.3337864228427726,0.3894353672506773
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,GAB,2,1p5,NA,-0.0019477273300415082,0.18089056757251026,0.5564047159577425
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,GAB,NA,NA,3,-0.19975904518964785,0.32889549275055946,0.40431875567251235
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,GAB,2,1p5,NA,0.006779139810417027,0.27172084485578885,1.4015006988817167
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,GAB,NA,NA,3,-0.19001731539809297,0.25528161716209125,0.27712366612210665
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,GAB,2,1p5,NA,0.03641547614722269,0.3700601231428771,1.0205037656169966
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,GAB,NA,NA,3,0.04455514918265918,0.31405128120847287,0.34977469468827044
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,GAB,2,1p5,NA,0.030431964422344075,0.36438852468674227,1.0380420009189106
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,GAB,NA,NA,3,0.01855559291615099,0.3193813869981259,0.3575865338520381
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,GAB,2,1p5,NA,0.04594760458410207,0.46538396641894675,1.793880050524541
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,GAB,NA,NA,3,0.06996674697787848,0.22253645764149832,0.23938144617512389
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,GAB,2,1p5,NA,0.04895873586465691,0.65563031247205406,1.8704992858973946
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,GAB,NA,NA,3,0.03295954779759492,0.21328329007595606,0.23713242322705463
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,GAB,2,1p5,NA,0.0486209533511033,0.6605387944627288,1.916577837010691
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,GAB,NA,NA,3,0.03538898085723772,0.21570281368175998,0.2442009898584743
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,GAB,2,1p5,NA,0.009021024391733495,0.8504779375671906,3.52214872966598
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,GAB,NA,NA,3,-3.5124384852812574e-4,0.15826124882001052,0.16888744372452474
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,1e3,GAB,2,1p5,NA,0.0911077177751185,0.5414099522807683,1.516132908782912
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,1e3,GAB,NA,NA,3,0.08838357977744223,0.2653217030638453,0.2901632662729579
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp60,1e3,GAB,2,1p5,NA,0.08740028958558817,0.5446111695404788,1.5493904039672393
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp60,1e3,GAB,NA,NA,3,0.08544927250416041,0.2711449504217139,0.2950356362338958
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp85,1e3,GAB,2,1p5,NA,0.06292641645637434,0.6922410805048841,2.7732994241997777
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp85,1e3,GAB,NA,NA,3,0.0474108385814334,0.18460365242520718,0.1975027497123855
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp45,1e3,GAB,2,1p5,NA,-0.009116222912624965,0.13178642022793763,0.4203768697112565
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp45,1e3,GAB,NA,NA,3,-0.46930041389802013,0.4230593607247279,0.5239974304741758
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,1e3,GAB,2,1p5,NA,-0.009898843814524159,0.12680976155501508,0.3984190349190758
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,1e3,GAB,NA,NA,3,-0.5238742237339371,0.420155454595919,0.531209985374696
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp85,1e3,GAB,2,1p5,NA,-0.005368425762898688,0.16431928736155874,0.644649603307035
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp85,1e3,GAB,NA,NA,3,-0.5981298803760714,0.3142074835563049,0.3779011381642503
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp45,314685,GAB,2,1p5,NA,1.8912958406517076e-5,0.18064578755717012,0.6682128290484651
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp45,314685,GAB,NA,NA,3,-0.16416134591216164,0.29703856975127935,0.4155683842811186
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp60,209790,GAB,2,1p5,NA,-0.002401551891203369,0.15789868574065538,0.5151887739431319
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp60,209790,GAB,NA,NA,3,-0.21079646647163153,0.29718879734966386,0.4058178459046495
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp85,342240,GAB,2,1p5,NA,0.0072497213263137406,0.2450114831959807,1.362947180067866
