run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GBR,1,0p7,NA,5.503092919696532,38.77197166894577,70.50526686852533
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GBR,1,1p5,NA,2.625367218278325,25.612224093671788,72.06090427666288
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GBR,2,0p7,NA,2.6403483205742906,18.27037180833789,32.58762101448539
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GBR,2,1p5,NA,1.3843080359972753,12.843549441250868,32.50418933400822
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GBR,NA,NA,3,2.458731709275204,13.13992048592201,18.340522799163978
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GBR,NA,NA,5,0.8180340309548456,5.024442520014759,7.677077334164213
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GBR,1,0p7,NA,5.537717472194589,38.69279119993594,69.60439933386682
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GBR,1,1p5,NA,2.6220805647707337,26.383793424012815,73.90153531775765
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GBR,2,0p7,NA,2.638570956136056,18.294995937943956,32.30294245091609
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GBR,2,1p5,NA,1.3678657523144893,12.999805151265598,32.8859734409397
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GBR,NA,NA,3,2.461700417351764,13.0503254989775,18.239787570340635
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GBR,NA,NA,5,0.7979579354320537,5.018243924056946,7.765472270930465
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GBR,1,0p7,NA,5.3826401864012405,37.85239682062128,68.12199694161662
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GBR,1,1p5,NA,2.7110831922760648,26.792977974006348,73.87128278031354
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GBR,2,0p7,NA,2.5546858677828608,17.687555402031332,31.3280398431667
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GBR,2,1p5,NA,1.4186284567058263,13.216373376110424,33.16001329230985
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GBR,NA,NA,3,2.248231825264838,11.999934640373407,16.74380019116924
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GBR,NA,NA,5,0.7457596179784044,4.593840130344075,7.027063018200965
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GBR,1,0p7,NA,5.398050467923665,37.85087505103338,67.24079551942916
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GBR,1,1p5,NA,2.7058582064158556,27.60700343658101,75.77593922471975
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GBR,2,0p7,NA,2.551674365901472,17.72779141281506,31.079804862781685
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GBR,2,1p5,NA,1.403543091564724,13.437216163350483,33.555430322642415
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GBR,NA,NA,3,2.2502028900978757,11.903325415553322,16.64444288383186
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GBR,NA,NA,5,0.7289052151892376,4.59019796620556,7.105988682126328
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GBR,1,0p7,NA,6.896494284184002,38.17193435787937,59.18903140285642
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GBR,1,1p5,NA,3.5891180919391936,35.65387417800125,97.15521465608849
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GBR,2,0p7,NA,3.2695639134835837,17.45035537400424,28.02240385262012
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GBR,2,1p5,NA,1.7883221373247589,16.036618899154746,41.06501550106608
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GBR,NA,NA,3,2.7801082860757655,10.327327645860542,12.97333852658386
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GBR,NA,NA,5,0.8280239494759152,4.18229275332028,6.09646242764266
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GBR,1,0p7,NA,3.360751175237008,24.237452523513074,41.12705444014639
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GBR,1,1p5,NA,2.238893950953677,22.633872173043752,54.823358032825404
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GBR,2,0p7,NA,1.7094386869429743,11.81029515524532,20.331931344714306
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GBR,2,1p5,NA,1.1523887901942473,10.959965063990195,25.44098875001425
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GBR,NA,NA,3,1.3047421889463127,7.144997428197724,10.491929912173063
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GBR,NA,NA,5,0.48492185701453144,3.168591513758919,5.063508182549304
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GBR,1,0p7,NA,4.408985828607228,23.14544348463748,36.237650327027666
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GBR,1,1p5,NA,2.956088442133505,26.719573353993685,71.3307347848521
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GBR,2,0p7,NA,2.108774154273825,11.303040233123156,18.472807608643784
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GBR,2,1p5,NA,1.4501719939538162,12.372179153342056,31.058813746746104
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GBR,NA,NA,3,1.517489808822314,6.340200103552311,8.664772511002136
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GBR,NA,NA,5,0.5132976358767022,2.963216097258336,4.536032693485439
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GBR,1,0p7,NA,4.314962059875586,30.799719135219856,56.496320215928236
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GBR,1,1p5,NA,2.0817132428304603,19.77411992412879,55.46496599099411
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GBR,2,0p7,NA,2.17890702521761,15.003026651903106,26.852947871690954
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GBR,2,1p5,NA,1.1114409958091165,10.286933026411226,25.832778150980257
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GBR,NA,NA,3,2.101166466963166,11.305925341830397,15.9878989688964
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GBR,NA,NA,5,0.7065178241120634,4.492594723891961,6.944336727404989
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GBR,1,0p7,NA,4.42772582227206,30.78380379490748,55.82595034817729
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GBR,1,1p5,NA,2.0902425474446487,20.187743271707898,56.733808895698076
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GBR,2,0p7,NA,2.1827752032179224,15.005878961086745,26.684619862495595
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GBR,2,1p5,NA,1.0913237978482944,10.39013740555409,26.10505380711481
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GBR,NA,NA,3,2.108128099326844,11.206457511876922,15.922020086629939
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GBR,NA,NA,5,0.7039054154626211,4.484372624294445,7.0317623992073095
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GBR,1,0p7,NA,8.080679623246008,55.94413419622138,102.71795716086349
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GBR,1,1p5,NA,2.828348054561954,26.721252053809064,74.36765609851827
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GBR,2,0p7,NA,3.7279420044176237,25.94087958658651,46.479133792648305
