run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GEO,2,1p5,NA,0.01502189443139618,0.08133216608739006,0.18947138701080032
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GEO,NA,NA,3,0.10305785401066746,0.306547677773984,0.3790040282895373
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GEO,2,1p5,NA,0.014626781344182098,0.0811339287797232,0.19096001218368253
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GEO,NA,NA,3,0.10263807237909585,0.3066300910057295,0.3878888038227493
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GEO,2,1p5,NA,0.01811750250243035,0.10149516303901919,0.24488856088670388
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GEO,NA,NA,3,0.0903704914064755,0.2624148541697498,0.3164397679135486
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GEO,2,1p5,NA,0.018041359426437923,0.10126379894128587,0.2486462240894552
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GEO,NA,NA,3,0.09046603543203806,0.2623403330375978,0.3231407144632404
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GEO,2,1p5,NA,0.021593938769570633,0.12726688566849761,0.352701588478443
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GEO,NA,NA,3,0.09556287098696414,0.20689381457771353,0.2270519222734336
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GEO,2,1p5,NA,0.031554707913019495,0.19030546589598807,0.4962805822279871
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GEO,NA,NA,3,0.08141907456975314,0.23428016966013265,0.28136593832344403
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GEO,2,1p5,NA,0.04082382902359361,0.2642670692424512,0.7078538682082519
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GEO,NA,NA,3,0.08540815772209609,0.18386540771602058,0.20166517645988857
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,GEO,2,1p5,NA,0.015678867686217873,0.08446752153534688,0.19688343933335628
