run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GTM,1,0p7,NA,0.7010677047021427,2.753299423995724,4.360155706871868
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GTM,1,1p5,NA,0.12900954035511775,0.7321566644587458,1.786611661448837
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GTM,2,0p7,NA,0.36333854240447605,1.4047032829058876,2.1742633495434345
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GTM,2,1p5,NA,0.08270738480630917,0.4339851813531752,0.963133451905561
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GTM,NA,NA,3,0.9473295242588214,2.2921997368244824,2.4663400690496826
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GTM,NA,NA,5,0.28339809954774603,0.7902483390285254,0.9436605719981377
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GTM,1,0p7,NA,0.7002341328902558,2.766425785578836,4.401258855579329
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GTM,1,1p5,NA,0.13191347483281254,0.7188801823337493,1.7302524952069271
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GTM,2,0p7,NA,0.36617991674663153,1.415034079961045,2.2036402433179143
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GTM,2,1p5,NA,0.08450978004078005,0.42598465952348963,0.9294977296149776
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GTM,NA,NA,3,0.9630332919824006,2.4110408548014703,2.621974151378951
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GTM,NA,NA,5,0.2876326501162991,0.8213252517745185,1.0143832144963867
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GTM,1,0p7,NA,0.9263476132965064,3.6622327690249197,5.870943390851017
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GTM,1,1p5,NA,0.21236751545583288,1.2838642402497358,3.344191016135939
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GTM,2,0p7,NA,0.45733906690794635,1.769409411399124,2.743884812257299
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GTM,2,1p5,NA,0.12911240715987862,0.711786888759307,1.6594513818081684
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GTM,NA,NA,3,0.8983012652716745,2.0794413461390904,2.2363827499620785
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GTM,NA,NA,5,0.2537845043798684,0.688047747076884,0.8061708890420579
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GTM,1,0p7,NA,0.9218472521843383,3.6780278127693133,5.917799783028351
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GTM,1,1p5,NA,0.21606680018969346,1.2541819493331527,3.2380655144461756
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GTM,2,0p7,NA,0.4611292323414085,1.7753786799052425,2.776215593125706
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GTM,2,1p5,NA,0.13217346947395314,0.6966223307128375,1.6022579753661825
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GTM,NA,NA,3,0.9213150877855366,2.1888975914679802,2.358399472622513
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GTM,NA,NA,5,0.2573343838660619,0.7144651987237924,0.8642760245804467
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GTM,1,0p7,NA,0.873075932365693,3.595593429756159,5.080253450906857
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GTM,1,1p5,NA,0.22089991059202305,1.9595383172968468,7.212928132217947
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GTM,2,0p7,NA,0.424382038602546,1.6875162483817308,2.3635742328467746
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GTM,2,1p5,NA,0.13173311705158672,0.9578168555328719,2.941791407443872
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GTM,NA,NA,3,0.7621305517586989,1.3454580165884231,1.450123568826735
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GTM,NA,NA,5,0.22638765560021706,0.5373012837824761,0.5842302468839214
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GTM,1,0p7,NA,1.409024439865935,5.788864074328968,8.366447301064204
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GTM,1,1p5,NA,0.6317530071897933,4.972623291709192,12.5423120833576
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GTM,2,0p7,NA,0.6323729048362695,2.4859267699058334,3.6203372363879556
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GTM,2,1p5,NA,0.3229829917364931,2.1339156438729963,5.077511923623625
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GTM,NA,NA,3,0.5726840004239384,1.371779517626114,1.473953844524952
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GTM,NA,NA,5,0.17219960546285557,0.4837197861336738,0.584230001010084
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GTM,1,0p7,NA,1.3150425341553773,5.090931055644585,6.380198193208146
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GTM,1,1p5,NA,0.6563421914708997,7.430901210744905,23.56221640450172
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GTM,2,0p7,NA,0.5948059973042589,2.2158267089754684,2.8733048809205206
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GTM,2,1p5,NA,0.33356439133082927,2.982517884020583,8.764745760034044
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GTM,NA,NA,3,0.49404468621051356,0.9234746718664953,0.976525675479463
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GTM,NA,NA,5,0.15788470633691568,0.389808725994776,0.4450328038036805
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GTM,1,0p7,NA,1.2728841377686337,5.03787380693635,7.095078840535396
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GTM,1,1p5,NA,0.7350140943403547,5.717763517853735,13.614585904066116
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GTM,2,0p7,NA,0.5620741111278656,2.1584122454628916,3.1037704534488038
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GTM,2,1p5,NA,0.3566087247238522,2.3793228686099632,5.437038784862565
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GTM,NA,NA,3,0.41240622845803765,1.0265808522754158,1.1121422377429826
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GTM,NA,NA,5,0.13191862583237854,0.3806784163356322,0.4735821645768339
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GTM,1,0p7,NA,1.2656925153032412,5.0684583139012,7.191417233840698
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GTM,1,1p5,NA,0.7361776331320004,5.607607502022457,13.320918878895068
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GTM,2,0p7,NA,0.5615860161596358,2.179249542975387,3.1439598696518485
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GTM,2,1p5,NA,0.3575924095464555,2.3355048943871557,5.2873113563718395
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GTM,NA,NA,3,0.4162282514282155,1.066829993667753,1.1915281271016804
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GTM,NA,NA,5,0.13563259390231194,0.3954232196900857,0.5058149930924057
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GTM,1,0p7,NA,0.6665598248417085,2.5977698206597646,4.075280205973321
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GTM,1,1p5,NA,0.09752244194818326,0.5268045378231827,1.2032196668209003
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GTM,2,0p7,NA,0.3521987952718302,1.3580857314905803,2.0941184738363203
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GTM,2,1p5,NA,0.0649925488969252,0.33045883868423587,0.6989109206642525
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GTM,NA,NA,3,1.2593969775352087,2.9772033179568065,3.204874894359803
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GTM,NA,NA,5,0.3630834309271681,0.9921916860827257,1.1657060141559958
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GTM,1,0p7,NA,0.6257766826098045,2.506291701593327,3.9297004280635948
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GTM,1,1p5,NA,0.0989303620906711,0.6954818195536596,2.636870723250296
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GTM,2,0p7,NA,0.33293931522394193,1.2845286156555475,1.9388856759651572
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GTM,2,1p5,NA,0.06376145759443565,0.3995224526583196,1.188969929609649
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GTM,NA,NA,3,1.0754492380421303,1.9507700118897877,2.094893323471909
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GTM,NA,NA,5,0.32444231682649527,0.7789851253575614,0.8447497614377331
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GTM,1,0p7,NA,0.6726885456607151,2.5755257468473793,4.323376612869453
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GTM,1,1p5,NA,0.13277177131520423,0.6765558632271561,1.74966145862884
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GTM,2,0p7,NA,0.36468820680208175,1.3232331685662848,2.1596976402976638
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GTM,2,1p5,NA,0.08270125263737202,0.40185933619116343,0.946103854411687
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GTM,NA,NA,3,0.9289106748426079,2.0607344102058454,2.6690150593205315
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GTM,NA,NA,5,0.27060230814793707,0.7308929552847634,0.9688447893529573
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GTM,1,0p7,NA,0.6311527505630019,2.3916752008874758,3.9727622740830704
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GTM,1,1p5,NA,0.12075661387274675,0.6098755552636931,1.5200004842897885
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GTM,2,0p7,NA,0.3287528717551411,1.2270486783833225,1.981972945630316
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GTM,2,1p5,NA,0.07670351836664095,0.3664882344894278,0.8239690765700713
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GTM,NA,NA,3,0.8722856880142799,2.043687298232307,2.5352630692778395
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GTM,NA,NA,5,0.2581506381592394,0.7130821792690141,0.934226199068132
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GTM,1,0p7,NA,0.638151209507735,2.525942242187265,3.8520815517768034
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GTM,1,1p5,NA,0.12464870652396796,0.9217960630148954,3.908616640166776
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GTM,2,0p7,NA,0.3261685649656743,1.2704504820035118,1.9181954442556215
