run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GUY,2,1p5,NA,0.0016014612396906343,0.012675374132451792,0.030359957149184175
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GUY,NA,NA,3,0.013313621382274125,0.051791441585512646,0.056865123533211506
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GUY,2,1p5,NA,0.0016318138133160135,0.012601213512449982,0.03047831977270389
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GUY,NA,NA,3,0.013597780140437572,0.052330647199437835,0.05846387825175139
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GUY,2,1p5,NA,0.0022116605277265463,0.018379346530005967,0.04711831156569432
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GUY,NA,NA,3,0.011141920407425532,0.042366098354048747,0.04580757229371153
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GUY,2,1p5,NA,0.002250856062985967,0.018363660421703582,0.047772914954442434
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GUY,NA,NA,3,0.011337680027418577,0.04276716279405998,0.04663641211554985
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GUY,2,1p5,NA,0.0019561893871458,0.023629729260415334,0.07737415677842535
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GUY,NA,NA,3,0.009865167257213996,0.029352636061772314,0.030870049822236116
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GUY,2,1p5,NA,0.004485134332576915,0.04487012180887414,0.11759443063905767
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GUY,NA,NA,3,0.009401853855806325,0.0360966552045121,0.0394326252510083
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GUY,2,1p5,NA,0.0038750731625723273,0.06058203523767279,0.20264842317268916
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GUY,NA,NA,3,0.008302553833431722,0.025976462034819195,0.02700719717064728
