run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HND,1,0p7,NA,0.23593010015439572,1.1343811437319897,1.8157180943432762
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HND,1,1p5,NA,0.04169228952628786,0.2909873183047702,0.7189066344711206
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HND,2,0p7,NA,0.1250392238789089,0.5854668710478329,0.9168408940987659
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HND,2,1p5,NA,0.027143423219973175,0.17596570006120638,0.39541132873998325
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HND,NA,NA,3,0.3587724161485402,1.0114640444847856,1.086116148756492
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HND,NA,NA,5,0.106039046216498,0.3490175219628017,0.4169613633598375
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HND,1,0p7,NA,0.2386076998262597,1.1377227941309955,1.8307963980037243
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HND,1,1p5,NA,0.04213767779986762,0.2861061133736177,0.6979948491134962
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HND,2,0p7,NA,0.12670164371223325,0.5897927485503932,0.9265560177368694
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HND,2,1p5,NA,0.027429248719490238,0.17297495458886472,0.38370548968287627
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HND,NA,NA,3,0.3625094342232554,1.063921230068509,1.1472604230300238
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HND,NA,NA,5,0.10821812218198307,0.3619856558276004,0.4454340024292401
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HND,1,0p7,NA,0.2924384998135168,1.4221246953120759,2.300513257030252
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HND,1,1p5,NA,0.06389906956926042,0.4696823969075858,1.2464113107312076
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HND,2,0p7,NA,0.1483673415469576,0.6979655082545754,1.0953466967860679
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HND,2,1p5,NA,0.0398179830983314,0.2687393752712054,0.6350405994343759
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HND,NA,NA,3,0.32801458661289457,0.8806157586558485,0.9499997608513038
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HND,NA,NA,5,0.0917214702108729,0.29617897042132535,0.3477331988904348
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HND,1,0p7,NA,0.29551331896326416,1.4245872047030228,2.318122915867539
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HND,1,1p5,NA,0.06444995201603926,0.4620467505477422,1.2104095555569703
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HND,2,0p7,NA,0.15022910969505512,0.7015992111633088,1.1066380122728523
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HND,2,1p5,NA,0.040282566156163845,0.26402886252189467,0.6158150311849334
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HND,NA,NA,3,0.33044122537726284,0.927962809924788,0.9963027955989432
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HND,NA,NA,5,0.09353694921269759,0.30677426268740016,0.3710966720508756
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HND,1,0p7,NA,0.293453889781281,1.3801830685641914,2.008563404554419
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HND,1,1p5,NA,0.06483696630338191,0.6913260317605138,2.695824627790184
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HND,2,0p7,NA,0.14727422911857738,0.6616124519850838,0.9509577279323035
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HND,2,1p5,NA,0.03975804804271021,0.3519597120440789,1.120192446200585
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HND,NA,NA,3,0.29965585316117915,0.5662137690397556,0.6132910068756182
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HND,NA,NA,5,0.08643027313124,0.22986381565273936,0.2499846550270837
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HND,1,0p7,NA,0.4118399012989735,2.088832338571366,3.11776551278044
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HND,1,1p5,NA,0.1662335798853424,1.5922030336727013,4.340756719705251
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HND,2,0p7,NA,0.19165398644953763,0.9192981328289668,1.3723054170494349
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HND,2,1p5,NA,0.0884580007637404,0.7178767072206798,1.7875759539858318
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HND,NA,NA,3,0.1999263585586363,0.5711302293475233,0.6132157320988162
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HND,NA,NA,5,0.06144539824860373,0.20577408421001853,0.2523831715083559
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HND,1,0p7,NA,0.4093921639239088,1.8736045326921875,2.3781136970373646
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HND,1,1p5,NA,0.17787102769266108,2.4890689154612837,8.165404485480076
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HND,2,0p7,NA,0.19202141613685977,0.8298374823036866,1.1001710425341047
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HND,2,1p5,NA,0.09146497362453244,1.0095074877874843,3.068635644163294
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HND,NA,NA,3,0.18394461847741592,0.3843189780632344,0.4066239424532365
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HND,NA,NA,5,0.057436698990185255,0.16625523076086898,0.19255597443660788
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HND,1,0p7,NA,0.37112844749945667,1.8753650019788084,2.6655901659867762
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HND,1,1p5,NA,0.18565144215417836,1.8825320790219862,4.6291216399835635
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HND,2,0p7,NA,0.17064053529653353,0.8178100731585787,1.1857328884049205
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HND,2,1p5,NA,0.09495839832686961,0.8012789282992717,1.8838753873111604
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HND,NA,NA,3,0.14665716964066963,0.43467415366587947,0.4720979614171981
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HND,NA,NA,5,0.04790326065805504,0.16468052397558863,0.20683191784388186
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HND,1,0p7,NA,0.3714601911154258,1.8874126903212687,2.6939846106502525
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HND,1,1p5,NA,0.1866107465407158,1.8599714726559575,4.543512605687839
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HND,2,0p7,NA,0.17258211827300618,0.8252723374366556,1.2025804807508482
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HND,2,1p5,NA,0.09563263547774188,0.7903344728392672,1.8428537698893905
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HND,NA,NA,3,0.14896748707606536,0.4502790545694769,0.5035488232195552
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HND,NA,NA,5,0.04849299654372876,0.1701697148803535,0.21934159577802148
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HND,1,0p7,NA,0.22705455112565745,1.080014754522163,1.7150316948137565
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HND,1,1p5,NA,0.03191074040636163,0.21270998077080305,0.492485490250535
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HND,2,0p7,NA,0.12246729337606958,0.5716390965424057,0.8917158946433262
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HND,2,1p5,NA,0.021534445396832153,0.13523038351595282,0.2907684544081019
