run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,HTI,2,1p5,NA,0.006331987495795608,0.04008696120481911,0.08284081369407637
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,HTI,NA,NA,3,0.26730428182655674,0.8067155103580705,0.8808522509821959
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,HTI,2,1p5,NA,0.006306344746351372,0.03941322613146961,0.08077096992069789
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,HTI,NA,NA,3,0.2671434222894024,0.8335260808660006,0.9157791446894782
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,HTI,2,1p5,NA,0.008340810205292747,0.053519264323261366,0.11324774030313657
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,HTI,NA,NA,3,0.2019397604584567,0.5938441581845896,0.6439573581457516
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,HTI,2,1p5,NA,0.008317768752595656,0.05314672813405651,0.11046093948192887
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,HTI,NA,NA,3,0.20200382431935443,0.6146337900407314,0.6676731670657928
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,HTI,2,1p5,NA,0.008581019721770878,0.06213468308381577,0.1622163005591109
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,HTI,NA,NA,3,0.18381640160386362,0.3902715235759476,0.4246731534697527
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,HTI,2,1p5,NA,0.016590333701646597,0.11771288956847502,0.28170577500516747
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,HTI,NA,NA,3,0.09957519899743753,0.3073927060577771,0.33674296662912784
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,HTI,2,1p5,NA,0.01708521521652626,0.1520896971311012,0.45741676090951927
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,HTI,NA,NA,3,0.09052226022894796,0.21321432973942367,0.22725727079030497
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,HTI,2,1p5,NA,0.01699325046121729,0.12422066413253972,0.314178778068811
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,HTI,NA,NA,3,0.06291842667863903,0.2011370391404099,0.2276811899203491
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,HTI,2,1p5,NA,0.016949820734502512,0.12268531704792299,0.3101921939792111
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,HTI,NA,NA,3,0.06304690716641247,0.20624146995809656,0.24029553441427604
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,HTI,2,1p5,NA,0.004836541877717546,0.029845007401858463,0.06031692394614748
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,HTI,NA,NA,3,0.33920609168890453,1.0119984262663255,1.1012665247872662
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,HTI,2,1p5,NA,0.004923622708229261,0.03324616536160024,0.07661957483927131
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,HTI,NA,NA,3,0.30793359483721616,0.668728689210377,0.7289045224932412
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,HTI,2,1p5,NA,0.006446630095253403,0.037814437793347117,0.08296432972873363
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,HTI,NA,NA,3,0.26351814661814876,0.722286965300066,0.9620419170911378
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,HTI,2,1p5,NA,0.005933509029271418,0.03516473527682424,0.07656643457027812
