run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRL,1,0p7,NA,0.1052678821762848,2.715882340292966,5.31125441105017
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRL,1,1p5,NA,0.04593714500716226,1.8894629570764463,5.318702758950924
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRL,2,0p7,NA,0.041930022149439354,1.2729374590442804,2.4397144594502618
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRL,2,1p5,NA,0.021231624178949235,0.9438808572802346,2.405010274955269
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRL,NA,NA,3,0.034757929336314324,0.8743696856977214,1.3468537057146186
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRL,NA,NA,5,0.009162711548300366,0.3300708201777947,0.5508469524451847
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRL,1,0p7,NA,0.10151204515211878,2.723289313173863,5.290351703922821
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRL,1,1p5,NA,0.04007628872324021,1.9089725601593657,5.36678993335322
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRL,2,0p7,NA,0.036345127439573674,1.2764909090660586,2.4354592018553296
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRL,2,1p5,NA,0.018703563013505044,0.949123990393923,2.41293325584126
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRL,NA,NA,3,0.03112486836566946,0.875395125602658,1.3581202393411889
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRL,NA,NA,5,0.007734073023246665,0.33308474070159666,0.5628699073950687
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRL,1,0p7,NA,0.10256970029708454,2.64631854011198,5.203675196638119
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRL,1,1p5,NA,0.04193171271254733,1.7411871174136255,4.897217379974803
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRL,2,0p7,NA,0.040084313651178295,1.244109813152318,2.3882651141864986
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRL,2,1p5,NA,0.019953085468529884,0.8831737173347588,2.2443517547615914
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRL,NA,NA,3,0.03599542400284555,0.8879390218128981,1.3635720301954497
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRL,NA,NA,5,0.009380295024190336,0.33079296072189773,0.550813283992965
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRL,1,0p7,NA,0.0989125617871323,2.6514181196177247,5.22241206401573
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRL,1,1p5,NA,0.03680339572231362,1.7626466557716198,5.049782399311283
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRL,2,0p7,NA,0.03497846874105472,1.2473503028942974,2.397446802649041
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRL,2,1p5,NA,0.01702866685044107,0.8875704387655257,2.2777440815050234
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRL,NA,NA,3,0.03173468147728404,0.8892926653558513,1.3730880806429209
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRL,NA,NA,5,0.007859266043698765,0.3337705922405168,0.562688844451552
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRL,1,0p7,NA,0.19756636562163826,2.669213734940681,4.721417738023981
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRL,1,1p5,NA,0.08419964991954124,2.0870811274366647,6.008416307191023
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRL,2,0p7,NA,0.08039831477425555,1.2418897089035421,2.1980436880704906
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRL,2,1p5,NA,0.03637424102538058,0.9902097505344546,2.6170074288834173
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRL,NA,NA,3,0.0693436429182301,0.7938497951145732,1.1124148795928122
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRL,NA,NA,5,0.01728851492703248,0.308957369087646,0.48926328592979396
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRL,1,0p7,NA,0.05982585373827347,1.679140748306207,3.1407215716729406
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRL,1,1p5,NA,0.02985197509223272,1.4325412359148832,3.6540562177033276
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRL,2,0p7,NA,0.023583698677416814,0.8226099986768086,1.5409393652622154
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRL,2,1p5,NA,0.016089965056128194,0.7171610067301691,1.7187213553510055
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRL,NA,NA,3,0.01798647283237521,0.5244842460742652,0.8394864469804759
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRL,NA,NA,5,0.00556912990548385,0.22713598452536693,0.3910680811048255
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRL,1,0p7,NA,0.11819433779855495,1.6636201696195967,2.8498977550130915
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRL,1,1p5,NA,0.0670114917426068,1.6880755094529505,4.352378398249556
