run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ISL,1,0p7,NA,-0.18485256039031314,0.2535237531863191,0.6057524376438727
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ISL,1,1p5,NA,-0.06328349399071384,0.15012051907480725,0.6843075541704112
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ISL,2,0p7,NA,-0.09098267861106543,0.11840600540485745,0.27635377434823144
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ISL,2,1p5,NA,-0.03672822815382157,0.07591710201885153,0.2994202697441641
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ISL,NA,NA,3,-0.11756514589048467,0.09220425306414695,0.14466932375902725
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ISL,NA,NA,5,-0.03687641464946042,0.03319612524779589,0.060565550167976594
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ISL,1,0p7,NA,-0.1850093090934378,0.2536361148059936,0.6018105464465475
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ISL,1,1p5,NA,-0.06401405131958077,0.1517842902046082,0.69467535502143
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ISL,2,0p7,NA,-0.09155563918297495,0.11845142185767,0.27562644726222146
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ISL,2,1p5,NA,-0.03738647881052988,0.07597535440288226,0.3016474708351458
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ISL,NA,NA,3,-0.11807349655173169,0.09231950472102757,0.1474795664542147
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ISL,NA,NA,5,-0.037227708161935054,0.03354274020407064,0.0622932688911467
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ISL,1,0p7,NA,-0.18190062067853188,0.24922292317470096,0.6032008070341207
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ISL,1,1p5,NA,-0.06050673812885644,0.1418418001190905,0.655926334262607
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ISL,2,0p7,NA,-0.08939987990143132,0.1167155313973905,0.27317797513967823
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ISL,2,1p5,NA,-0.03535373293169513,0.07245134551155596,0.28771415065864053
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ISL,NA,NA,3,-0.11926636326952876,0.09271304529256612,0.14378064063017573
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ISL,NA,NA,5,-0.03662931252846261,0.03259171187949072,0.059186479303895645
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ISL,1,0p7,NA,-0.18202939392133718,0.24933911087656727,0.5987173885886636
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ISL,1,1p5,NA,-0.06123137308738538,0.1432862513660672,0.6658640726113746
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ISL,2,0p7,NA,-0.0899463241711541,0.11699226988618137,0.2722911573959179
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ISL,2,1p5,NA,-0.03604538881106239,0.07265170360564407,0.2898463595493476
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ISL,NA,NA,3,-0.12015200437517826,0.09272264413381429,0.1465281485686994
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ISL,NA,NA,5,-0.037128527603903484,0.033018325162653045,0.06087209510742761
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ISL,1,0p7,NA,-0.16924115524035765,0.24983597526035578,0.5207544713302371
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ISL,1,1p5,NA,-0.05390840412718752,0.16464577046783557,0.8487491846593639
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ISL,2,0p7,NA,-0.08309967436110638,0.1142519838170722,0.2425562374835963
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ISL,2,1p5,NA,-0.03241678408721212,0.08003855759835013,0.3527785041008908
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ISL,NA,NA,3,-0.11851258481369033,0.08314513198314742,0.11281467250766851
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ISL,NA,NA,5,-0.03549851384378999,0.030350018583301264,0.05178575727370378
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ISL,1,0p7,NA,-0.11026665920853541,0.15015392277077869,0.3388783282862016
