run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ITA,2,1p5,NA,2.664164751908453,11.678901595475946,26.59624438071407
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ITA,NA,NA,3,4.337159669636902,9.862562087663495,11.984159160203129
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ITA,2,1p5,NA,2.5872851095728855,11.773586243915016,26.740942045072785
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ITA,NA,NA,3,4.293411817879521,9.888231342729155,12.180464705531339
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ITA,2,1p5,NA,2.737575339472159,12.11997970971385,27.367447329762875
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ITA,NA,NA,3,3.9789685960125865,8.997121969414955,10.944531038696915
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ITA,2,1p5,NA,2.6601610365201593,12.23181335997415,27.520362520279352
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ITA,NA,NA,3,3.9463356546760884,9.04295541574983,11.12103585411502
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ITA,2,1p5,NA,3.135853504565394,15.48040056342128,37.97777085103836
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ITA,NA,NA,3,3.7936981118894963,7.261157486380713,8.190961901785865
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ITA,2,1p5,NA,2.286650689407497,10.111066263495365,21.745220385659113
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ITA,NA,NA,3,2.3029723098871764,5.633578920023679,7.249164571486846
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ITA,2,1p5,NA,2.6771851558554887,12.278924480482823,29.681982044747997
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ITA,NA,NA,3,2.250412704621663,4.756927663984322,5.80817061138289
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ITA,2,1p5,NA,2.3261013218499365,10.126261195095084,22.941384762419037
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ITA,NA,NA,3,3.859103720801911,8.864453637471172,10.85218273918271
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ITA,2,1p5,NA,2.2588856700066966,10.184943803026718,23.036802957423813
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ITA,NA,NA,3,3.8049061036681615,8.904707898837927,11.058751586736374
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ITA,2,1p5,NA,2.8099487709185493,12.026901260666913,29.168151808061292
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ITA,NA,NA,3,7.61040053440503,16.412907801871402,18.71323768420713
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ITA,2,1p5,NA,3.1891778940096374,16.18598475115146,40.858566749002925
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ITA,NA,NA,3,7.234667612564558,12.385695888383248,13.073044207817953
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ITA,2,1p5,NA,2.5242484406151986,10.803146390439707,25.74613792503847
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ITA,NA,NA,3,4.062356746134342,8.955022167291439,12.443198052190102
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ITA,2,1p5,NA,2.3757144131322674,10.50695125613848,25.037943586962324
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ITA,NA,NA,3,4.021246803042614,9.065140650845386,12.032290342473047
