run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,JAM,1,0p7,NA,0.0758751740263545,0.2645702802720187,0.425912490325052
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,JAM,1,1p5,NA,0.022381714592307377,0.09879763147375291,0.20447145469691586
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,JAM,2,0p7,NA,0.04008519772023935,0.13875395024773376,0.22015851955323784
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,JAM,2,1p5,NA,0.01424713496459355,0.059945023222095106,0.11687652352091153
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,JAM,NA,NA,3,0.06656198039352323,0.17468792828717467,0.22134774420171371
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,JAM,NA,NA,5,0.02229860377996886,0.06471911541046918,0.08849989000055765
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,JAM,1,0p7,NA,0.07549445362710866,0.2652814846051409,0.4280968774625952
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,JAM,1,1p5,NA,0.02238191565549822,0.0985007518119385,0.20436255342681645
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,JAM,2,0p7,NA,0.040188028971378804,0.13930291027132705,0.2212935392807798
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,JAM,2,1p5,NA,0.014435378352752163,0.05942191041755465,0.11559150042173374
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,JAM,NA,NA,3,0.06578814865235862,0.17628518153665118,0.22601594901952354
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,JAM,NA,NA,5,0.022443478014118123,0.06572438822116854,0.09107426136069821
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,JAM,1,0p7,NA,0.09314047769176578,0.32537455929822007,0.5272498905766374
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,JAM,1,1p5,NA,0.03275349511877003,0.14991744699117196,0.323982409889558
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,JAM,2,0p7,NA,0.04664691995326506,0.16168558172354686,0.25709738642553037
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,JAM,2,1p5,NA,0.019842241243835584,0.08598396696271018,0.17193470373689038
