run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,LBN,2,1p5,NA,0.08262200466040806,0.3241959539402072,0.710398872132633
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,LBN,NA,NA,3,0.25585556060275383,0.5915928557767113,0.7405065722828285
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,LBN,2,1p5,NA,0.08285237088350939,0.33113044823366006,0.7507765730529988
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,LBN,NA,NA,3,0.2544923971903427,0.5846184432477505,0.7297037309037827
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,LBN,2,1p5,NA,0.09799764735128762,0.3911098536651118,0.8773716858081382
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,LBN,NA,NA,3,0.2654203374695312,0.6030528024660214,0.7412880452142214
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,LBN,2,1p5,NA,0.09844779619110819,0.40293195074789484,0.9233222786139997
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,LBN,NA,NA,3,0.2635216608112682,0.5926518142311894,0.7292237679293602
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,LBN,2,1p5,NA,0.10931064852382111,0.520801997220632,1.2339791360216439
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,LBN,NA,NA,3,0.2553652829576283,0.4732323870029529,0.5228179431650307
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,LBN,2,1p5,NA,0.15785486289652656,0.6861899183028513,1.4637002312939202
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,LBN,NA,NA,3,0.20716029795625476,0.47378416324863654,0.5894039856522266
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,LBN,2,1p5,NA,0.1835824504124454,0.871296399426309,2.107198157895157
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,LBN,NA,NA,3,0.1984072748669114,0.3760258550209767,0.42337541189449823
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,LBN,2,1p5,NA,0.08516694288850504,0.3336586122911224,0.7344229169562958
