run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,LBY,2,1p5,NA,0.26829056883514,1.294448281978737,2.9240032283127513
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,LBY,NA,NA,3,0.6211328061575264,1.438848207411787,1.6795127679569197
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,LBY,2,1p5,NA,0.2709765301123312,1.3268585025468287,2.986622757381106
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,LBY,NA,NA,3,0.6194802558221458,1.4269769340795038,1.687943886577849
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,LBY,2,1p5,NA,0.33917325924087766,1.6829949054018785,3.796159170347966
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,LBY,NA,NA,3,0.673850118745376,1.5285930842200675,1.7403113640051249
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,LBY,2,1p5,NA,0.33852637860776597,1.729943361447923,3.8872134329383243
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,LBY,NA,NA,3,0.6712114695761534,1.5133321820978982,1.7455824417957402
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,LBY,2,1p5,NA,0.3563905346075145,2.2795118919996478,5.972860790575598
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,LBY,NA,NA,3,0.5958742941638575,1.1312202699510259,1.1834209983271031
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,LBY,2,1p5,NA,0.6314781575772443,3.17456486393411,6.924413320364615
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,LBY,NA,NA,3,0.5075800364532593,1.189147333688956,1.4122520230194073
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,LBY,2,1p5,NA,0.697487670111207,4.194303183707905,11.566282196925302
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,LBY,NA,NA,3,0.4583738542924297,0.9164114934281086,1.012149134644882
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,LBY,2,1p5,NA,0.31129583829516827,1.5742829625605903,3.3680696639432757
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,LBY,NA,NA,3,0.4924545070639063,1.1696583815223789,1.402735360457815
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,LBY,2,1p5,NA,0.3110141665675582,1.6033417735470588,3.4466761566425568
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,LBY,NA,NA,3,0.4917139805329005,1.1661578142265927,1.4120784453056594
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,LBY,2,1p5,NA,0.22422049519501608,1.0247149559355113,2.3082184745222847
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,LBY,NA,NA,3,0.855334149680849,1.9330603695130721,2.1853391572448255
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,LBY,2,1p5,NA,0.2347641428719031,1.3848840816408643,3.6397966221038427
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,LBY,NA,NA,3,0.7555604698202225,1.4145564405513102,1.4770228573083313
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,LBY,2,1p5,NA,0.2683367885304605,1.2200311367698289,2.8566578262821274
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,LBY,NA,NA,3,0.6067230564000607,1.3402625011877487,1.7652347822080419
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,LBY,2,1p5,NA,0.2573786047883138,1.1987793560143727,2.892275022362776
