run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,LKA,2,1p5,NA,0.08160585707485293,0.6111211463467889,1.4299658955131473
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,LKA,NA,NA,3,0.6311336779816131,2.4638983736096436,2.953244665816273
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,LKA,2,1p5,NA,0.0813385075563608,0.6066997287002944,1.4238497140107083
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,LKA,NA,NA,3,0.6408778035301359,2.5018800913636965,3.0596360072255435
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,LKA,2,1p5,NA,0.10817747471531153,0.8414972609293239,2.043998445796662
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,LKA,NA,NA,3,0.6128772661653836,2.3397616982828713,2.715390290448645
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,LKA,2,1p5,NA,0.10880622187098539,0.8342684150952986,2.044188758032917
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,LKA,NA,NA,3,0.6210545174156439,2.3667081243061627,2.8153887201203207
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,LKA,2,1p5,NA,0.09526940824893927,1.0287138033230114,3.1501068655225986
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,LKA,NA,NA,3,0.5094558881757996,1.8055491209668422,1.9067347081547577
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,LKA,2,1p5,NA,0.20721282080214823,1.92370511394347,4.6689637589507145
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,LKA,NA,NA,3,0.36944956362011894,1.446283156305726,1.7595138934852186
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,LKA,2,1p5,NA,0.1772886628370754,2.392238632202531,7.080278573779342
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,LKA,NA,NA,3,0.31205603760401707,1.1569469606594194,1.2974242843337465
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,LKA,2,1p5,NA,0.09842312213852682,0.7693168046835057,1.9036481975785848
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,LKA,NA,NA,3,0.4037369211066837,1.6005778790406113,1.9672332464211761
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,LKA,2,1p5,NA,0.09880075171586944,0.7625052844578191,1.9107696803243697
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,LKA,NA,NA,3,0.4104684191633001,1.6264655405635309,2.036251645754149
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,LKA,2,1p5,NA,0.06751407796459238,0.48942360161559745,1.0946927587376634
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,LKA,NA,NA,3,0.8299373721690543,3.1921398155546274,3.722285010603356
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,LKA,2,1p5,NA,0.06181030038580646,0.5605660993358964,1.68851217917216
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,LKA,NA,NA,3,0.6909312875505387,2.4745030369233785,2.6213541632245954
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,LKA,2,1p5,NA,0.07938338687084401,0.589863877567659,1.404940972473354
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,LKA,NA,NA,3,0.6041735390865611,2.3442184731583158,3.0801337878481774
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,LKA,2,1p5,NA,0.07607398442330494,0.570905856507444,1.3392868966068365
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,LKA,NA,NA,3,0.5947660504117063,2.355175900826713,3.0873552001480746
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,LKA,2,1p5,NA,0.0734051995468669,0.6974911687054921,2.148796926572094
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,LKA,NA,NA,3,0.5584479902687092,1.8242546643793391,2.2805872852340605
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,LKA,2,1p5,NA,0.10087798697575692,0.8047178986964811,2.0156060666004216
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,LKA,NA,NA,3,0.6240167759865071,2.2077964810212527,2.8891102996619336
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,LKA,2,1p5,NA,0.10734754114931822,0.7782144460603704,1.911867516568777
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,LKA,NA,NA,3,0.5977418944593859,2.2453704211237615,2.8543877512671223
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,LKA,2,1p5,NA,0.0994063681405554,0.9929913347472821,3.065094142121551
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,LKA,NA,NA,3,0.5402093268157057,1.670018333213272,2.071669090124239
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,LKA,2,1p5,NA,0.20415227043271494,1.8023150596961417,4.539916145034661
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,LKA,NA,NA,3,0.37297121669238287,1.385841556661988,1.8274427007584915
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,LKA,2,1p5,NA,0.19269320077129357,1.7750134990051079,4.418453600788699
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,LKA,NA,NA,3,0.3736455332845081,1.3935640424815432,1.8304147900847998
