run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LUX,1,0p7,NA,0.14348898168082286,0.9655443075585416,1.5704454098831369
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LUX,1,1p5,NA,0.10828197447626611,1.1666267955497445,3.0129253069157906
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LUX,2,0p7,NA,0.0665760532046559,0.444028265843102,0.7354918008814311
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LUX,2,1p5,NA,0.05022157091795197,0.5170417978945453,1.2856657668254843
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LUX,NA,NA,3,0.041286893774765486,0.21540081961942495,0.29110892630469537
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LUX,NA,NA,5,0.014309502967615725,0.09019986535053964,0.13586197919588222
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LUX,1,0p7,NA,0.14467677451561323,0.9594507670042877,1.5477797559044644
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LUX,1,1p5,NA,0.11190200376024449,1.1910171776121938,3.1067217681360533
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LUX,2,0p7,NA,0.06755449960958902,0.44189297479912143,0.7298493098665005
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LUX,2,1p5,NA,0.050662399154456465,0.523416290821669,1.3120554910450686
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LUX,NA,NA,3,0.0406716818357566,0.21446147732931795,0.29165071614777566
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LUX,NA,NA,5,0.014084181343724817,0.09036106029628117,0.13808488476470207
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LUX,1,0p7,NA,0.1431331221863426,0.9771949082994131,1.5875992037272972
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LUX,1,1p5,NA,0.10223665748738,1.1257384505321038,2.915951217850154
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LUX,2,0p7,NA,0.06662833416121217,0.4458535234172223,0.7375855541645714
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LUX,2,1p5,NA,0.04806246377323821,0.5011471026627917,1.245142357113065
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LUX,NA,NA,3,0.042948845534746906,0.21888570450577813,0.2935605144304625
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LUX,NA,NA,5,0.014397628379990174,0.09015906242759766,0.13500704266072514
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LUX,1,0p7,NA,0.14489833190982018,0.970813228616615,1.5641917100492664
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LUX,1,1p5,NA,0.10529045489860482,1.1483006710945052,3.006648493248441
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LUX,2,0p7,NA,0.06773882226447533,0.44354076010133514,0.7307841519536908
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LUX,2,1p5,NA,0.04828773494933219,0.5051524241607707,1.2706611088117732
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LUX,NA,NA,3,0.04219036751980035,0.2174116120855016,0.2936437362129301
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LUX,NA,NA,5,0.014179874285034434,0.09016560309316185,0.1371161900719338
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LUX,1,0p7,NA,0.18902463866520972,0.913849283051436,1.3336731931656387
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LUX,1,1p5,NA,0.1462049973371836,1.382780862833207,4.19695206023299
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LUX,2,0p7,NA,0.08587648720300345,0.41964157977502364,0.6410469455794593
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LUX,2,1p5,NA,0.06924185007831336,0.5943320987115585,1.6743615307371604
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LUX,NA,NA,3,0.051344802256463117,0.18546810538533132,0.22721876104524177
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LUX,NA,NA,5,0.016709409677451176,0.08181919350676818,0.11688837746387266
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,LUX,1,0p7,NA,0.08258642476812954,0.5368484937273952,0.8815534856785626
