run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MAR,2,1p5,NA,0.21747474777729123,0.7696998445101427,1.532988813195415
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MAR,NA,NA,3,1.9931648899052665,3.978475013182571,4.566616930792365
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MAR,2,1p5,NA,0.21462687512840317,0.7677375136931697,1.5459691152144897
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MAR,NA,NA,3,1.9963087173605831,3.973321288650584,4.626826877867927
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MAR,2,1p5,NA,0.27846684362134455,0.9999605606136509,2.041726412068756
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MAR,NA,NA,3,1.9243020866902256,3.7663429880575436,4.207513910814708
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MAR,2,1p5,NA,0.27635210659194065,1.003025508622964,2.081458056224424
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MAR,NA,NA,3,1.9221445734413998,3.746452480948207,4.247230326984411
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MAR,2,1p5,NA,0.2950423719962805,1.2471779440964006,3.320831280379672
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MAR,NA,NA,3,1.6745453201404843,2.692013550516754,2.825372462266158
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MAR,2,1p5,NA,0.6015193013202403,2.4320889632772573,5.387702473814636
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MAR,NA,NA,3,1.264055457745969,2.5164674702199603,2.894972755523045
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MAR,2,1p5,NA,0.659345848678256,3.3330272470964104,8.433146712086497
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MAR,NA,NA,3,1.1051906700840666,1.8931308146944357,1.9934231043701929
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MAR,2,1p5,NA,0.27960738456085205,1.0166350252465268,2.121024278898437
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MAR,NA,NA,3,1.2483252960067375,2.516350409969765,2.9502934436355415
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MAR,2,1p5,NA,0.2776023428637306,1.0204984398843204,2.161302570274126
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MAR,NA,NA,3,1.2471437202058124,2.5219001263174405,2.990418275717942
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MAR,2,1p5,NA,0.16918165488857506,0.5858271227534879,1.12667953276412
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MAR,NA,NA,3,2.4204884951918535,4.793895930162821,5.404777915209748
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MAR,2,1p5,NA,0.17801107563886973,0.6779454488942737,1.6544794572962713
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MAR,NA,NA,3,2.1135449071595565,3.4753820355552043,3.6542569377156204
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MAR,2,1p5,NA,0.1979572515749692,0.7209739212807554,1.4819131842478357
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MAR,NA,NA,3,1.8069373626291168,3.556129336658351,4.797511235455972
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MAR,2,1p5,NA,0.1952061930754418,0.7042690894498042,1.465560391320754
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MAR,NA,NA,3,1.795576187578478,3.603026859052396,4.723616044366845
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MAR,2,1p5,NA,0.21240205654594935,0.9093214526210884,2.4371617766534284
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MAR,NA,NA,3,1.675815835741048,2.7691506899077174,3.454762151073672
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MAR,2,1p5,NA,0.2509681841319016,0.9414690064902219,1.9713063623435934
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MAR,NA,NA,3,1.784844656319621,3.353980006561786,4.49469112397133
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MAR,2,1p5,NA,0.2401580006353427,0.9171040408364751,1.9731579722555765
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MAR,NA,NA,3,1.7392193126382456,3.387131799447153,4.389042187114208
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,MAR,2,1p5,NA,0.2781854232138497,1.212099278329603,3.330301556523112
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,MAR,NA,NA,3,1.611753894819847,2.529377192649591,3.1696040061177193
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,MAR,2,1p5,NA,0.5471878310048928,2.2632518147244363,5.2002687867843935
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,MAR,NA,NA,3,1.1609432712189363,2.2561001562766614,3.0409382563436864
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,MAR,2,1p5,NA,0.5308883525073776,2.246338994961426,5.249215417505753
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,MAR,NA,NA,3,1.1520325641682057,2.284726946886767,2.9851512310038135
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,MAR,2,1p5,NA,0.6007374315838311,3.217628940938885,8.438491917171083
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,MAR,NA,NA,3,1.069863808278197,1.7682858022363133,2.202080664329051
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,MAR,2,1p5,NA,0.2541284210779921,0.9562226362523616,2.0425916242014592
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,MAR,NA,NA,3,1.1413524657799718,2.272116873862593,3.075901775616226
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,MAR,2,1p5,NA,0.24839565747821502,0.9317489501345576,2.0405890871296117
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,MAR,NA,NA,3,1.1276881047751068,2.294939293756716,3.0285698673694936
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,MAR,2,1p5,NA,0.2822537955564133,1.2686187413383108,3.2813481681774213
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,MAR,NA,NA,3,1.0534336824757753,1.8054347386682268,2.25122380448745
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,MAR,2,1p5,NA,0.15501200280642063,0.5508022161581766,1.0904087162191518
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,MAR,NA,NA,3,2.1785055235661663,4.2676117219331156,5.752042300521573
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,MAR,2,1p5,NA,0.1515029754669009,0.5355819187722048,1.0861128463629404
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,MAR,NA,NA,3,2.1624419084921804,4.305946307690872,5.600858412563597
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,MAR,2,1p5,NA,0.16201998050855715,0.6652524527797765,1.6634313541267811
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,MAR,NA,NA,3,2.0431395733367057,3.2548575052959396,4.074888891260294
bhm_lr,estimates,expected,SSP1,rcp45,1,MAR,2,1p5,NA,NA,0.745630558091104,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,MAR,NA,NA,3,NA,3.942751541091978,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,MAR,2,1p5,NA,NA,0.7446899517304197,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,MAR,NA,NA,3,NA,3.942739079734939,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,MAR,2,1p5,NA,NA,0.9694448159530957,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,MAR,NA,NA,3,NA,3.72984451368951,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,MAR,2,1p5,NA,NA,0.9699737562693151,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,MAR,NA,NA,3,NA,3.717305275433658,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,MAR,2,1p5,NA,NA,1.2135924549393031,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,MAR,NA,NA,3,NA,2.7448182804618035,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,MAR,2,1p5,NA,NA,2.3448135406745547,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,MAR,NA,NA,3,NA,2.4928377107266226,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,MAR,2,1p5,NA,NA,3.2430384069797493,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,MAR,NA,NA,3,NA,1.8817432510528094,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,MAR,2,1p5,NA,NA,0.9843984950778237,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,MAR,NA,NA,3,NA,2.4969022839782093,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,MAR,2,1p5,NA,NA,0.9865139419768476,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,MAR,NA,NA,3,NA,2.5004404967478284,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,MAR,2,1p5,NA,NA,0.5677414853981763,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,MAR,NA,NA,3,NA,4.738419433046767,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,MAR,2,1p5,NA,NA,0.6638448799614296,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,MAR,NA,NA,3,NA,3.524414159229289,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,MAR,2,1p5,NA,0.600564040131493,0.7037216289359604,0.8535555312230542
bhm_lr,estimates,uncertain,SSP1,rcp45,315,MAR,NA,NA,3,3.209108025531509,3.8016274345989176,4.598007549846942
bhm_lr,estimates,uncertain,SSP1,rcp60,210,MAR,2,1p5,NA,0.5756515496726806,0.6662264055553678,0.8446777042229686
bhm_lr,estimates,uncertain,SSP1,rcp60,210,MAR,NA,NA,3,3.211900709157957,3.8204108517818054,4.3247465109077226
bhm_lr,estimates,uncertain,SSP2,rcp45,315,MAR,2,1p5,NA,0.778522027862407,0.9126432454864408,1.1140232715332177
bhm_lr,estimates,uncertain,SSP2,rcp45,315,MAR,NA,NA,3,3.0123348236940206,3.610134453097807,4.372013120274083
bhm_lr,estimates,uncertain,SSP2,rcp60,210,MAR,2,1p5,NA,0.7430516424206227,0.86506131220673,1.1025194760927894
bhm_lr,estimates,uncertain,SSP2,rcp60,210,MAR,NA,NA,3,3.0469515838847805,3.6248588420747363,4.101106426056395
bhm_lr,estimates,uncertain,SSP2,rcp85,345,MAR,2,1p5,NA,0.9407017117826953,1.1348947469449726,1.5542288113744283
bhm_lr,estimates,uncertain,SSP2,rcp85,345,MAR,NA,NA,3,2.3658766770546404,2.7367804575236767,3.2538162251771006
bhm_lr,estimates,uncertain,SSP3,rcp45,315,MAR,2,1p5,NA,1.83625184657999,2.1999692749165036,2.6968850733289473
bhm_lr,estimates,uncertain,SSP3,rcp45,315,MAR,NA,NA,3,2.028334261127644,2.4093748260589902,2.9018156745556944
bhm_lr,estimates,uncertain,SSP3,rcp85,345,MAR,2,1p5,NA,2.511727053972461,3.053118731230445,4.109707371954176
bhm_lr,estimates,uncertain,SSP3,rcp85,345,MAR,NA,NA,3,1.626730827611776,1.8772554512061201,2.2097728101309664
bhm_lr,estimates,uncertain,SSP4,rcp45,315,MAR,2,1p5,NA,0.7889853854553115,0.9249108977014603,1.1307272852817603
bhm_lr,estimates,uncertain,SSP4,rcp45,315,MAR,NA,NA,3,2.0308721993426677,2.4103206881539294,2.890357753727275
bhm_lr,estimates,uncertain,SSP4,rcp60,210,MAR,2,1p5,NA,0.7522184487137467,0.877197654739087,1.1205600119804657
bhm_lr,estimates,uncertain,SSP4,rcp60,210,MAR,NA,NA,3,2.0407186475072363,2.4194961720843553,2.7556384365876867
bhm_lr,estimates,uncertain,SSP5,rcp45,315,MAR,2,1p5,NA,0.4590510008970175,0.5361647494270733,0.6541594983967525
bhm_lr,estimates,uncertain,SSP5,rcp45,315,MAR,NA,NA,3,3.836679244942358,4.580338189706336,5.543582617707407
bhm_lr,estimates,uncertain,SSP5,rcp85,345,MAR,2,1p5,NA,0.529841891642162,0.6249505421705127,0.8319632744414048
bhm_lr,estimates,uncertain,SSP5,rcp85,345,MAR,NA,NA,3,3.041580129285475,3.516908557281373,4.163321403139183
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,MAR,2,1p5,NA,0.21172378503600892,1.238622085818691,5.356150895918814
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,MAR,NA,NA,3,1.4076557589732042,4.002422217929042,4.531947368542004
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,MAR,2,1p5,NA,0.20269262006715613,1.1275671543987023,5.467234280786911
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,MAR,NA,NA,3,1.3009861887932046,4.196842387212184,4.66619788187672
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,MAR,2,1p5,NA,0.2513550436873661,2.327805151803352,9.885236683803146
