run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MDA,2,1p5,NA,0.0032365882142024053,0.02601829556486911,0.06054058708411416
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MDA,NA,NA,3,0.03999873253979742,0.15340975747823477,0.1934886724765816
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MDA,2,1p5,NA,0.0030732083291843985,0.025943648365103662,0.06062619075524581
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MDA,NA,NA,3,0.03955854639875361,0.1538860791409895,0.19820638003344512
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MDA,2,1p5,NA,0.003894859817435687,0.03127224519461197,0.07572833535394238
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MDA,NA,NA,3,0.03446088767580702,0.1290219201653097,0.1586614440523919
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MDA,2,1p5,NA,0.003745208772399086,0.031183522016551016,0.07508161477030255
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MDA,NA,NA,3,0.034465836419917094,0.1291093078657904,0.16158228791319892
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MDA,2,1p5,NA,0.004866802900692171,0.03694169681876591,0.1072085875074322
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MDA,NA,NA,3,0.03801429122736908,0.10368992261097713,0.11609759787281836
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MDA,2,1p5,NA,0.007368528226661953,0.05817789900589452,0.1600482798436739
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MDA,NA,NA,3,0.0320622301517537,0.11828945679695935,0.14410759238587836
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MDA,2,1p5,NA,0.009318801819814286,0.07726120627042782,0.23012513725477704
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MDA,NA,NA,3,0.03518159030371775,0.09445963508681796,0.10451347513544704
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MDA,2,1p5,NA,0.003380000124799522,0.02706958426418659,0.06286444229397806
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MDA,NA,NA,3,0.03128927119670304,0.11902584972161534,0.14926234657848395
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MDA,2,1p5,NA,0.0031685924365860165,0.0268245478856724,0.0628926567433064
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MDA,NA,NA,3,0.031024133976707138,0.11915066975575092,0.15286638229048338
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MDA,2,1p5,NA,0.0023978853946305537,0.01856701673712372,0.041107068864127676
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MDA,NA,NA,3,0.03774030599601315,0.1517855975643549,0.1935868343984503
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MDA,2,1p5,NA,0.0029404891732420706,0.02045618027218548,0.05268156345603299
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MDA,NA,NA,3,0.0443264717850848,0.12526047474876575,0.14673048831028868
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,2,1p5,NA,0.003096742666482708,0.024721236750478822,0.05997984306156156
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,NA,NA,3,0.03700448422982205,0.1353222117652994,0.205643283740542
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,2,1p5,NA,0.0029303192839847695,0.023417321912767755,0.05739720544759034
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,NA,NA,3,0.033663995104507474,0.1382328947848308,0.1967483310343996
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MDA,2,1p5,NA,0.0040773505135906175,0.02837816167664153,0.08390750016454365
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MDA,NA,NA,3,0.04355524669761845,0.11356113645400726,0.15326148218034416
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MDA,2,1p5,NA,0.003734973214727395,0.029451362326813425,0.0740274018824782
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MDA,NA,NA,3,0.03248440765482782,0.11288446005242556,0.17033287390471963
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MDA,2,1p5,NA,0.003360309509458622,0.028027317546802533,0.07058476084709611
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MDA,NA,NA,3,0.029171710167120647,0.11526560916152181,0.16206463568065524
