run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MMR,2,1p5,NA,0.058843028729074376,0.39069101714838356,0.8649116578361805
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MMR,NA,NA,3,0.6541863113199948,2.0303095750852376,2.291432134640224
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MMR,2,1p5,NA,0.058388668173770975,0.37983060868412927,0.8276505059674565
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MMR,NA,NA,3,0.6543477528051348,2.1363279873729306,2.52742294540054
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MMR,2,1p5,NA,0.09006088039131005,0.6334833902885353,1.5412227106821057
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MMR,NA,NA,3,0.4153161406764245,1.2823565273208093,1.449962944477765
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MMR,2,1p5,NA,0.08870193977760187,0.6156664696077667,1.4692225004896422
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MMR,NA,NA,3,0.41540925184546584,1.348634278533178,1.593610863718818
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MMR,2,1p5,NA,0.09181608107523508,0.8068364301337664,2.3538968446639323
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MMR,NA,NA,3,0.3667548969229478,0.9868082594922749,1.0393198313517498
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MMR,2,1p5,NA,0.18593370271327975,1.5006221327097875,3.4985799560679958
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MMR,NA,NA,3,0.22719527481284393,0.757426941511685,0.9245376012586236
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MMR,2,1p5,NA,0.1865913880021251,1.8747382062275093,5.667675124902998
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MMR,NA,NA,3,0.2070889512083866,0.6171842463557528,0.7193660393454203
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MMR,2,1p5,NA,0.16858380473920784,1.215625080825814,2.852185019512715
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MMR,NA,NA,3,0.1024684580585723,0.4002401751785766,0.5456681715815807
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MMR,2,1p5,NA,0.16650627680979166,1.1890632420458938,2.741660603162252
