run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MNE,2,1p5,NA,0.0021352071945049053,0.03500367052883858,0.09588797740952615
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MNE,NA,NA,3,0.006179658421192181,0.05021028862259181,0.06638462886598986
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MNE,2,1p5,NA,0.0020499189883288562,0.03541960981632457,0.09784055315956847
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MNE,NA,NA,3,0.006174959767016974,0.049722460677822884,0.06617112146137423
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MNE,2,1p5,NA,0.002618680902946565,0.04255103218816738,0.11762219600146824
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MNE,NA,NA,3,0.006330996956614456,0.04921597509488978,0.06369873443506802
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MNE,2,1p5,NA,0.0025487089344618423,0.04305727976943027,0.12026232258270828
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MNE,NA,NA,3,0.006231681501574269,0.048771132054185554,0.06347485563637868
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MNE,2,1p5,NA,0.004140300596666763,0.05517239365342126,0.1655037223039838
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MNE,NA,NA,3,0.010176430515802389,0.039922955501983916,0.04598758066794844
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MNE,2,1p5,NA,0.0037536842331188165,0.06462128061130633,0.16903886058869833
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MNE,NA,NA,3,0.004827472392819339,0.03864286976851914,0.050743475891463816
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MNE,2,1p5,NA,0.006158188491041616,0.07914717549535617,0.24725691123873705
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MNE,NA,NA,3,0.00781891024737784,0.03148016603171672,0.03739432979931064
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MNE,2,1p5,NA,0.0022199031858522855,0.03658026173554157,0.09926190820639191
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MNE,NA,NA,3,0.005410965397129275,0.04358888705712458,0.05754314009268159
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MNE,2,1p5,NA,0.0021307806320749125,0.037040051715721695,0.10124730297845216
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MNE,NA,NA,3,0.005403514325762671,0.043344743502714125,0.05730273439364586
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MNE,2,1p5,NA,0.0018664714934768607,0.030557049961280863,0.0811056459707551
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MNE,NA,NA,3,0.009094596275767428,0.06994462686305938,0.08902936586293043
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MNE,2,1p5,NA,0.0030902558020272507,0.036921588988820364,0.11638744805632405
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MNE,NA,NA,3,0.014503615432658693,0.056449654175343644,0.06299180318633031
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MNE,2,1p5,NA,0.0019137677842370972,0.03173912988154404,0.09073873945739251
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MNE,NA,NA,3,0.00620072478679347,0.04444450180240304,0.06652642295661344
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MNE,2,1p5,NA,0.0014723627080985892,0.031011840133376833,0.08966748135153499
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MNE,NA,NA,3,0.005987434034062943,0.04446406564343199,0.06333297394684041
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MNE,2,1p5,NA,0.0030989769405699668,0.04067721931803823,0.12819028234930746
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MNE,NA,NA,3,0.009415924395823191,0.037849515156646,0.05068367392159873
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MNE,2,1p5,NA,0.002482654818552605,0.03892683206860419,0.11187612587410094
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MNE,NA,NA,3,0.005993971008164038,0.04329526218252458,0.06444847099136743
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MNE,2,1p5,NA,0.0022544163314836404,0.037693737758315034,0.11057708287314112
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MNE,NA,NA,3,0.0058106169861020275,0.04330007354697854,0.06114633664260686
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,MNE,2,1p5,NA,0.003588282801860132,0.05058620395747745,0.1579814824316347
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,MNE,NA,NA,3,0.010154994752989092,0.03643829516885517,0.04832414743974832
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,MNE,2,1p5,NA,0.0036033145283449123,0.05923995511633151,0.16135052164686645
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,MNE,NA,NA,3,0.004629648484658143,0.03422812433086074,0.05096447269457047
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,MNE,2,1p5,NA,0.0030289126553952285,0.05809287569472932,0.16009511659603337
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,MNE,NA,NA,3,0.004770178998139582,0.034216640206280506,0.04853796483596523
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,MNE,2,1p5,NA,0.005807381657571237,0.0736016649658288,0.23725557566767094
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,MNE,NA,NA,3,0.007217372171933332,0.02895743675307992,0.038800676531963625
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,MNE,2,1p5,NA,0.002133951645758045,0.03364593017471978,0.09471476508723849
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,MNE,NA,NA,3,0.005302277334469861,0.038718803158503894,0.05764643606453631
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,MNE,2,1p5,NA,0.0017728124359658811,0.03226129246631988,0.0928867026784357
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,MNE,NA,NA,3,0.0049487260751391775,0.03854576611888179,0.05494822883753566
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,MNE,2,1p5,NA,0.003238839806849794,0.042541032961954245,0.13142084460308767
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,MNE,NA,NA,3,0.008381888326115377,0.03288013870006339,0.04403068143271099
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,MNE,2,1p5,NA,0.0017140215478652402,0.028115400126295636,0.07710596010744673
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,MNE,NA,NA,3,0.009321440594303346,0.06096683407620077,0.09046669507246669
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,MNE,2,1p5,NA,0.0016532633695083127,0.027092166739525306,0.07717245783975223
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,MNE,NA,NA,3,0.00825687653539346,0.061485927694656106,0.0860181145515111
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,MNE,2,1p5,NA,0.002767935342483773,0.03402262488323878,0.11224171061190369
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,MNE,NA,NA,3,0.014511259834870241,0.05075839803065159,0.06667384745844272
bhm_lr,estimates,expected,SSP1,rcp45,1,MNE,2,1p5,NA,NA,0.03610654199615538,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,MNE,NA,NA,3,NA,0.050964709450492154,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,MNE,2,1p5,NA,NA,0.036599897798877117,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,MNE,NA,NA,3,NA,0.05053505015798098,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,MNE,2,1p5,NA,NA,0.04395300903752937,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,MNE,NA,NA,3,NA,0.05000391686069077,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,MNE,2,1p5,NA,NA,0.04471143909264883,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,MNE,NA,NA,3,NA,0.049463246860291736,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,MNE,2,1p5,NA,NA,0.05748695561738904,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,MNE,NA,NA,3,NA,0.04028956869502732,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,MNE,2,1p5,NA,NA,0.0670402779569858,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,MNE,NA,NA,3,NA,0.03917279243631085,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,MNE,2,1p5,NA,NA,0.08259284304191808,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,MNE,NA,NA,3,NA,0.03184091586868736,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,MNE,2,1p5,NA,NA,0.03773541204424832,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,MNE,NA,NA,3,NA,0.04431741644342135,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,MNE,2,1p5,NA,NA,0.03827014425055595,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,MNE,NA,NA,3,NA,0.043911457206231616,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,MNE,2,1p5,NA,NA,0.031468821947586864,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,MNE,NA,NA,3,NA,0.0710800780668597,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,MNE,2,1p5,NA,NA,0.03862270836793744,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,MNE,NA,NA,3,NA,0.05678119575134912,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,MNE,2,1p5,NA,0.027741613906894308,0.03312832753366571,0.04467057795623135
bhm_lr,estimates,uncertain,SSP1,rcp45,315,MNE,NA,NA,3,0.04021934929286429,0.04815822335274998,0.06054315038937427
bhm_lr,estimates,uncertain,SSP1,rcp60,210,MNE,2,1p5,NA,0.026088734203718954,0.03280085583633469,0.0455058482573915
bhm_lr,estimates,uncertain,SSP1,rcp60,210,MNE,NA,NA,3,0.04114742603775696,0.04622607870901655,0.054773496766037336
bhm_lr,estimates,uncertain,SSP2,rcp45,315,MNE,2,1p5,NA,0.03349569061109652,0.0404187105809311,0.05482767180708798
bhm_lr,estimates,uncertain,SSP2,rcp45,315,MNE,NA,NA,3,0.03931318180477586,0.047226671545053216,0.05942069582544314
bhm_lr,estimates,uncertain,SSP2,rcp60,210,MNE,2,1p5,NA,0.03177581948440101,0.03997920736266515,0.05637358539879726
bhm_lr,estimates,uncertain,SSP2,rcp60,210,MNE,NA,NA,3,0.04005108064014002,0.045226364555293684,0.05374783998120197
bhm_lr,estimates,uncertain,SSP2,rcp85,345,MNE,2,1p5,NA,0.041536647519701764,0.05311573315792218,0.07510801841247425
bhm_lr,estimates,uncertain,SSP2,rcp85,345,MNE,NA,NA,3,0.03366468404949278,0.03913896950415028,0.04636582122119686
bhm_lr,estimates,uncertain,SSP3,rcp45,315,MNE,2,1p5,NA,0.05049989789463689,0.060932493461809595,0.0819282728072709
bhm_lr,estimates,uncertain,SSP3,rcp45,315,MNE,NA,NA,3,0.031017494167797383,0.037033705103702144,0.04644672076837955
bhm_lr,estimates,uncertain,SSP3,rcp85,345,MNE,2,1p5,NA,0.06091103629074628,0.07662474034968057,0.10938691817435332
bhm_lr,estimates,uncertain,SSP3,rcp85,345,MNE,NA,NA,3,0.026586101988465862,0.03086282366459197,0.0365848456955936
bhm_lr,estimates,uncertain,SSP4,rcp45,315,MNE,2,1p5,NA,0.02893081156329882,0.034650398235083854,0.04674445527060283
bhm_lr,estimates,uncertain,SSP4,rcp45,315,MNE,NA,NA,3,0.03501379224032003,0.04189604847854935,0.05260928117232587
bhm_lr,estimates,uncertain,SSP4,rcp60,210,MNE,2,1p5,NA,0.027251845832949047,0.03435811562225987,0.047785267656429285
bhm_lr,estimates,uncertain,SSP4,rcp60,210,MNE,NA,NA,3,0.0356839945506856,0.040146696737509806,0.0475156146172494
bhm_lr,estimates,uncertain,SSP5,rcp45,315,MNE,2,1p5,NA,0.02452177579416584,0.028889541427944736,0.03844798064772544
bhm_lr,estimates,uncertain,SSP5,rcp45,315,MNE,NA,NA,3,0.055882944252481755,0.06719934377127341,0.08451268522408659
bhm_lr,estimates,uncertain,SSP5,rcp85,345,MNE,2,1p5,NA,0.02841035212049419,0.035799512127495756,0.05177579552331249
bhm_lr,estimates,uncertain,SSP5,rcp85,345,MNE,NA,NA,3,0.04735675014650613,0.055199037713301584,0.0653528037387396
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,MNE,2,1p5,NA,-0.005772834901196209,0.1353646816597943,1.3627338973948626
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,MNE,NA,NA,3,-0.019815367554640743,0.05765513845247108,0.06833316733919938
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,MNE,2,1p5,NA,-0.00629737786095681,0.13909312158255588,1.5402298822353377
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,MNE,NA,NA,3,-0.020447122730184796,0.06105441385928454,0.06986953685454068
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,MNE,2,1p5,NA,-0.004190928143021397,0.2050351139736905,6.3698600137897765
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,MNE,NA,NA,3,-0.01464326509916828,0.04360623181663714,0.04915452573908262
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,MNE,2,1p5,NA,-0.007786578347108668,0.16656368389510703,1.759856645016391
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,MNE,NA,NA,3,-0.019254528286896375,0.05477917591509981,0.06443941702879635
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,MNE,2,1p5,NA,-0.008823576373172444,0.17220930457734476,2.001082935421629
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,MNE,NA,NA,3,-0.02196791402928765,0.0576053627401539,0.06554720143429267
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,MNE,2,1p5,NA,-0.00659724164832274,0.2644790279094136,8.495804128636617
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,MNE,NA,NA,3,-0.017309002679965525,0.040869743743366854,0.045650074731306625
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,MNE,2,1p5,NA,-0.01912440193548002,0.24358824385889713,2.8330970433614246
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,MNE,NA,NA,3,-0.0328781840232334,0.046045221080710394,0.052543417837605876
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,MNE,2,1p5,NA,-0.02156558746562921,0.25234793523240956,3.2652632568560613
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,MNE,NA,NA,3,-0.035334872405112516,0.04866894215972159,0.05378510828048944
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,MNE,2,1p5,NA,-0.01753078458024648,0.40604153435407986,14.92367876120688
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,MNE,NA,NA,3,-0.030771195283728077,0.0350959697401591,0.03816369792579195
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,1e3,MNE,2,1p5,NA,-0.007545120604164818,0.13980543099509862,1.4117890612815855
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,1e3,MNE,NA,NA,3,-0.018006994274332836,0.050945200031578736,0.059289676300290965
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp60,1e3,MNE,2,1p5,NA,-0.009017066752815038,0.1437729252181806,1.5940735816493001
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp60,1e3,MNE,NA,NA,3,-0.021238469594474663,0.05381456218767072,0.06058273312004347
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp85,1e3,MNE,2,1p5,NA,-0.007367770310825102,0.21199841844989645,6.587940144294015
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp85,1e3,MNE,NA,NA,3,-0.017159822259089776,0.03861249845909045,0.04271829810199506
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp45,1e3,MNE,2,1p5,NA,-0.004992679469626308,0.12044661334068349,1.1497687620057255
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp45,1e3,MNE,NA,NA,3,-0.016666577183517686,0.06906885360786515,0.08820348314221262
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,1e3,MNE,2,1p5,NA,-0.0054927274899041175,0.12297038276290902,1.290340449397168
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,1e3,MNE,NA,NA,3,-0.02143341071497299,0.07269809076151819,0.08948020177670778
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp85,1e3,MNE,2,1p5,NA,-0.0033377286534188814,0.1795337514132492,5.11366122683213
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp85,1e3,MNE,NA,NA,3,-0.01465828615561811,0.05111584839101164,0.06124028635297832
