run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NCL,2,1p5,NA,0.008581749227975853,0.03770809569734372,0.07912463503248104
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NCL,NA,NA,3,0.01905169668781491,0.05086716592855156,0.06571345078554572
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NCL,2,1p5,NA,0.008501670084362678,0.03817964097486549,0.08195821796249031
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NCL,NA,NA,3,0.019001256933067114,0.0505888141765334,0.06541382128279453
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NCL,2,1p5,NA,0.011311327410479964,0.05131357777719559,0.10867284503869179
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NCL,NA,NA,3,0.01800568819669543,0.04754169070111939,0.060821995479417836
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NCL,2,1p5,NA,0.011345219772252614,0.052244775338537684,0.11062244633087093
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NCL,NA,NA,3,0.017955373924761535,0.04724325955920556,0.06040138926249265
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NCL,2,1p5,NA,0.011732842665882067,0.06465975199773277,0.1436153006561607
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NCL,NA,NA,3,0.01681910716713155,0.038617379621109386,0.04540387460521607
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NCL,2,1p5,NA,0.016137067368021774,0.07487051839999165,0.14956633490265347
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NCL,NA,NA,3,0.013450728193850703,0.035845557499923394,0.04626848069065292
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NCL,2,1p5,NA,0.01705429860667891,0.08957646326115137,0.20397710817293951
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NCL,NA,NA,3,0.012488885215421547,0.029494274114445263,0.035185413949240726
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NCL,2,1p5,NA,0.007995226756221966,0.034776711778809095,0.07208955322265118
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NCL,NA,NA,3,0.01863216508882841,0.049432515633470155,0.06353363397743797
