run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NER,2,1p5,NA,0.012497406319562785,0.15345208899831042,0.4121749001919404
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NER,NA,NA,3,0.9527521831574988,2.856149387377931,3.3149176518075474
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NER,2,1p5,NA,0.012726204270053543,0.15260824444865193,0.42512847929912523
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NER,NA,NA,3,0.9465698039422239,2.757410504907071,3.200294268531352
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NER,2,1p5,NA,0.024665678264780232,0.33122286527419886,0.9845269868339372
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NER,NA,NA,3,0.7561129993405056,2.2557756066912136,2.6786497875939013
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NER,2,1p5,NA,0.025022407748539324,0.3314580174777495,1.0393385677734548
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NER,NA,NA,3,0.7838944933296377,2.1626966616423453,2.576397261316163
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NER,2,1p5,NA,0.022787113881957234,0.45281751505233575,2.337443245212703
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NER,NA,NA,3,0.43665294671351756,1.1039689298844888,1.5962814552761386
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NER,2,1p5,NA,0.06537365921461738,1.1418836769857275,3.845014319240864
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NER,NA,NA,3,0.28576542705756863,0.8710198241195787,0.9996332405343715
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NER,2,1p5,NA,0.05924069925612863,1.829482519564117,8.469536338872095
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NER,NA,NA,3,0.20522291932541795,0.48300562715254236,0.6129030302086896
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NER,2,1p5,NA,0.0842688236547402,1.6109731859159007,4.919472364531956
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NER,NA,NA,3,0.17175915288355795,0.5626749136786665,0.6343560684755069
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NER,2,1p5,NA,0.08443919348979104,1.641911969111891,5.204156689056232
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NER,NA,NA,3,0.17092675344729474,0.555903586276136,0.621050113333565
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NER,2,1p5,NA,0.010504353612901309,0.12470627764674931,0.32118305705296574
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NER,NA,NA,3,1.5114161220494189,4.433237621553388,5.186808801790762
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,NER,2,1p5,NA,0.010082325578796212,0.15311827167497077,0.668993351032675
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,NER,NA,NA,3,0.8598148422126664,2.2312472108297206,3.1152605931534323
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,NER,2,1p5,NA,0.012535547870281006,0.14609956716048517,0.39166362414336664
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,NER,NA,NA,3,0.8741059733606091,2.771533812641678,3.5270703358544506
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,NER,2,1p5,NA,0.012502548071190956,0.14091668144542072,0.386989601273404
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,NER,NA,NA,3,0.8228584211594113,2.640519751093149,3.2764718076340995
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,NER,2,1p5,NA,0.011792777139583464,0.18732188161965416,0.8870046016828741
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,NER,NA,NA,3,0.5042662389759306,1.4797744518238478,2.1092253598937925
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,NER,2,1p5,NA,0.026094009452277248,0.31096160332900685,0.9373730887019214
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,NER,NA,NA,3,0.7193010416684884,2.2072709111198994,2.8505421517455805
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,NER,2,1p5,NA,0.024833819820238523,0.30328196984000116,0.917430592457474
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,NER,NA,NA,3,0.7152468296809112,2.0898824206019286,2.6252186322446818
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,NER,2,1p5,NA,0.02313475794476695,0.43355415627684657,2.1726076766217504
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,NER,NA,NA,3,0.3760732353680936,1.1130131821767772,1.6620609664491726
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,NER,2,1p5,NA,0.0655829145055115,1.0570237093626418,3.603092281435494
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,NER,NA,NA,3,0.28882778847769125,0.8461707345556345,1.069184469773952
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,NER,2,1p5,NA,0.06819266345258707,1.0682033992242035,3.6457675585978735
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,NER,NA,NA,3,0.2685003498888122,0.8146127182247561,0.996756412289291
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,NER,2,1p5,NA,0.056329677673019315,1.7391632179381236,7.832217464787868
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,NER,NA,NA,3,0.17616101181078742,0.47590747036811804,0.6524183567914847
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,NER,2,1p5,NA,0.08796941164394728,1.497862985135115,4.5900287791765475
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,NER,NA,NA,3,0.16457451699453654,0.5455271578408183,0.6780050519780679
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,NER,2,1p5,NA,0.08434354933408623,1.490611037001014,4.573929919816075
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,NER,NA,NA,3,0.16610302316754683,0.5308842291058696,0.6411480809305701
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,NER,2,1p5,NA,0.07007189310770329,2.1951797699933153,10.21401068728094
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,NER,NA,NA,3,0.1329020534177637,0.32877887615749696,0.429040047600853
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,NER,2,1p5,NA,0.010391959941669946,0.12124467668132222,0.30946048975999496
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,NER,NA,NA,3,1.3278477762869592,4.312664546992381,5.5268068025725805
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,NER,2,1p5,NA,0.010091948364707434,0.11636993264916108,0.2975846378774326
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,NER,NA,NA,3,1.3755763114093846,4.098256094298708,5.098142345698584
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,NER,2,1p5,NA,0.009531011785183405,0.14781091252558923,0.6097602420617788
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,NER,NA,NA,3,0.7404413267187275,2.2400809433275746,3.2617706502502903
bhm_lr,estimates,expected,SSP1,rcp45,1,NER,2,1p5,NA,NA,0.14381247263869285,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,NER,NA,NA,3,NA,3.392666153906441,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,NER,2,1p5,NA,NA,0.14423533297908528,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,NER,NA,NA,3,NA,3.2788619763601563,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,NER,2,1p5,NA,NA,0.3089298992591028,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,NER,NA,NA,3,NA,2.7459853616788674,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,NER,2,1p5,NA,NA,0.31150100577600287,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,NER,NA,NA,3,NA,2.637461120263798,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,NER,2,1p5,NA,NA,0.41930790038122734,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,NER,NA,NA,3,NA,1.501256212205315,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,NER,2,1p5,NA,NA,1.046486668298812,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,NER,NA,NA,3,NA,1.0218636350720942,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,NER,2,1p5,NA,NA,1.6887590137844826,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,NER,NA,NA,3,NA,0.6032367401866768,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,NER,2,1p5,NA,NA,1.4916091650587715,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,NER,NA,NA,3,NA,0.6422108703646577,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,NER,2,1p5,NA,NA,1.526610940000358,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,NER,NA,NA,3,NA,0.6281087830789118,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,NER,2,1p5,NA,NA,0.11709617678216942,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,NER,NA,NA,3,NA,5.31973591836139,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,NER,2,1p5,NA,NA,0.1432066934321152,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,NER,NA,NA,3,NA,2.9843833618407056,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,NER,2,1p5,NA,0.11332171833568688,0.1357004299298506,0.18206655233716265
bhm_lr,estimates,uncertain,SSP1,rcp45,315,NER,NA,NA,3,2.974613495804167,3.397586330607389,3.919304258942971
bhm_lr,estimates,uncertain,SSP1,rcp60,210,NER,2,1p5,NA,0.11262794471547599,0.1311383327117546,0.16839380318049238
bhm_lr,estimates,uncertain,SSP1,rcp60,210,NER,NA,NA,3,2.8787213441440267,3.1857018647509516,3.5450565170472568
bhm_lr,estimates,uncertain,SSP2,rcp45,315,NER,2,1p5,NA,0.2374071085140508,0.2912342990719959,0.39977712764093787
bhm_lr,estimates,uncertain,SSP2,rcp45,315,NER,NA,NA,3,2.3914162577532463,2.7571106991603846,3.1793256843997906
bhm_lr,estimates,uncertain,SSP2,rcp60,210,NER,2,1p5,NA,0.23870705123938754,0.2823484264610087,0.3698326098466614
bhm_lr,estimates,uncertain,SSP2,rcp60,210,NER,NA,NA,3,2.3070321998625993,2.568588255867897,2.85764619323338
bhm_lr,estimates,uncertain,SSP2,rcp85,345,NER,2,1p5,NA,0.30381685030975386,0.3782310755047534,0.5892720202530553
bhm_lr,estimates,uncertain,SSP2,rcp85,345,NER,NA,NA,3,1.1805665677438124,1.509719980710389,1.8886484045253893
bhm_lr,estimates,uncertain,SSP3,rcp45,315,NER,2,1p5,NA,0.7402170365857554,0.9923623594347083,1.446224915887975
bhm_lr,estimates,uncertain,SSP3,rcp45,315,NER,NA,NA,3,0.8989153552743596,1.0209004446502679,1.1761812696748624
bhm_lr,estimates,uncertain,SSP3,rcp85,345,NER,2,1p5,NA,1.1631345074135357,1.5424441711195405,2.3641555166369947
bhm_lr,estimates,uncertain,SSP3,rcp85,345,NER,NA,NA,3,0.4919819986039037,0.6024127959996911,0.7382210593372907
bhm_lr,estimates,uncertain,SSP4,rcp45,315,NER,2,1p5,NA,1.0557931842641777,1.413929907199666,1.988709445319685
bhm_lr,estimates,uncertain,SSP4,rcp45,315,NER,NA,NA,3,0.5679315802481659,0.6363535422930676,0.7397706356656046
bhm_lr,estimates,uncertain,SSP4,rcp60,210,NER,2,1p5,NA,1.1185712699013486,1.3751733286444225,1.8827073717818588
bhm_lr,estimates,uncertain,SSP4,rcp60,210,NER,NA,NA,3,0.5498837602486996,0.6133827544870194,0.6749865261760266
bhm_lr,estimates,uncertain,SSP5,rcp45,315,NER,2,1p5,NA,0.09275305175041174,0.11095057200926442,0.14762597013298784
bhm_lr,estimates,uncertain,SSP5,rcp45,315,NER,NA,NA,3,4.656143367964973,5.326704537779721,6.161668948255888
bhm_lr,estimates,uncertain,SSP5,rcp85,345,NER,2,1p5,NA,0.10987122543390343,0.13307990092435085,0.18892642222310513
bhm_lr,estimates,uncertain,SSP5,rcp85,345,NER,NA,NA,3,2.3620802024449374,3.0019052869056897,3.7137931443265955
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,NER,2,1p5,NA,-0.0389780887002609,0.16188675362278196,0.6518344142974113
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,NER,NA,NA,3,-2.044745986567251,2.2118103496838923,3.1093392429601217
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,NER,2,1p5,NA,-0.03849836273566022,0.16259531954097814,0.6925225803929668
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,NER,NA,NA,3,-2.2069660204807673,2.1656719006713185,3.0125979032315393
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,NER,2,1p5,NA,-0.04257948191633318,0.1974868670481989,1.9339150998333285
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,NER,NA,NA,3,-2.7981956041405436,1.0013760464724761,1.7401540249092098
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,NER,2,1p5,NA,-0.09327485860947514,0.3508877412327657,1.698293549830626
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,NER,NA,NA,3,-4.15609075790303,1.7042484982143835,2.507060234225937
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,NER,2,1p5,NA,-0.09223093756207316,0.3549685986299736,1.8749826782535726
