run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NPL,2,1p5,NA,0.04890747814256277,0.21251131463964984,0.4389159794783534
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NPL,NA,NA,3,1.3911562462659344,2.660100595516165,2.856349238422304
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NPL,2,1p5,NA,0.04904412239899035,0.21174648912982164,0.4380496872386493
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NPL,NA,NA,3,1.3873438608546016,2.6689801108933495,2.855917688517899
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NPL,2,1p5,NA,0.07524478318860381,0.3376392919339279,0.7314135087108175
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NPL,NA,NA,3,1.002957193142563,1.853395693009592,1.9960890295740785
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NPL,2,1p5,NA,0.07525784246919122,0.33750271087906913,0.7355077995794305
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NPL,NA,NA,3,1.000099506752883,1.8513098793610139,1.9832883105595343
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NPL,2,1p5,NA,0.076861076347475,0.41528330968028854,1.259137819062593
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NPL,NA,NA,3,0.8154746391378133,1.2005135132015325,1.3237605602073899
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NPL,2,1p5,NA,0.17662801401391778,0.9404178636683356,2.3335970059276305
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NPL,NA,NA,3,0.46929429807405404,0.9186638442157085,0.9835996526201353
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NPL,2,1p5,NA,0.1888219326549736,1.3487930593642325,3.7543766716041804
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NPL,NA,NA,3,0.4009474049143415,0.6331124701393271,0.6712692767276904
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NPL,2,1p5,NA,0.22934886694460974,1.2870087823189622,2.934901597403408
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NPL,NA,NA,3,0.29133994499295235,0.6119748615755191,0.6593659179946547
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NPL,2,1p5,NA,0.22869484945536583,1.2955486706389376,2.9919469670631007
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NPL,NA,NA,3,0.29040118950625715,0.6159453660179858,0.6729267387037805
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NPL,2,1p5,NA,0.04079444917289161,0.17366528003071166,0.34864929117045457
