run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NZL,2,1p5,NA,0.14760328983304055,0.7088324328846028,1.5384879134665261
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NZL,NA,NA,3,0.3276472872264011,0.9949371025109224,1.357853967906561
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NZL,2,1p5,NA,0.15000188857766908,0.7214410986499021,1.5999559950811766
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NZL,NA,NA,3,0.3333720072260465,0.975180143588583,1.3163761474994982
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NZL,2,1p5,NA,0.15096468281557718,0.7257497459711004,1.577747793254573
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NZL,NA,NA,3,0.30650802158962737,0.9249924351640503,1.2565186050396469
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NZL,2,1p5,NA,0.15339792997007365,0.739467362576213,1.6412602962061131
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NZL,NA,NA,3,0.29701854970632696,0.9048570388723705,1.215981639969299
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NZL,2,1p5,NA,0.1661874435827201,0.8735395180609895,2.0555555944697055
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NZL,NA,NA,3,0.29996174391486086,0.7713050655661766,0.9397858125382839
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NZL,2,1p5,NA,0.1239655100112145,0.6008496156590836,1.304709347034446
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NZL,NA,NA,3,0.16794441320071737,0.5342794607846042,0.7489357001433312
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NZL,2,1p5,NA,0.13608538727846065,0.7271933029660541,1.5847239706854028
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NZL,NA,NA,3,0.16933725361669488,0.46275405307377865,0.5975764807885672
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NZL,2,1p5,NA,0.1221348731769278,0.5829950346116819,1.244172238491479
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NZL,NA,NA,3,0.2992276807869276,0.9153958376105316,1.253702333912716
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NZL,2,1p5,NA,0.12370973758083491,0.5916371852542088,1.287118178816409
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NZL,NA,NA,3,0.3042051877582194,0.8975418957441604,1.2203773088554484
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NZL,2,1p5,NA,0.16275341665819928,0.7725588458236459,1.6488433023023972
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NZL,NA,NA,3,0.6272569602429592,1.8158920816646038,2.400280645255638
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,NZL,2,1p5,NA,0.17876322893214835,0.9139998576189243,2.306375052818803
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,NZL,NA,NA,3,0.5978111192643122,1.4695061658831046,1.6915060608988715
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,NZL,2,1p5,NA,0.13370525701896935,0.6311751380510291,1.452729180332645
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,NZL,NA,NA,3,0.2975315609646564,0.9244212764038664,1.3308184480476846
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,NZL,2,1p5,NA,0.14029122614950418,0.6446748934092218,1.4725007771001362
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,NZL,NA,NA,3,0.29591572310466496,0.90734132390708,1.301270096428467
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,NZL,2,1p5,NA,0.14942892645736575,0.757352168146048,1.9411744536926592
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,NZL,NA,NA,3,0.31333907625042884,0.7942809335118654,1.0356890780036043
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,NZL,2,1p5,NA,0.13704056224405042,0.6543554105723681,1.4838478788361302
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,NZL,NA,NA,3,0.2685444161493229,0.8547111585071536,1.230319336333276
bhm_lr,bootstrap,uncertain,SSP2,rcp60,194805,NZL,2,1p5,NA,0.14168823945589465,0.6568617555790798,1.5124715645465299
bhm_lr,bootstrap,uncertain,SSP2,rcp60,194805,NZL,NA,NA,3,0.27192254329857507,0.8451170655040118,1.1982957711101736
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,NZL,2,1p5,NA,0.15768217919557395,0.7724020103905803,1.9924769137762692
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,NZL,NA,NA,3,0.28148794764938334,0.7308214651541707,0.9482844430190954
