run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,PAN,2,1p5,NA,0.07201854157760472,0.5152953061457339,1.264956057123454
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,PAN,NA,NA,3,0.25206075198238465,0.842160749366688,1.015356643506845
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,PAN,2,1p5,NA,0.07138846715141504,0.5106791419894973,1.242289264877299
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,PAN,NA,NA,3,0.2518804983882725,0.8678789847804099,1.0713710192559427
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,PAN,2,1p5,NA,0.09240432485258146,0.683087358388709,1.6844275479533664
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,PAN,NA,NA,3,0.27066846947952794,0.8845317284341984,1.0357268033124811
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,PAN,2,1p5,NA,0.09163664698912803,0.6753155740480911,1.6555247043654946
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,PAN,NA,NA,3,0.27290628568187014,0.909760817856137,1.095077388321426
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,PAN,2,1p5,NA,0.09076692997589841,0.9131161324547129,2.51720308636862
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,PAN,NA,NA,3,0.24075831113859733,0.6836086215170428,0.7279402781819084
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,PAN,2,1p5,NA,0.15818627965918067,1.287316569642438,2.9490677806898153
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,PAN,NA,NA,3,0.21802359961210613,0.7166146532713786,0.8495994092720455
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,PAN,2,1p5,NA,0.15949027503323332,1.59774495080138,4.6129715991277545
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,PAN,NA,NA,3,0.19412224521399343,0.558534336206955,0.6059357159872595
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,PAN,2,1p5,NA,0.08015444325615216,0.5857022330517231,1.3973264270734247
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,PAN,NA,NA,3,0.208967777600683,0.7009092502273259,0.8492455871284271
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,PAN,2,1p5,NA,0.0794605064671739,0.5748801707645614,1.3718222998649774
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,PAN,NA,NA,3,0.20895264635681937,0.7206505102654293,0.8946676653964861
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,PAN,2,1p5,NA,0.06218110725903339,0.42924950919799143,1.0004472746079414
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,PAN,NA,NA,3,0.34689384681820584,1.1470154523379885,1.337493884718745
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,PAN,2,1p5,NA,0.06199788966798241,0.5355144785874943,1.5570071982956295
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,PAN,NA,NA,3,0.31164236722108135,0.8846952447104489,0.9366014100893393
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,PAN,2,1p5,NA,0.0666506909907373,0.4666994944839284,1.2374939509106864
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,PAN,NA,NA,3,0.23644717638156154,0.780090132530357,1.0440183400852487
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PAN,2,1p5,NA,0.06684500669495783,0.44459122544733076,1.156057090520126
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PAN,NA,NA,3,0.22414480414146043,0.7755187901361801,1.0315446077232935
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,PAN,2,1p5,NA,0.07012366986438072,0.6102497049709734,1.8337085377250437
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,PAN,NA,NA,3,0.21473782445727135,0.6244054556212464,0.7892647721670032
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,PAN,2,1p5,NA,0.085191628936079,0.6225241782829181,1.6508327532862668
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,PAN,NA,NA,3,0.2651010454788852,0.8110706267536113,1.0776526414305427
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,PAN,2,1p5,NA,0.0827715895860474,0.5849524055813204,1.5467590981540935
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,PAN,NA,NA,3,0.24902365330631474,0.8090133068091072,1.060327088572568
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,PAN,2,1p5,NA,0.08706098225714169,0.8390430570609961,2.4562809931829648
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,PAN,NA,NA,3,0.2273806346376907,0.6370342421938708,0.7979293851626049
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,PAN,2,1p5,NA,0.1463329150434745,1.1783772683233722,2.927567517544537
