run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PNG,1,0p7,NA,0.23557531134945217,0.8015261856457689,1.2727263009000023
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PNG,1,1p5,NA,0.03609655328754021,0.15761620491352654,0.3229938476665876
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PNG,2,0p7,NA,0.12422039381524884,0.42145129392758096,0.6574336073827175
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PNG,2,1p5,NA,0.02327273392003593,0.09882949806916609,0.19315663822879767
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PNG,NA,NA,3,0.4107930835219216,1.0022357813572804,1.1475729199234326
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PNG,NA,NA,5,0.11964438638996917,0.313621214824849,0.39565619475455865
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PNG,1,0p7,NA,0.23590469319616678,0.8043440977679795,1.275581513235961
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PNG,1,1p5,NA,0.03568887351812278,0.15804534818358573,0.3269311520652024
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PNG,2,0p7,NA,0.12433213530517467,0.42092356577781165,0.6575350117705805
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PNG,2,1p5,NA,0.023141102101928955,0.0987178181601776,0.19345891375131585
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PNG,NA,NA,3,0.40955516780767176,0.9929475657819286,1.1420639101477246
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PNG,NA,NA,5,0.11920134633770658,0.31417760321863947,0.40069762871557346
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PNG,1,0p7,NA,0.27944008512330126,0.9586918962824403,1.5323078137879107
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PNG,1,1p5,NA,0.05445392085819649,0.24316519504153547,0.5164490064289782
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PNG,2,0p7,NA,0.1423970557981481,0.48208425622463763,0.7527488314541492
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PNG,2,1p5,NA,0.03358566850734544,0.14513727356958128,0.2912317228354701
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PNG,NA,NA,3,0.3529856192330034,0.8485899841177091,0.9543027569185157
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PNG,NA,NA,5,0.09835034898593584,0.2553764396686631,0.3191297044563406
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PNG,1,0p7,NA,0.27931080561449206,0.9640427095266813,1.5367203499947706
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PNG,1,1p5,NA,0.05398580572629328,0.2444565016327029,0.5268094028317981
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PNG,2,0p7,NA,0.14207420148825464,0.48009438677342203,0.7537847136410905
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PNG,2,1p5,NA,0.0332266879533224,0.14520071569177054,0.29301442168939973
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PNG,NA,NA,3,0.3516342862418676,0.838176402862156,0.945261800621281
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PNG,NA,NA,5,0.09817420483457724,0.25540498340379697,0.322566891099337
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PNG,1,0p7,NA,0.2555560106375462,0.9358488152278462,1.4949199659656678
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PNG,1,1p5,NA,0.05446764151171751,0.3001212239215256,0.8829469694465214
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PNG,2,0p7,NA,0.13226573125063243,0.4617296594379304,0.7093563197682154
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PNG,2,1p5,NA,0.033706812844839534,0.16872933391976325,0.4219211903941019
