run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,POL,2,1p5,NA,0.21670150149251324,4.292735500444245,11.76325350589425
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,POL,NA,NA,3,0.5725675864984698,4.637581573172483,6.1493986070868845
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,POL,2,1p5,NA,0.21998156369862812,4.4226432758870216,12.137573805003644
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,POL,NA,NA,3,0.5825011269203126,4.573377889204725,6.064926417379197
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,POL,2,1p5,NA,0.17489883985653187,4.031661396144725,11.058980775212593
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,POL,NA,NA,3,0.548555249477063,4.3916700763059024,5.781637624231843
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,POL,2,1p5,NA,0.17437339003161617,4.142073707679786,11.401456069529877
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,POL,NA,NA,3,0.5538058710769175,4.317210843622741,5.697350738342788
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,POL,2,1p5,NA,0.33861439674034605,5.080079977395941,14.934594948805819
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,POL,NA,NA,3,0.7937248428786432,3.697616583145219,4.48224193938184
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,POL,2,1p5,NA,0.16740029684738755,3.488267335774556,8.987824148233694
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,POL,NA,NA,3,0.3077918161312787,2.9389582468108184,4.138137495302164
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,POL,2,1p5,NA,0.2832953605070648,4.111012887579485,11.895199808123747
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,POL,NA,NA,3,0.4792118385069599,2.5806834842675523,3.3950707257003203
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,POL,2,1p5,NA,0.16672080477574297,3.400457371622053,9.241997648356254
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,POL,NA,NA,3,0.5086443992431372,4.261805956967606,5.7224513431543045
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,POL,2,1p5,NA,0.1662170518717305,3.474580113307011,9.49734135142202
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,POL,NA,NA,3,0.5234076096153053,4.2149161951345375,5.675426250640092
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,POL,2,1p5,NA,0.21981902729423286,4.272539722368387,12.388593680663359
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,POL,NA,NA,3,0.9437308370069926,7.065419527600275,8.720599206677937
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,POL,2,1p5,NA,0.36789684301578374,5.275879547461272,16.88807511747248
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,POL,NA,NA,3,1.4443524455738834,5.763236568325635,6.381269348697312
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,POL,2,1p5,NA,0.19581193613507006,4.0398177174000445,11.600202288836106
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,POL,NA,NA,3,0.46315645878443074,4.203634721951365,6.50579822365123
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,POL,2,1p5,NA,0.20118184778060744,4.014032017844107,11.551795773238204
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,POL,NA,NA,3,0.511474362366925,4.148326512138858,6.122806368564449
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,POL,2,1p5,NA,0.35538576732257354,5.041900849174073,15.429540368068674
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,POL,NA,NA,3,0.7550222103690791,3.603000967594349,5.135722869272994
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,POL,2,1p5,NA,0.16843418042805072,3.793459853368659,10.862624585892819
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,POL,NA,NA,3,0.4839721047965367,3.9472353781626475,6.118784579390156
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,POL,2,1p5,NA,0.1770211939039212,3.723525091702327,10.760490576363877
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,POL,NA,NA,3,0.4881777670333546,3.8878821818786746,5.738607511043801
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,POL,2,1p5,NA,0.3137964582426413,4.6490756155534045,14.38015461387433
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,POL,NA,NA,3,0.738136516379071,3.3777412536698703,4.809359384925387
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,POL,2,1p5,NA,0.14006943440989644,3.3016916251477917,8.888449356272735
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,POL,NA,NA,3,0.3068420705691921,2.7146635053793413,4.310078123389294
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,POL,2,1p5,NA,0.16040201368466042,3.2358491133421543,8.770331144880965
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,POL,NA,NA,3,0.26603171721635527,2.693733357932749,4.1011425204452765
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,POL,2,1p5,NA,0.2829969991360567,3.9248467126058584,11.678931347560221
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,POL,NA,NA,3,0.4342455131383791,2.405459736686581,3.5562739344981344
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,POL,2,1p5,NA,0.15691835318643524,3.2114486865707113,9.092729059607816
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,POL,NA,NA,3,0.47128083853344427,3.8674899339155697,6.0254598554836685
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,POL,2,1p5,NA,0.16601853202998043,3.154789110726911,9.079738976820073
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,POL,NA,NA,3,0.4390318944197174,3.824879712577692,5.693153457012027
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,POL,2,1p5,NA,0.2764827215612361,3.954004723894149,11.907291851447521
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,POL,NA,NA,3,0.6518475189664077,3.352661017074845,4.805527510460446
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,POL,2,1p5,NA,0.21020795924957605,4.014122479130103,11.93617925878892
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,POL,NA,NA,3,0.7818553251508925,6.177504059823423,9.460741648651119
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,POL,2,1p5,NA,0.19164345970360147,3.9392174661588832,12.018390315686494
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,POL,NA,NA,3,0.841126512433113,6.229818795928595,8.797178845091791
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,POL,2,1p5,NA,0.3645486176580735,4.913716409193713,16.572132485758555
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,POL,NA,NA,3,1.2464932249950877,5.119576117571884,7.088097775062229
bhm_lr,estimates,expected,SSP1,rcp45,1,POL,2,1p5,NA,NA,4.460541500314631,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,POL,NA,NA,3,NA,4.708688135530802,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,POL,2,1p5,NA,NA,4.569250994037818,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,POL,NA,NA,3,NA,4.643264269931838,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,POL,2,1p5,NA,NA,4.1895176806734575,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,POL,NA,NA,3,NA,4.449776090499022,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,POL,2,1p5,NA,NA,4.285312763321444,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,POL,NA,NA,3,NA,4.384644353536474,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,POL,2,1p5,NA,NA,5.242592835702178,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,POL,NA,NA,3,NA,3.7403038832675013,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,POL,2,1p5,NA,NA,3.630402167161302,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,POL,NA,NA,3,NA,2.991501566695323,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,POL,2,1p5,NA,NA,4.262499988885852,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,POL,NA,NA,3,NA,2.615083115690818,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,POL,2,1p5,NA,NA,3.528585496155303,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,POL,NA,NA,3,NA,4.330024847439927,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,POL,2,1p5,NA,NA,3.5959394788060606,NA
