run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,PRT,2,1p5,NA,0.36011705149559037,1.3381577897851937,2.830072584833707
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,PRT,NA,NA,3,0.6544073187330404,1.4918536278044086,1.8721023192126363
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,PRT,2,1p5,NA,0.3610529870487676,1.3465289453343166,2.8714807947649685
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,PRT,NA,NA,3,0.6522758126814979,1.4916333955631746,1.8844118532940708
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,PRT,2,1p5,NA,0.3565712972414713,1.3247796628038995,2.797615620912799
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,PRT,NA,NA,3,0.6353662934485477,1.434208848766401,1.788777439666766
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,PRT,2,1p5,NA,0.3574692130328689,1.3321620141543715,2.839948007634403
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,PRT,NA,NA,3,0.633875509314409,1.434592545004,1.7981383810963094
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,PRT,2,1p5,NA,0.38177211326674404,1.7103771346342527,3.6778854668417327
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,PRT,NA,NA,3,0.5919597204779375,1.1610977503273476,1.334038013599791
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,PRT,2,1p5,NA,0.30145675852383386,1.124336356918581,2.22213286250254
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,PRT,NA,NA,3,0.34282487560010627,0.8196476844706708,1.0730814042738162
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,PRT,2,1p5,NA,0.3197167897145086,1.3445477929484817,2.860691451410682
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,PRT,NA,NA,3,0.32790756240777647,0.6999043622642732,0.8651707947884901
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,PRT,2,1p5,NA,0.31427562979833046,1.1555939798026158,2.4149135294391604
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,PRT,NA,NA,3,0.5733081527429216,1.3171360336736515,1.6661659045041861
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,PRT,2,1p5,NA,0.31470869899120585,1.1606609305670352,2.4477888858429386
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,PRT,NA,NA,3,0.568843858955283,1.3172720657269303,1.6797937845348476
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,PRT,2,1p5,NA,0.38705049307702866,1.4275217000479123,2.9461099119454164
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,PRT,NA,NA,3,1.1846665143531503,2.576142225348239,3.1000644994534006
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,PRT,2,1p5,NA,0.41534853017866014,1.7954994662751866,4.236419971310818
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,PRT,NA,NA,3,1.0880798171564257,2.0063464354248732,2.1566743818789513
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,2,1p5,NA,0.3388835447962603,1.2509004471072032,2.724489828093238
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,NA,NA,3,0.6149779119337424,1.345144018965038,1.893140478480043
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,2,1p5,NA,0.3266293531331445,1.1923495174885446,2.722828292244848
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,NA,NA,3,0.5911276315394971,1.3402326964454334,1.8312955744006696
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,PRT,2,1p5,NA,0.3666886597300378,1.6054442800996895,3.7423095035226517
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,PRT,NA,NA,3,0.5842628711088004,1.1630467313015842,1.5040532388805865
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,PRT,2,1p5,NA,0.32849427944177645,1.2323164918788063,2.708925932433461
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,PRT,NA,NA,3,0.5960704957085969,1.2920182564793388,1.8171535178100278
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,PRT,2,1p5,NA,0.31893155453307476,1.1884194586922114,2.6795807234334643
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,PRT,NA,NA,3,0.584924357422523,1.2844683399695285,1.748039688457952
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,PRT,2,1p5,NA,0.3675132889026892,1.5813775973778699,3.7329472536879833
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,PRT,NA,NA,3,0.5721887824828746,1.1165947273601995,1.429105330046082
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,PRT,2,1p5,NA,0.28281459793437846,1.0444183963481095,2.160431732111961
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,PRT,NA,NA,3,0.32234208917275714,0.7535743280377296,1.075914212918302
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,PRT,2,1p5,NA,0.2681441854197057,0.999337827320194,2.142465813077369
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,PRT,NA,NA,3,0.3159807474773924,0.7460965192962579,1.0527142155467837
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,PRT,2,1p5,NA,0.31064439719134224,1.2754528151999487,2.9192057149815644
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,PRT,NA,NA,3,0.31562493088220556,0.6739245814676772,0.9049594711458488
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,PRT,2,1p5,NA,0.2920569820491148,1.084803453664134,2.337764135861399
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,PRT,NA,NA,3,0.5407956285318974,1.191464286754417,1.6847156318904488
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,PRT,2,1p5,NA,0.27650582100364535,1.0332657689479146,2.2910139771315934
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,PRT,NA,NA,3,0.5046241649110244,1.1863351189024376,1.6299807192540625
bhm_lr,bootstrap,uncertain,SSP4,rcp85,329670,PRT,2,1p5,NA,0.32687167344830326,1.3520133309857745,3.1882114936713193
bhm_lr,bootstrap,uncertain,SSP4,rcp85,329670,PRT,NA,NA,3,0.5222445387830132,1.037021271818425,1.3495996308709306
bhm_lr,bootstrap,uncertain,SSP5,rcp45,299700,PRT,2,1p5,NA,0.36444982748380855,1.3267497835566933,2.9038841786472336
bhm_lr,bootstrap,uncertain,SSP5,rcp45,299700,PRT,NA,NA,3,1.113319719183887,2.297572521026862,3.1901725481405827
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,PRT,2,1p5,NA,0.34436604362194606,1.264352561079642,2.8676443380653764
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,PRT,NA,NA,3,1.0688349536886739,2.258474964386176,3.022072120982952
bhm_lr,bootstrap,uncertain,SSP5,rcp85,329670,PRT,2,1p5,NA,0.39352498723474755,1.67771288902796,4.279037361350922
bhm_lr,bootstrap,uncertain,SSP5,rcp85,329670,PRT,NA,NA,3,1.0518193536220308,1.8875327943925972,2.3980710569505854
bhm_lr,estimates,expected,SSP1,rcp45,1,PRT,2,1p5,NA,NA,1.3199320868767432,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,PRT,NA,NA,3,NA,1.4722408233320803,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,PRT,2,1p5,NA,NA,1.32871563177588,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,PRT,NA,NA,3,NA,1.4728131518996455,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,PRT,2,1p5,NA,NA,1.306227261978741,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,PRT,NA,NA,3,NA,1.4168573316823008,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,PRT,2,1p5,NA,NA,1.314811923575323,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,PRT,NA,NA,3,NA,1.415629651813245,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,PRT,2,1p5,NA,NA,1.6502495361839964,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,PRT,NA,NA,3,NA,1.151293506170518,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,PRT,2,1p5,NA,NA,1.1104153492722026,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,PRT,NA,NA,3,NA,0.8090134311815839,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,PRT,2,1p5,NA,NA,1.3055429674686856,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,PRT,NA,NA,3,NA,0.6914990846866629,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,PRT,2,1p5,NA,NA,1.1412839178569096,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,PRT,NA,NA,3,NA,1.2991440080277865,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,PRT,2,1p5,NA,NA,1.147136292010871,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,PRT,NA,NA,3,NA,1.3007756663485113,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,PRT,2,1p5,NA,NA,1.4084233341948538,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,PRT,NA,NA,3,NA,2.545863489010403,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,PRT,2,1p5,NA,NA,1.7345633793579247,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,PRT,NA,NA,3,NA,1.991986862459397,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,300,PRT,2,1p5,NA,1.0087812365758237,1.276863452074794,1.5530285565249784
bhm_lr,estimates,uncertain,SSP1,rcp45,300,PRT,NA,NA,3,1.2023058985538744,1.409215369909663,1.6985818832864463
bhm_lr,estimates,uncertain,SSP1,rcp60,210,PRT,2,1p5,NA,0.9688005681869525,1.1636365153013952,1.599927051380357
