run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ROU,2,1p5,NA,0.10890530207462551,0.9089733832789804,2.31015251789092
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ROU,NA,NA,3,0.5278399177002896,2.041620440126844,2.584670956065077
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ROU,2,1p5,NA,0.10691288017301882,0.9097410696108147,2.39072525852913
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ROU,NA,NA,3,0.5182921249061071,2.038953127509441,2.6414358338709167
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ROU,2,1p5,NA,0.1379483124419899,1.140775329099449,3.0148027303251355
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ROU,NA,NA,3,0.4477064018987925,1.7031209008611223,2.1388773619319736
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ROU,2,1p5,NA,0.13180101644163858,1.1473810671586873,3.0322782888891826
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ROU,NA,NA,3,0.44019275959172893,1.7012938705988478,2.1790198881566027
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ROU,2,1p5,NA,0.18166552327811727,1.4876141232168814,4.165064817233415
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ROU,NA,NA,3,0.5038533269206221,1.3779302517924872,1.5878665912094376
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ROU,2,1p5,NA,0.22998202532854528,1.971047906169083,4.921412543361046
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ROU,NA,NA,3,0.332114242627232,1.2920812314115282,1.6713283160324919
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ROU,2,1p5,NA,0.30180350070063994,2.4802187601409895,7.267311473175759
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ROU,NA,NA,3,0.3809785232760446,1.0619041422035806,1.27323952799992
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ROU,2,1p5,NA,0.11533409775584563,0.9674081051745822,2.4906379415097137
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ROU,NA,NA,3,0.40389658324562216,1.57252711480207,2.0120620025328337
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ROU,2,1p5,NA,0.11284868383156131,0.9684055382476138,2.497016989153577
