run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,SAU,2,1p5,NA,1.9026208648132632,19.624109922702797,54.025121941775865
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,SAU,NA,NA,3,3.0332403288837244,9.331614878968976,9.911589414777307
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,SAU,2,1p5,NA,1.9151448646161184,19.830940074001692,55.819721592249806
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,SAU,NA,NA,3,3.0792834191023357,9.50307346009737,10.273275012836896
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,SAU,2,1p5,NA,2.46437358465782,25.863712096853355,72.40459856711772
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,SAU,NA,NA,3,3.2294213976792268,9.53195460618949,10.113637941464967
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,SAU,2,1p5,NA,2.4573253114113722,26.185904226457236,75.10149311208399
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,SAU,NA,NA,3,3.269598225736697,9.804265868402405,10.377751307080166
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,SAU,2,1p5,NA,2.0490151062174635,36.880279718727714,160.9600089840147
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,SAU,NA,NA,3,2.5256512285410193,6.8204178342689845,7.0597039597688145
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,SAU,2,1p5,NA,3.9983742430298683,40.771097108078585,119.48108933981146
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,SAU,NA,NA,3,2.805792663963377,8.716675518016528,9.307456860833707
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,SAU,2,1p5,NA,3.27687835973898,61.182954231408644,287.8528406883449
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,SAU,NA,NA,3,2.2048217781507056,6.480792037762026,6.7348706276991575
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,SAU,2,1p5,NA,3.1588310515558713,35.00556272142746,100.26618305991812
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,SAU,NA,NA,3,4.742199117827055,12.99266218936641,13.929959335977617
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,SAU,2,1p5,NA,3.1648486321549867,35.6267202255308,104.87142509261666
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,SAU,NA,NA,3,4.78260150757555,13.39804986996089,14.133389823835673
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,SAU,2,1p5,NA,1.695005407574669,17.31206354490348,48.611684538538405
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,SAU,NA,NA,3,4.91764131849627,14.04437562159787,14.999561808764765
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,SAU,2,1p5,NA,1.440885577407794,24.773441720618763,102.73655491978795
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,SAU,NA,NA,3,3.8916070254282564,9.79736812208653,10.283618090658065
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,SAU,2,1p5,NA,1.850307057589214,18.483234518218154,51.809032306985195
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,SAU,NA,NA,3,2.9731509790932242,8.644509689832434,10.58334654468841
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,SAU,2,1p5,NA,1.8159875882208056,18.379391427321526,51.66626834184165
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,SAU,NA,NA,3,2.9011840817860057,8.827732309355598,10.649210393298485
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,SAU,2,1p5,NA,1.7007478708697497,26.188769009059605,110.25365657962678
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,SAU,NA,NA,3,2.5321398498608,6.427277411518476,7.6401608381733235
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,SAU,2,1p5,NA,2.404630657212933,24.481042267274226,69.56108960981265
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,SAU,NA,NA,3,3.1578977883508155,8.879942881497982,10.846912055286607
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,SAU,2,1p5,NA,2.2867058552937776,23.759294555389573,68.51783617216239
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,SAU,NA,NA,3,3.151944604458431,9.127768948284942,10.839132071328791
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,SAU,2,1p5,NA,2.2866381162763876,35.189183601886384,149.6555813717881
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,SAU,NA,NA,3,2.52170488032767,6.458990654356299,7.678247506754441
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,SAU,2,1p5,NA,3.6410801174085363,38.41924458749185,114.2329225480215
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,SAU,NA,NA,3,2.8717544207510164,8.099095641014719,9.888209849316723
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,SAU,2,1p5,NA,3.683005690163727,38.35599678849009,114.80844443032086
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,SAU,NA,NA,3,2.695703020370406,8.23394509483565,10.011459796528284
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,SAU,2,1p5,NA,3.513768968057672,58.29922252835652,270.65596154613144
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,SAU,NA,NA,3,2.421349899841151,6.094716925792098,7.242560655008495
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,SAU,2,1p5,NA,2.9870285940241827,32.85962348733756,96.8203974955312
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,SAU,NA,NA,3,4.589943691183852,12.341529706066213,15.041726857524521
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,SAU,2,1p5,NA,2.930424602860026,32.28036840949435,95.14558140863667
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,SAU,NA,NA,3,4.580567793736585,12.682375661191005,14.83222234959814
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,SAU,2,1p5,NA,2.8657218346981344,48.54057052833205,216.4755426018596
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,SAU,NA,NA,3,4.083143018942872,8.60489007858466,10.217933691343566
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,SAU,2,1p5,NA,1.5741349936488196,16.106439641034502,46.6425874418544
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,SAU,NA,NA,3,4.800110050769013,13.223336836125364,16.12883135392362
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,SAU,2,1p5,NA,1.6341045354208108,15.862964298935935,46.2774767261865
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,SAU,NA,NA,3,4.694911535806804,13.601112969271464,16.048974710747842
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,SAU,2,1p5,NA,1.5189718547116589,23.878402349021624,97.25110818448033
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,SAU,NA,NA,3,3.964525681023806,9.40335785011063,11.149572449384102
bhm_lr,estimates,expected,SSP1,rcp45,1,SAU,2,1p5,NA,NA,18.424223873707156,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,SAU,NA,NA,3,NA,9.301705911389291,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,SAU,2,1p5,NA,NA,18.61226443452888,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,SAU,NA,NA,3,NA,9.398477454337954,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,SAU,2,1p5,NA,NA,24.248120368313497,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,SAU,NA,NA,3,NA,9.660450222323531,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,SAU,2,1p5,NA,NA,24.551356573284405,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,SAU,NA,NA,3,NA,9.727754097585022,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,SAU,2,1p5,NA,NA,34.310417897511094,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,SAU,NA,NA,3,NA,6.98425299602533,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,SAU,2,1p5,NA,NA,38.15997440905492,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,SAU,NA,NA,3,NA,8.648113511912744,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,SAU,2,1p5,NA,NA,56.617445263650765,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,SAU,NA,NA,3,NA,6.458132225947853,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,SAU,2,1p5,NA,NA,32.809770210914614,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,SAU,NA,NA,3,NA,13.663673469864465,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,SAU,2,1p5,NA,NA,33.36154588831673,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,SAU,NA,NA,3,NA,13.690570005753617,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,SAU,2,1p5,NA,NA,16.02447063223065,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,SAU,NA,NA,3,NA,14.536046080719006,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,SAU,2,1p5,NA,NA,23.12091719570365,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,SAU,NA,NA,3,NA,10.314492404933283,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,SAU,2,1p5,NA,13.631668650189834,18.199710711156495,22.492900022994657
bhm_lr,estimates,uncertain,SSP1,rcp45,315,SAU,NA,NA,3,8.18146803488281,9.155353107946388,10.632396751275943
bhm_lr,estimates,uncertain,SSP1,rcp60,210,SAU,2,1p5,NA,13.45709375740648,17.301804152195725,22.906612239878918
bhm_lr,estimates,uncertain,SSP1,rcp60,210,SAU,NA,NA,3,8.15857635694863,9.269000421246556,10.18997801157025
bhm_lr,estimates,uncertain,SSP2,rcp45,315,SAU,2,1p5,NA,17.877351285668794,23.908145715442423,29.598991306244667
bhm_lr,estimates,uncertain,SSP2,rcp45,315,SAU,NA,NA,3,8.503900724686043,9.496279454969201,11.116194338228
bhm_lr,estimates,uncertain,SSP2,rcp60,210,SAU,2,1p5,NA,17.730816429211544,22.720928311098405,30.33765543135744
bhm_lr,estimates,uncertain,SSP2,rcp60,210,SAU,NA,NA,3,8.485456040706515,9.585437229746212,10.592130939187145
bhm_lr,estimates,uncertain,SSP2,rcp85,345,SAU,2,1p5,NA,24.082431967418508,33.76426251250283,46.547061837677354
bhm_lr,estimates,uncertain,SSP2,rcp85,345,SAU,NA,NA,3,6.243498646364305,6.945699717890163,8.011522567809603
bhm_lr,estimates,uncertain,SSP3,rcp45,315,SAU,2,1p5,NA,27.938298431129507,37.65258054730006,47.033440561828264
bhm_lr,estimates,uncertain,SSP3,rcp45,315,SAU,NA,NA,3,7.598966867935118,8.50693993977234,9.887795873674643
bhm_lr,estimates,uncertain,SSP3,rcp85,345,SAU,2,1p5,NA,38.97571621567198,55.46092423125256,78.06420228032059
bhm_lr,estimates,uncertain,SSP3,rcp85,345,SAU,NA,NA,3,5.762618976098344,6.415831152312115,7.341853160179074
bhm_lr,estimates,uncertain,SSP4,rcp45,315,SAU,2,1p5,NA,24.111801331387163,32.31816528029855,40.330209160524234
bhm_lr,estimates,uncertain,SSP4,rcp45,315,SAU,NA,NA,3,11.987053681369854,13.412835834931212,15.881309698253178
bhm_lr,estimates,uncertain,SSP4,rcp60,210,SAU,2,1p5,NA,23.83977408683317,30.708022323333964,41.44175871841962
bhm_lr,estimates,uncertain,SSP4,rcp60,210,SAU,NA,NA,3,12.022689283116245,13.498171769878066,14.897132471806984
bhm_lr,estimates,uncertain,SSP5,rcp45,315,SAU,2,1p5,NA,11.433698330629456,15.942901459279755,19.88992296971461
bhm_lr,estimates,uncertain,SSP5,rcp45,315,SAU,NA,NA,3,12.76609621268508,14.287789372236402,16.82958621373646
bhm_lr,estimates,uncertain,SSP5,rcp85,345,SAU,2,1p5,NA,16.429525465975633,22.716607949180656,31.043866769716626
bhm_lr,estimates,uncertain,SSP5,rcp85,345,SAU,NA,NA,3,9.220906564213005,10.267520350031305,11.910145004396863
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,SAU,2,1p5,NA,-6.045249655009381,6.241231207427275,31.6938198163417
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,SAU,NA,NA,3,-40.386267769111356,6.606843430270202,10.505172295041987
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,SAU,2,1p5,NA,-6.006175445761647,6.290403262983866,33.36597074176919
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,SAU,NA,NA,3,-41.60717637814988,6.57632168874693,10.891551375878088
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,SAU,2,1p5,NA,-5.372570407204884,7.709400611672252,48.282843468034564
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,SAU,NA,NA,3,-81.04903158455116,5.430230513995049,7.9748400114083005
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,SAU,2,1p5,NA,-7.514866508346212,8.113154647228518,40.02676230417221
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,SAU,NA,NA,3,-44.945054419623254,6.970391085240681,10.769597697999103
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,SAU,2,1p5,NA,-7.453598195979873,8.297193340143297,40.69384275779232
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,SAU,NA,NA,3,-46.50720397217996,6.974680369151948,11.239088233481644
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,SAU,2,1p5,NA,-6.553046092851674,10.086055175766628,70.12175217400008
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,SAU,NA,NA,3,-92.83603294996155,5.452885825824495,8.15364185684288
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,SAU,2,1p5,NA,-10.297412871730202,13.430165156204747,69.38303542451331
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,SAU,NA,NA,3,-37.30707591426567,6.0924490243235905,9.911750765048698
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,SAU,2,1p5,NA,-10.236248190414775,13.438878854639139,72.54204306979341
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,SAU,NA,NA,3,-38.47609037496568,6.013754829591587,10.344588208014027
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,SAU,2,1p5,NA,-8.485358323606835,14.664530997567772,133.00752581176815
