run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SLE,1,0p7,NA,0.07307565155672831,0.41953309329474625,0.6874850839632624
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SLE,1,1p5,NA,0.007723886995619674,0.061456428593840866,0.14889959719782056
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SLE,2,0p7,NA,0.03878160212311525,0.2177376822973852,0.3498476915335558
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SLE,2,1p5,NA,0.005159376814337249,0.03848363778756059,0.08747972006942864
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SLE,NA,NA,3,0.20048314397473382,0.6638800226912838,0.725094635578964
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SLE,NA,NA,5,0.05413550661263842,0.20402236895686507,0.22961689701390167
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SLE,1,0p7,NA,0.07338256881589938,0.42025619001863235,0.6902992357641272
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SLE,1,1p5,NA,0.007829606842158254,0.06122477819908306,0.15049853665568383
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SLE,2,0p7,NA,0.03909821942247358,0.2183962409279124,0.3513162965290044
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SLE,2,1p5,NA,0.005201838818387403,0.03832697419292846,0.08733721463914688
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SLE,NA,NA,3,0.2020389702534826,0.664974001443768,0.7227072022485205
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SLE,NA,NA,5,0.054840212680423585,0.20580810257050794,0.23638893624687385
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SLE,1,0p7,NA,0.08059689367599421,0.4681035445326395,0.7743280086022615
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SLE,1,1p5,NA,0.011410208055813144,0.09410162973876403,0.2379704151738787
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SLE,2,0p7,NA,0.04143360281202286,0.23336303550256934,0.3760770715177738
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SLE,2,1p5,NA,0.007371164499597066,0.056933888737497364,0.1329948037875336
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SLE,NA,NA,3,0.1552527253387686,0.4929697582588918,0.5409629126291394
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SLE,NA,NA,5,0.03964048471740831,0.1465373163355118,0.16229176905390694
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SLE,1,0p7,NA,0.08090996544073274,0.46969112838346144,0.7777822800871409
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SLE,1,1p5,NA,0.011555903369795424,0.0941448250693057,0.2420977668678446
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SLE,2,0p7,NA,0.04170935193114142,0.23370056413545498,0.3775944208482619
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SLE,2,1p5,NA,0.007450261265012585,0.05660061929772936,0.1332926520888906
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SLE,NA,NA,3,0.15511083694207092,0.49116807629466147,0.5364503786248771
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SLE,NA,NA,5,0.040179500010420394,0.1475723015926806,0.16612480704070023
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SLE,1,0p7,NA,0.06728529998087153,0.44893853596644107,0.746506666400398
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SLE,1,1p5,NA,0.009681991330489161,0.12017484150324957,0.5311048174026297
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SLE,2,0p7,NA,0.03428026495348046,0.21970149893291435,0.3446895082423581
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SLE,2,1p5,NA,0.006267935345721428,0.06783941061035027,0.23322103699033242
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SLE,NA,NA,3,0.1308487161382166,0.3000807850663274,0.3438461725335391
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SLE,NA,NA,5,0.03251971784303542,0.1056762933256072,0.11194613576368831
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SLE,1,0p7,NA,0.07716599355527162,0.46749275335486407,0.7986006265565287
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SLE,1,1p5,NA,0.023283132497296397,0.23566337509070936,0.7812314486313802
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SLE,2,0p7,NA,0.03727422277386375,0.21483973246106328,0.3519440457735443
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SLE,2,1p5,NA,0.013277212664028015,0.1182775091984563,0.33263984282250814
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SLE,NA,NA,3,0.052791078787514795,0.1827030358588858,0.1977044031415901
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SLE,NA,NA,5,0.01579651948916761,0.06202289893796978,0.07571571632385478
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SLE,1,0p7,NA,0.06487082017149459,0.4646004993133103,0.6129893729400872
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SLE,1,1p5,NA,0.020060042728584963,0.38988107524804594,1.3995687821809597
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SLE,2,0p7,NA,0.03103728293427802,0.20601642072128062,0.283299572812288
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SLE,2,1p5,NA,0.011536593887437784,0.16776369464741497,0.5427409828210447
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SLE,NA,NA,3,0.04373349545905476,0.12159403862110225,0.13104321533963387
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SLE,NA,NA,5,0.01296968831206158,0.05008796657773813,0.056858380997081556
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SLE,1,0p7,NA,0.07536541394075114,0.4634042043592569,0.7233994217260669
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SLE,1,1p5,NA,0.030530441863142962,0.3452322254993019,1.0000557662731278
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SLE,2,0p7,NA,0.03583896426916326,0.2072566161490157,0.3224040200350126
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SLE,2,1p5,NA,0.016462116596920182,0.15706245704336763,0.41487653776386063
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SLE,NA,NA,3,0.03761372158004486,0.13544538452156107,0.14747364363259338
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SLE,NA,NA,5,0.012093718163768998,0.048844143045558563,0.06170995311926149
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,SLE,1,0p7,NA,0.07532000902941513,0.4661593882084566,0.7164750880649526
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,SLE,1,1p5,NA,0.030689888554667255,0.3542027409161004,1.0260320099062719
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,SLE,2,0p7,NA,0.03603276297651009,0.20834915838484366,0.3208134074372459
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,SLE,2,1p5,NA,0.016615181027027894,0.1602964651352621,0.42052167289390097
