run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SRB,1,0p7,NA,0.19921606734504993,1.1726831965518647,2.1060064324046106
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SRB,1,1p5,NA,0.06511637925748603,0.6203420355347117,1.8947776115848487
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SRB,2,0p7,NA,0.09583444273567557,0.6052731977208358,1.0600953293074553
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SRB,2,1p5,NA,0.037119291679633265,0.3454082054508243,0.9122201635794903
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SRB,NA,NA,3,0.13506023350285482,0.5722854676500532,0.7316067188402657
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SRB,NA,NA,5,0.04412591856495019,0.2358468389027683,0.3408065382332371
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SRB,1,0p7,NA,0.20140785704215122,1.1753372321300888,2.0822333702882667
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SRB,1,1p5,NA,0.06336438730969428,0.6276615927954649,1.9408350517253823
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SRB,2,0p7,NA,0.09584702028619797,0.6046277632833359,1.0549133448582622
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SRB,2,1p5,NA,0.03730431870685363,0.34835835816740995,0.9241505454895809
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SRB,NA,NA,3,0.13079070120691785,0.5681792103142347,0.7356624186005555
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SRB,NA,NA,5,0.043119516332958345,0.2368669347984725,0.3468421312374024
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SRB,1,0p7,NA,0.2256634268515262,1.323439560418287,2.3238230810489573
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SRB,1,1p5,NA,0.0822145542019547,0.7953795919216893,2.424026245600554
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SRB,2,0p7,NA,0.10507215616062476,0.6556069269919679,1.1313990504999847
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SRB,2,1p5,NA,0.04520968482814691,0.42627776458684935,1.138103915454231
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SRB,NA,NA,3,0.13110870034365957,0.5343190939288219,0.6702166361746114
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SRB,NA,NA,5,0.04090671795904626,0.21381255798440302,0.30661319321287817
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SRB,1,0p7,NA,0.2301594285764408,1.3273687297857968,2.293996592237574
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SRB,1,1p5,NA,0.08121909006020865,0.8121359983942908,2.489415928667306
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SRB,2,0p7,NA,0.10544096123845606,0.6557146430438705,1.1250258365621058
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SRB,2,1p5,NA,0.04429136361568148,0.4311603097083565,1.1445413908486541
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SRB,NA,NA,3,0.12912108084723756,0.5295166952154466,0.6732796521586641
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SRB,NA,NA,5,0.03917116923507423,0.2143578307928011,0.31168948772799027
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SRB,1,0p7,NA,0.29728376609426055,1.322479174680739,1.904013798645985
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SRB,1,1p5,NA,0.11737610857496276,1.1953612968758125,3.6789884199750427
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SRB,2,0p7,NA,0.1411092476999045,0.6475801680310511,0.9657783133739162
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SRB,2,1p5,NA,0.06179910282646462,0.5607351179059752,1.572402226555361
