run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,TGO,2,1p5,NA,0.004881182432083677,0.0368710383529632,0.08423699629562059
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,TGO,NA,NA,3,0.2237228020454228,0.7062855420368993,0.7753705888584999
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,TGO,2,1p5,NA,0.004974018010265585,0.036619299116730585,0.08384679983314185
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,TGO,NA,NA,3,0.22431148479827637,0.7059738245828902,0.7725574543301319
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,TGO,2,1p5,NA,0.007217924230932513,0.05671543770372575,0.13528755939414447
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,TGO,NA,NA,3,0.13984596942095218,0.42779820597780005,0.4722456675567266
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,TGO,2,1p5,NA,0.007347852273433795,0.05665233086663874,0.135323385670689
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,TGO,NA,NA,3,0.13985213137961677,0.4262600698452696,0.4686143548712871
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,TGO,2,1p5,NA,0.006156612368433261,0.06823738441410071,0.24984145302145427
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,TGO,NA,NA,3,0.12265004982471232,0.25215589196402605,0.29744458092648113
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,TGO,2,1p5,NA,0.012918162728643295,0.11985995211335612,0.3401204785179832
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,TGO,NA,NA,3,0.046114391551444055,0.1572680462901237,0.17003920173319173
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,TGO,2,1p5,NA,0.011226807904272386,0.17428342815850084,0.5837741905739721
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,TGO,NA,NA,3,0.03981434689177326,0.10532274774150785,0.11304459037842675
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,TGO,2,1p5,NA,0.015582370835627975,0.15816301787723802,0.4143487724433451
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,TGO,NA,NA,3,0.03167582228456657,0.11425653672722048,0.12337751336216782
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,TGO,2,1p5,NA,0.015750437329154796,0.16124856358855144,0.4198710789703705
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,TGO,NA,NA,3,0.0322182527338353,0.11533365567016933,0.12577892441454475
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,TGO,2,1p5,NA,0.004189017213308049,0.03110250695316286,0.06899351132439793
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,TGO,NA,NA,3,0.35759486808929003,1.1086308897868715,1.224564158987357
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,TGO,2,1p5,NA,0.0036193950849930726,0.035351783386673045,0.10184369715166865
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,TGO,NA,NA,3,0.3126316175852005,0.652771409374916,0.7710751265150306
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,TGO,2,1p5,NA,0.004666248071981974,0.0342906058755829,0.08230321057909822
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,TGO,NA,NA,3,0.23067946204975157,0.6553390881113773,0.8503968135929033
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,TGO,2,1p5,NA,0.004595474049295342,0.03287903978190574,0.07707146056799218
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,TGO,NA,NA,3,0.22132199123869273,0.6520335629124098,0.7786274349620627
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,TGO,2,1p5,NA,0.004514045779872906,0.04072193864480331,0.1325739322364773
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,TGO,NA,NA,3,0.1981300468997044,0.41564113893636906,0.5368714181766896
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,TGO,2,1p5,NA,0.0070047085519063645,0.053453476508970664,0.1323131405161057
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,TGO,NA,NA,3,0.1488340044531954,0.3983854243340479,0.5189344875585924
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,TGO,2,1p5,NA,0.0067167789545784454,0.04995818347651849,0.12316636353565341
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,TGO,NA,NA,3,0.13809492453668124,0.39502963908441274,0.4725004773151864
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,TGO,2,1p5,NA,0.006605915025022663,0.06398381098943264,0.23725139851042737
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,TGO,NA,NA,3,0.11889046586188995,0.2468869622389557,0.3208590751248757
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,TGO,2,1p5,NA,0.012640213094324016,0.11011286002575378,0.32864190317983777
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,TGO,NA,NA,3,0.04503020499073162,0.14361147379535893,0.18533263302234243
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,TGO,2,1p5,NA,0.01192286497690902,0.104104381610031,0.31134481638818884
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,TGO,NA,NA,3,0.04637766877750475,0.14538573113813383,0.17223461925979264
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,TGO,2,1p5,NA,0.011574190221895096,0.15954826701935518,0.5655340660497887
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,TGO,NA,NA,3,0.04017474941839046,0.09918875062252318,0.12455519551305488
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,TGO,2,1p5,NA,0.015353172910698133,0.14416838755582095,0.40003725369651716
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,TGO,NA,NA,3,0.03287207739694401,0.10336244889941586,0.1330531434997817
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,TGO,2,1p5,NA,0.01444348810835909,0.13698041784898582,0.3799049583075005
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,TGO,NA,NA,3,0.030050712291842727,0.1041250109621074,0.1252618193921059
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,TGO,2,1p5,NA,0.015276339888133613,0.19569273980007476,0.7116060542127642
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,TGO,NA,NA,3,0.028580064544617863,0.07519504941094894,0.0935021370007828
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,TGO,2,1p5,NA,0.004067669304837989,0.02924402069777761,0.0674542628871224
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,TGO,NA,NA,3,0.3763509599695563,1.0306697922097667,1.3408447078198678
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,TGO,2,1p5,NA,0.0037763726146311806,0.027616211257233878,0.0629322662408423
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,TGO,NA,NA,3,0.3374624007219974,1.0211998934007287,1.2238607185980745
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,TGO,2,1p5,NA,0.003842240531092186,0.033255999330388385,0.09930214211218345
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,TGO,NA,NA,3,0.2929797248071437,0.6362589320745944,0.8316675814565326
bhm_lr,estimates,expected,SSP1,rcp45,1,TGO,2,1p5,NA,NA,0.034961580817493496,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,TGO,NA,NA,3,NA,0.7628530676302577,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,TGO,2,1p5,NA,NA,0.03473370630286973,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,TGO,NA,NA,3,NA,0.758402595183512,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,TGO,2,1p5,NA,NA,0.0536781246141271,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,TGO,NA,NA,3,NA,0.4679252454872039,NA
