run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,TJK,1,0p7,NA,0.1397406524403871,0.49473655752840695,0.7921798812116156
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,TJK,1,1p5,NA,0.022433534004883876,0.11357643133608455,0.28447332228699923
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,TJK,2,0p7,NA,0.07635346493897459,0.2665085123183693,0.4191390480006858
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,TJK,2,1p5,NA,0.014671677049790898,0.07026442848911789,0.1604573138363177
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,TJK,NA,NA,3,0.23017313107373089,0.5342594525240054,0.5872209150041653
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,TJK,NA,NA,5,0.0761756243242587,0.20103872358607086,0.2513784977012223
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,TJK,1,0p7,NA,0.1396963485976812,0.49580562547546886,0.799030467064632
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,TJK,1,1p5,NA,0.022236793525101925,0.11329919936334053,0.2898854936838907
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,TJK,2,0p7,NA,0.07614853539432805,0.2677008793962449,0.4248416596514697
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,TJK,2,1p5,NA,0.015004534989685209,0.07004702362651342,0.1608199640012199
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,TJK,NA,NA,3,0.23028114813135486,0.5432572641346993,0.6048500764944765
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,TJK,NA,NA,5,0.07582209518645157,0.20606753047761847,0.26299554279303305
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,TJK,1,0p7,NA,0.16780411878253287,0.5989941658146095,0.965030832568374
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,TJK,1,1p5,NA,0.033687564129344476,0.1748084283401339,0.4670322680285386
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,TJK,2,0p7,NA,0.08752462802985118,0.3049695774018611,0.48048874272848907
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,TJK,2,1p5,NA,0.020912199094748455,0.10345205961803362,0.2460160285395752
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,TJK,NA,NA,3,0.20571886647776735,0.45109400604989025,0.4892138075788112
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,TJK,NA,NA,5,0.06288896040805422,0.16173338450135033,0.19689910209018205
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,TJK,1,0p7,NA,0.16793089057037336,0.5979728330727685,0.972263137773854
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,TJK,1,1p5,NA,0.032769733218016676,0.17598501913015166,0.4800443917319108
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,TJK,2,0p7,NA,0.08623971231445349,0.30677223903460593,0.48544500817541225
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,TJK,2,1p5,NA,0.021125257431092358,0.10286318419707803,0.2481445834155295
