run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,TTO,2,1p5,NA,0.023275513582624693,0.16238389018514313,0.36212983536339277
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,TTO,NA,NA,3,0.044653812858853816,0.16427641945228819,0.21398020239775362
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,TTO,2,1p5,NA,0.023189368732064026,0.16314158220776995,0.3626406603382755
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,TTO,NA,NA,3,0.04456654127003997,0.1660173561622542,0.21913693236751522
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,TTO,2,1p5,NA,0.026966569519697926,0.19067559201685605,0.4298807762305724
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,TTO,NA,NA,3,0.04572108255974749,0.16698295325399748,0.21337739426393532
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,TTO,2,1p5,NA,0.026815261106220203,0.19184017728326677,0.4312184847070005
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,TTO,NA,NA,3,0.04652152690288506,0.16845693486060281,0.2177012481437285
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,TTO,2,1p5,NA,0.02656896603431178,0.23358603032748315,0.6022977825193879
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,TTO,NA,NA,3,0.04289019683153179,0.13737877740298673,0.16494086209731781
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,TTO,2,1p5,NA,0.04300904043618267,0.316842697070627,0.7019957223222265
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,TTO,NA,NA,3,0.04182592591635398,0.15033263518280415,0.19282040662346422
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,TTO,2,1p5,NA,0.042892855749456414,0.3807508331832156,1.0331041479835117
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,TTO,NA,NA,3,0.038485549449848444,0.12394802039072816,0.1498573889667639
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,TTO,2,1p5,NA,0.022605977817712345,0.15551925365795483,0.34672127944772424
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,TTO,NA,NA,3,0.04133082257359715,0.15338336372138503,0.19983711772632182
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,TTO,2,1p5,NA,0.022515009450345184,0.15654502061363568,0.3468068442616857
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,TTO,NA,NA,3,0.04162594903368032,0.15480812869034957,0.20458327842516116
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,TTO,2,1p5,NA,0.018988056613074178,0.1265169761004982,0.2880060373750755
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,TTO,NA,NA,3,0.05513758137118098,0.19834633240143518,0.2533619518684076
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,TTO,2,1p5,NA,0.01896169596295211,0.15492866774672057,0.39368016507726256
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,TTO,NA,NA,3,0.0509043823727781,0.16350381616717735,0.19562156015002735
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,TTO,2,1p5,NA,0.02053510367268411,0.14688864056154796,0.3569107353421796
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,TTO,NA,NA,3,0.04258298227332801,0.15139732726380892,0.21272571349150662
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,TTO,2,1p5,NA,0.021607817369365866,0.14438550834617864,0.34928703792232724
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,TTO,NA,NA,3,0.03992153971386588,0.15141255358488412,0.21218896565759118
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,TTO,2,1p5,NA,0.0222926748951445,0.1856331739573093,0.503824522235511
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,TTO,NA,NA,3,0.04017742202115232,0.13008842268404977,0.17576605751184993
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,TTO,2,1p5,NA,0.024293529924587037,0.17704045241705,0.42550142334785207
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,TTO,NA,NA,3,0.04310269772239041,0.1532499687433265,0.21319591728758905
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,TTO,2,1p5,NA,0.024192694183478223,0.1688590708149338,0.4137079397179404
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,TTO,NA,NA,3,0.042604851856259084,0.15389374699092123,0.21170871861876628
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,TTO,2,1p5,NA,0.024855648424154237,0.21704465253718327,0.6039436991368653
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,TTO,NA,NA,3,0.04109679230509062,0.1289706742485805,0.17165446680463542
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,TTO,2,1p5,NA,0.0405976002353452,0.29421545531090476,0.6980675420644599
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,TTO,NA,NA,3,0.038699543100040916,0.13782255447653188,0.19263389946280918
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,TTO,2,1p5,NA,0.03841352864379992,0.284212345329647,0.6731154399201716
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,TTO,NA,NA,3,0.039626717530975,0.13877433401836994,0.19136328692362442
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,TTO,2,1p5,NA,0.03858008415301227,0.3551439908658955,1.0379913700986036
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,TTO,NA,NA,3,0.03565169786287591,0.11623103556003925,0.1558569433194118
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,TTO,2,1p5,NA,0.020613815039485926,0.14343446038280455,0.3410856841573802
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,TTO,NA,NA,3,0.03968503939648533,0.14177295259589712,0.19892649634915907
