run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,TZA,2,1p5,NA,0.10103346911475342,0.5038644745956097,1.0613999009495638
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,TZA,NA,NA,3,3.2935366892029174,7.482369502762782,8.070808715433088
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,TZA,2,1p5,NA,0.10222104049130314,0.5031636105869115,1.06894368690751
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,TZA,NA,NA,3,3.278204794132085,7.4200372328182755,7.967655652721135
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,TZA,2,1p5,NA,0.16506805228209737,0.8653253685083478,1.9160721157735143
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,TZA,NA,NA,3,2.7664318947911264,6.088499586647177,6.602777647578048
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,TZA,2,1p5,NA,0.16758391443057097,0.866476365293497,1.9364709482771447
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,TZA,NA,NA,3,2.7499420855596317,6.007986468954652,6.487281620499964
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,TZA,2,1p5,NA,0.16147828435573666,1.0830221847185733,3.3989482766934347
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,TZA,NA,NA,3,2.3582140662542543,3.8751997317762066,4.2854643720152765
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,TZA,2,1p5,NA,0.33748456184736936,2.002432603734842,5.203593207408429
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,TZA,NA,NA,3,1.3662178335236779,3.1827468227560796,3.4314513649927583
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,TZA,2,1p5,NA,0.3442108487488953,2.966554222519706,8.486352889383253
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,TZA,NA,NA,3,1.2038837437663592,2.1289397426032477,2.2851346594367374
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,TZA,2,1p5,NA,0.39268578636619234,2.4578223281613485,6.1078692675976765
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,TZA,NA,NA,3,0.9766086841107091,2.3470642037752554,2.532526970866357
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,TZA,2,1p5,NA,0.38106026400317017,2.511938197555145,6.247957932986407
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,TZA,NA,NA,3,0.9719735147014021,2.348259088488913,2.525818887377769
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,TZA,2,1p5,NA,0.08348730131874293,0.4065783968012839,0.8361340776015069
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,TZA,NA,NA,3,4.898641139812517,10.93986698074138,11.861466821065072
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,TZA,2,1p5,NA,0.08222456912637298,0.4761179186039419,1.2030242593235059
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,TZA,NA,NA,3,4.198739888303363,6.981623718529625,7.699889728460366
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,TZA,2,1p5,NA,0.09912376462572063,0.47950526969337026,1.0507741699450324
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,TZA,NA,NA,3,3.277205588822431,6.9770721508247835,8.852176529103293
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,TZA,2,1p5,NA,0.09625211374943111,0.4676100426648048,1.0268553971688348
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,TZA,NA,NA,3,3.1944255423281707,7.018456151289742,8.266846863090915
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,TZA,2,1p5,NA,0.09790350892660221,0.569158390564783,1.6119660378300964
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,TZA,NA,NA,3,2.679313098827527,4.631861784068418,5.776704087281165
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,TZA,2,1p5,NA,0.16551591608605673,0.8257765436923751,1.8853261474966796
