run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ZWE,2,1p5,NA,0.004545200865542371,0.018724357192847416,0.036964481304570126
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ZWE,NA,NA,3,0.29542057126479293,0.5348598750240254,0.5769473254238074
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ZWE,2,1p5,NA,0.004580060989272679,0.01844935321689369,0.03641410329063364
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ZWE,NA,NA,3,0.2945858060657777,0.5371924441969186,0.5775990276717414
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ZWE,2,1p5,NA,0.0059647021405293465,0.025024447575973344,0.05050098125148788
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ZWE,NA,NA,3,0.22855383548003577,0.40136295504265584,0.433865053855031
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ZWE,2,1p5,NA,0.00597683911478784,0.02471063982992712,0.0498770768629104
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ZWE,NA,NA,3,0.22769938223871566,0.4027557551643686,0.43259280187149274
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ZWE,2,1p5,NA,0.006082293854593114,0.0289313076156542,0.07392058757750937
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ZWE,NA,NA,3,0.16829138879176292,0.24564626713698184,0.278856637604484
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ZWE,2,1p5,NA,0.011418341684410683,0.0513816599948572,0.11479463725327273
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ZWE,NA,NA,3,0.13608801142469285,0.24424462834238408,0.2629606232774476
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ZWE,2,1p5,NA,0.011750465515445056,0.06616622506442113,0.20595289543692946
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ZWE,NA,NA,3,0.10821217417685987,0.15345321229901127,0.17055805222705148
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ZWE,2,1p5,NA,0.010134782271217955,0.04582674081712048,0.10370670657633586
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ZWE,NA,NA,3,0.08744076384525382,0.1607376440915957,0.17295992740268565
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ZWE,2,1p5,NA,0.01007227220779608,0.04571351823385669,0.10453379494849929
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ZWE,NA,NA,3,0.08734299974012852,0.16268890477300568,0.17348627447259385
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ZWE,2,1p5,NA,0.003102901976422472,0.012368345027487017,0.023648676367006176
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ZWE,NA,NA,3,0.29671467840192434,0.5395546001220346,0.5819325851559364
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ZWE,2,1p5,NA,0.0031487509598566083,0.013658590276599445,0.029660845372326786
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ZWE,NA,NA,3,0.23337014331382383,0.33944537314628653,0.3776087490732163
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ZWE,2,1p5,NA,0.004468078732325374,0.017721987789514657,0.03627546170435512
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,ZWE,NA,NA,3,0.26856063843379685,0.48905446021398236,0.6237758599224138
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ZWE,2,1p5,NA,0.0043988244571107615,0.017235831904629764,0.03472648364951206
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,ZWE,NA,NA,3,0.27663184480055375,0.4902761719722941,0.6065641027723515
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ZWE,2,1p5,NA,0.004654300212331332,0.02018059842629904,0.05010466472762694
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,ZWE,NA,NA,3,0.2029722862285067,0.32055062452478883,0.3978704569934494
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ZWE,2,1p5,NA,0.005802262566680208,0.023806317924833606,0.04937220545347953
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,ZWE,NA,NA,3,0.20568542380129823,0.36958343824358364,0.4681316944681276
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ZWE,2,1p5,NA,0.005707194420873581,0.022957882969401284,0.0473138532412436
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,ZWE,NA,NA,3,0.2119050854756687,0.368921540256181,0.4557237917439348
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,ZWE,2,1p5,NA,0.0059485323590555235,0.0275976821000481,0.073029228643998
