run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,1,0p7,NA,-0.271839478220716,0.36806645064916754,0.9148092004460349
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,1,1p5,NA,-0.06839441984729033,0.1640305020904685,0.9651891030257721
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,2,0p7,NA,-0.12872538676121345,0.1690639249846319,0.40373717261723174
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,2,1p5,NA,-0.04085301545573513,0.08460199733911261,0.40428709929368223
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,NA,NA,3,-0.22537471477433704,0.13464213187174154,0.22290814605022302
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,NA,NA,5,-0.06183230990008219,0.048970041456675446,0.08240438629756598
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,AUS,1,0p7,NA,14.177823667090662,42.525253962664536,70.27432796209371
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,AUS,1,1p5,NA,5.500330056834704,23.1929322829881,57.857344871711355
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,AUS,2,0p7,NA,6.465652945663071,19.169078121939325,30.978553054360372
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,AUS,2,1p5,NA,2.9741585483779187,11.317808925299977,25.39468953956591
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,AUS,NA,NA,3,7.072799787051209,14.980293819581375,18.897209648452687
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,AUS,NA,NA,5,2.0970181659422447,4.962798459626835,6.763833675570978
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,BWA,1,0p7,NA,0.3617425616333084,1.268987845721309,1.9720417536239272
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,BWA,1,1p5,NA,0.11778010815932044,0.6827226432386904,2.1815641642296524
