run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AFG,2,1p5,NA,-0.07576208161615264,0.9149952026322014,7.791551989054491
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AFG,NA,NA,3,-1.3123222098398426,2.355526789862203,3.8134399203113123
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AGO,2,1p5,NA,0.5361281368472769,2.796984193189692,8.31627848574518
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AGO,NA,NA,3,1.6193572371688143,3.234736922478158,3.6676945150305875
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ALB,2,1p5,NA,0.003379020919772858,0.351695991083417,1.8126942976926437
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ALB,NA,NA,3,0.009782848723948726,0.257057463740507,0.2795565407354728
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ARE,2,1p5,NA,-3.513780877057538,3.480223931944939,22.219786430840312
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ARE,NA,NA,3,-17.901857051966036,3.0829188294117644,5.559931909409795
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ARG,2,1p5,NA,-0.6259553937836647,1.893310169110672,6.138663060963975
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ARG,NA,NA,3,-3.42219772481857,4.644582718754152,8.65085443530124
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ARM,2,1p5,NA,-0.025567667626771134,0.23274554955838692,2.6179659230537564
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,ARM,NA,NA,3,-0.14553837326087468,0.20031903185122432,0.2302326936683012
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AUS,2,1p5,NA,-2.6038423412223817,4.169972379971927,18.181017337346326
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AUS,NA,NA,3,-6.459222950225862,5.19679431048286,10.152733342476353
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AUT,2,1p5,NA,-0.7682242079487579,1.1806171166265627,5.052901856227172
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AUT,NA,NA,3,-1.838900715895965,1.2297567282144959,2.2103020255115093
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AZE,2,1p5,NA,-0.05571586938104273,1.6736118125224746,9.511106542335765
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,AZE,NA,NA,3,-0.0877477619095902,0.7705461329128749,0.847551802776888
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BDI,2,1p5,NA,0.009766731436421946,0.04453559005712673,0.10569302052334555
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BDI,NA,NA,3,0.5763202667865932,0.9483175632285148,1.103892682979215
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BEL,2,1p5,NA,-0.6881700755152589,1.3194131853152173,4.909012133475251
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BEL,NA,NA,3,-1.601038773699379,1.508635094674825,2.760252076790746
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BEN,2,1p5,NA,0.006446853574445121,0.12192508704468258,0.32190752529735833
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BEN,NA,NA,3,0.20770079585984325,1.4734830439697428,1.687512936652465
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BFA,2,1p5,NA,-0.04487349685294518,0.2699285234666796,1.2092848260580782
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BFA,NA,NA,3,-1.2794989719550998,2.110524703329641,2.706446461821643
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,BGD,2,1p5,NA,0.4499410116317613,1.8497809604100108,4.20294948712677
