run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
djo,estimates,uncertain,SSP1,rcp60,150,ISL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP1,rcp60,150,ISL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,AUS,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,AUS,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,BWA,2,1p5,NA,1.2126018299810293,1.95616594689606,4.282582981846366
djo,estimates,uncertain,SSP1,rcp60,195,BWA,NA,NA,3,0.4796556247007371,0.5707799757131271,0.7058882637664323
djo,estimates,uncertain,SSP1,rcp60,195,CHL,2,1p5,NA,4.035105286307018,5.039381762891179,65.02737478288871
djo,estimates,uncertain,SSP1,rcp60,195,CHL,NA,NA,3,8.585609138769637,10.347451871677535,155.47036304777237
djo,estimates,uncertain,SSP1,rcp60,195,CPV,2,1p5,NA,0.023556143813959537,0.035830009470278534,0.0546855785522627
djo,estimates,uncertain,SSP1,rcp60,195,CPV,NA,NA,3,0.03405515122944021,0.04860613833201291,0.06292315745307786
djo,estimates,uncertain,SSP1,rcp60,195,DJI,2,1p5,NA,0.04425622230086805,0.06937240055950317,0.1271226934609475
djo,estimates,uncertain,SSP1,rcp60,195,DJI,NA,NA,3,0.07876145457803276,0.09737282643200952,0.12663739456696504
djo,estimates,uncertain,SSP1,rcp60,195,FJI,2,1p5,NA,0.03242105155020438,0.04177424820892133,0.07695467525666787
djo,estimates,uncertain,SSP1,rcp60,195,FJI,NA,NA,3,0.05545884457724163,0.06914331511462793,0.08745235044741549
djo,estimates,uncertain,SSP1,rcp60,195,IRL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,IRL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,MUS,2,1p5,NA,0.21472336823334473,0.24451904222598,0.574720426614059
djo,estimates,uncertain,SSP1,rcp60,195,MUS,NA,NA,3,0.3771409332577933,0.5241350749317751,0.6522544801777777
djo,estimates,uncertain,SSP1,rcp60,195,NCL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,NCL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP1,rcp60,195,NZL,2,1p5,NA,0,0,0
