run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARG,1,0p7,NA,4.697333309754867,13.581340370126432,21.557727964686897
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARG,1,1p5,NA,1.7455283555846801,6.589902431884263,13.900814338913847
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARG,2,0p7,NA,2.38812219211072,6.857743169310953,10.698361574331336
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARG,2,1p5,NA,1.0189579317847448,3.6358332233219492,7.08125738870042
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARG,NA,NA,3,2.9465916137413988,6.76781675643149,8.734824476062892
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARG,NA,NA,5,1.066772550337454,2.666663914693495,3.6892013016244687
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARG,1,0p7,NA,4.6801300127527465,13.62236017934791,21.67605590732245
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARG,1,1p5,NA,1.7454251519692028,6.644701213159301,14.224645564495928
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARG,2,0p7,NA,2.373133051382927,6.853902088501274,10.751226213045308
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARG,2,1p5,NA,1.0130126501008032,3.638076018583057,7.144623427914988
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARG,NA,NA,3,2.923972803864876,6.788263173398277,8.841312006379564
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARG,NA,NA,5,1.0624167009655041,2.7010069069368474,3.762652473513652
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARG,1,0p7,NA,5.772877719711153,16.701709431041614,26.622071641792882
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARG,1,1p5,NA,2.3337212375718184,9.059042566545395,19.740889330939876
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARG,2,0p7,NA,2.8094370348664652,8.078526958175656,12.611258358893448
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARG,2,1p5,NA,1.311633070045772,4.766452645411288,9.499649060828308
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARG,NA,NA,3,3.076304904501092,6.933414662714217,8.828588381175656
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARG,NA,NA,5,1.0538944955479694,2.607234681501943,3.5725224403415172
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARG,1,0p7,NA,5.770325575953651,16.733388258056632,26.775892573944706
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARG,1,1p5,NA,2.342148696895751,9.141785312991173,20.312461389807527
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARG,2,0p7,NA,2.804608422121821,8.095788998479113,12.659058633291652
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARG,2,1p5,NA,1.305585750241041,4.774337379733855,9.623907071361794
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARG,NA,NA,3,3.050114881158362,6.9523288782990695,8.906287316125544
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARG,NA,NA,5,1.0517502542710246,2.637171685764509,3.6465394516294207
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARG,1,0p7,NA,5.772413800461446,16.583566195742126,23.70223293892869
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARG,1,1p5,NA,2.6106432328292626,12.954061111382398,31.711430420691908
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARG,2,0p7,NA,2.8509854515288064,7.812610500069712,11.321384632330357
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARG,2,1p5,NA,1.4280515811809247,6.034924875829592,13.521763743580987
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARG,NA,NA,3,2.8285456641949804,5.46908739433659,6.326009682354037
