run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARM,1,0p7,NA,0.02378012716563543,0.24724038444483873,0.4542823402245327
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARM,1,1p5,NA,0.00605992768189846,0.09672630748156312,0.2966014946645222
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARM,2,0p7,NA,0.012255609929030192,0.1342118190715338,0.24053404273098405
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARM,2,1p5,NA,0.003785382907789879,0.05844084683484508,0.15595168456888114
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARM,NA,NA,3,0.023292745924436697,0.16859362550211432,0.21528243018907195
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ARM,NA,NA,5,0.00790524485918387,0.07015119690179775,0.10212165015960137
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARM,1,0p7,NA,0.02254184857671627,0.24730041902034872,0.4587826649645143
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARM,1,1p5,NA,0.005781448150466687,0.09700114018997899,0.30771289551444875
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARM,2,0p7,NA,0.012187659639516756,0.13379940620191544,0.24215667652025438
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARM,2,1p5,NA,0.003193481329514535,0.05831560977487913,0.15785270902436596
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARM,NA,NA,3,0.022090587003321387,0.16966215714177393,0.22162608531889516
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ARM,NA,NA,5,0.007267566895602095,0.07089098708109355,0.10591533953433131
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARM,1,0p7,NA,0.02715158816672488,0.27781348912839066,0.5125993443925965
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARM,1,1p5,NA,0.007802074827337696,0.13255301702575253,0.44554886529430915
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARM,2,0p7,NA,0.013103396327305448,0.14380598288358634,0.2571944244128155
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARM,2,1p5,NA,0.004961466012835084,0.07596242691463667,0.21515902641614626
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARM,NA,NA,3,0.020729484590320618,0.1440279027728058,0.17966932940930352
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ARM,NA,NA,5,0.00663168201283809,0.058366801549707185,0.08439191279022305
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARM,1,0p7,NA,0.026270019341356567,0.2782750593712769,0.5129474176878707
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARM,1,1p5,NA,0.00792849247696237,0.1336182141776909,0.460108848438934
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARM,2,0p7,NA,0.012783040909890103,0.14301767420496278,0.2581002523766793
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARM,2,1p5,NA,0.004326861516951485,0.07615407204433347,0.21766102751829713
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARM,NA,NA,3,0.01935500862049827,0.14413825476527004,0.1847010116677267
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ARM,NA,NA,5,0.006227794347084329,0.058995985059649654,0.087388864954237
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARM,1,0p7,NA,0.04437829870488269,0.2784692878000948,0.42227968986714265
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARM,1,1p5,NA,0.01293618904014112,0.1862616014935182,0.679800184749543
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARM,2,0p7,NA,0.02149625132876567,0.14051015666122854,0.2203618184763782
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARM,2,1p5,NA,0.007506896303645497,0.09445080783016017,0.29939623484793804
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARM,NA,NA,3,0.031353823556427296,0.1167783841052324,0.13180773626907863
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ARM,NA,NA,5,0.00970229180154562,0.05174352537448498,0.07021227064719449
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ARM,1,0p7,NA,0.03895754382695229,0.38765850129356033,0.6454414938918647
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ARM,1,1p5,NA,0.015329995893165754,0.298174562472944,0.9189761951975847
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ARM,2,0p7,NA,0.017383277487639907,0.18356108159588,0.30931534294058566
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ARM,2,1p5,NA,0.008199153431288821,0.1427727116341335,0.39941954256718404
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ARM,NA,NA,3,0.017709868823502516,0.12494905586250529,0.15791090275404493
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ARM,NA,NA,5,0.0059589580724693164,0.05205271517764959,0.07587753290050775
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ARM,1,0p7,NA,0.06629024001002606,0.37132842915269176,0.5194283135660975
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ARM,1,1p5,NA,0.02704695761764603,0.4231694681649812,1.452197544517689
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ARM,2,0p7,NA,0.027330831475272536,0.17422751167720868,0.26010218237428945
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ARM,2,1p5,NA,0.013997476216257168,0.18510625314690585,0.5810443868222587
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ARM,NA,NA,3,0.026334587939503256,0.10166629298836642,0.11727264861083933
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ARM,NA,NA,5,0.0084900597643825515,0.046187663645529765,0.06366604345928858
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ARM,1,0p7,NA,0.021494528025537824,0.2259827414460943,0.41543785432269553
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ARM,1,1p5,NA,0.006362744511693662,0.10192108449887942,0.31627337619591855
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ARM,2,0p7,NA,0.01109612187280703,0.12163478778991996,0.2186720877751528
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ARM,2,1p5,NA,0.003947682347320786,0.06145359530654616,0.1647054873944827
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ARM,NA,NA,3,0.018361586172797352,0.13346264723151252,0.17064043856578706
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ARM,NA,NA,5,0.006394557720846508,0.05604505470395994,0.08203902627988634
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ARM,1,0p7,NA,0.020403996419714316,0.22519213249073833,0.4188196419809122
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ARM,1,1p5,NA,0.005995230375800355,0.10237570821441905,0.3286560604634703
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ARM,2,0p7,NA,0.011034459665988273,0.12132412760223199,0.22025023173529443
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ARM,2,1p5,NA,0.0033125569266870517,0.061236650673616375,0.1668485830474353
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ARM,NA,NA,3,0.01748452208583144,0.13421823878590128,0.17547274273709895
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ARM,NA,NA,5,0.005671858298108214,0.05659906874382445,0.08501778143655898
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,ARM,1,0p7,NA,0.02018709639244197,0.21739325930735343,0.39542625472756254
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,ARM,1,1p5,NA,0.0044399278606812535,0.06740793939553134,0.18591180251603967
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,ARM,2,0p7,NA,0.011160717042486267,0.1218851537256159,0.21834174479100574
