run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AUT,2,1p5,NA,0.07092756051442302,2.4238183752089166,6.57358290163055
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AUT,NA,NA,3,0.13301754286582126,1.7942490107351463,2.3840524201288464
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AUT,2,1p5,NA,0.07151926071108201,2.4802163308410297,6.720953487447171
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AUT,NA,NA,3,0.13398082683011847,1.774378945962044,2.3764654378084353
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AUT,2,1p5,NA,0.06885319103518565,2.3145659180459752,6.316003805688094
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AUT,NA,NA,3,0.1351702231738117,1.7636008692779583,2.331579183148998
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AUT,2,1p5,NA,0.06821046361282591,2.361770846464584,6.457567887919717
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AUT,NA,NA,3,0.13739213594382665,1.7507055229031,2.3179241370912216
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AUT,2,1p5,NA,0.14896822558521086,2.8454903790561317,8.688044184440088
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AUT,NA,NA,3,0.2766569414449334,1.4738354322291816,1.7614655564143067
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AUT,2,1p5,NA,0.05381581333388349,1.8034953964560798,4.663748563819112
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AUT,NA,NA,3,0.06428842145304128,1.0897638738171447,1.549007792061574
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AUT,2,1p5,NA,0.11731861491098486,2.0903467244052454,6.260794960880943
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AUT,NA,NA,3,0.1309177672463405,0.947306948264424,1.2566947598577942
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AUT,2,1p5,NA,0.0582933922143094,1.939281642227329,5.2691936233092855
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AUT,NA,NA,3,0.1160755425537135,1.6463366538577642,2.214268514907383
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,AUT,2,1p5,NA,0.05673380327015325,1.9741757601897207,5.370333102159108
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,AUT,NA,NA,3,0.11550258673745066,1.631062339819626,2.2143524818460305
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,AUT,2,1p5,NA,0.07858094357789332,2.569603240101888,7.5851380184012696
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,AUT,NA,NA,3,0.28201969298802193,3.0140858166951516,3.6894978515711054
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,AUT,2,1p5,NA,0.17201534875472618,3.3089447219309682,10.444187127833393
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,AUT,NA,NA,3,0.5644670827209944,2.398474060852668,2.60810048313519
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,AUT,2,1p5,NA,0.0830253771395142,2.2708743928392066,6.435164106347107
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,AUT,NA,NA,3,0.14899620883671605,1.6155028327869636,2.4684245241590683
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,AUT,2,1p5,NA,0.07173392983185066,2.211908876250611,6.240333450170418
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,AUT,NA,NA,3,0.10913586377226857,1.6172681858128366,2.3358336990234716
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,AUT,2,1p5,NA,0.14969151166916408,2.7785503395903475,8.70293869188326
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,AUT,NA,NA,3,0.26973713074479466,1.360163646986849,1.9063741101911216
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,AUT,2,1p5,NA,0.06736060580306107,2.1866566789144652,6.211931291471856
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,AUT,NA,NA,3,0.1537595896267427,1.5973326579958884,2.419491909336609
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,AUT,2,1p5,NA,0.08130266074644214,2.1235165053313616,6.059537347676474
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,AUT,NA,NA,3,0.1449344958875134,1.5916624885117447,2.284780750769337
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,AUT,2,1p5,NA,0.16083637219876737,2.690140275971425,8.432395827549643
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,AUT,NA,NA,3,0.2825660438605849,1.3320182384204582,1.8541136204268094
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,AUT,2,1p5,NA,0.05845522031027918,1.696143457566546,4.56239872716179
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,AUT,NA,NA,3,0.06985254559558214,1.0114246779367346,1.5815561930074096
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,AUT,2,1p5,NA,0.04472775971230062,1.6342242512696663,4.419253227749944
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,AUT,NA,NA,3,0.06433912479223566,0.9980127719703896,1.5020644668919068
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,AUT,2,1p5,NA,0.11059674630251233,1.97093904723884,6.113201793343371
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,AUT,NA,NA,3,0.11993484710794773,0.881301215552879,1.2921718373261422
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,AUT,2,1p5,NA,0.05197392118482872,1.8390286347606115,5.173687405353938
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,AUT,NA,NA,3,0.14838693409974824,1.4980553489911344,2.2940775397104014
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,AUT,2,1p5,NA,0.06228507168178925,1.774764228028727,4.9848974350173805
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,AUT,NA,NA,3,0.11219192269937821,1.4900522008161847,2.161883209789294
bhm_lr,bootstrap,uncertain,SSP4,rcp85,329670,AUT,2,1p5,NA,0.1396102104078396,2.240766572799939,6.9053202717212825
bhm_lr,bootstrap,uncertain,SSP4,rcp85,329670,AUT,NA,NA,3,0.23770564952946152,1.266259454912226,1.7855714673140348
bhm_lr,bootstrap,uncertain,SSP5,rcp45,299700,AUT,2,1p5,NA,0.06779032525156549,2.413593920241042,7.287384215091873
bhm_lr,bootstrap,uncertain,SSP5,rcp45,299700,AUT,NA,NA,3,0.2386529187530347,2.629881689396091,3.9395642577049372
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,AUT,2,1p5,NA,0.07978965424154648,2.3387099886723677,7.224786098471571
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,AUT,NA,NA,3,0.26430800024078843,2.632409089445925,3.6839340530131737
bhm_lr,bootstrap,uncertain,SSP5,rcp85,329670,AUT,2,1p5,NA,0.17484020489981691,3.079707664531967,10.026094392857916
bhm_lr,bootstrap,uncertain,SSP5,rcp85,329670,AUT,NA,NA,3,0.5249626003148224,2.106441847825403,2.833564554940228
bhm_lr,estimates,expected,SSP1,rcp45,1,AUT,2,1p5,NA,NA,2.520037131099728,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,AUT,NA,NA,3,NA,1.8230389267234173,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,AUT,2,1p5,NA,NA,2.5817320574007456,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,AUT,NA,NA,3,NA,1.8045291860518984,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,AUT,2,1p5,NA,NA,2.4004024299388287,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,AUT,NA,NA,3,NA,1.7962211683894196,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,AUT,2,1p5,NA,NA,2.457489360545055,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,AUT,NA,NA,3,NA,1.7762339719846107,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,AUT,2,1p5,NA,NA,2.962854955103843,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,AUT,NA,NA,3,NA,1.486047135817268,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,AUT,2,1p5,NA,NA,1.866943583780906,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,AUT,NA,NA,3,NA,1.1059364626309722,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,AUT,2,1p5,NA,NA,2.1851485626060256,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,AUT,NA,NA,3,NA,0.9602822151304026,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,AUT,2,1p5,NA,NA,2.012929175664373,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,AUT,NA,NA,3,NA,1.6723434957103225,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,AUT,2,1p5,NA,NA,2.0536197464335437,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,AUT,NA,NA,3,NA,1.6572712899693485,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,AUT,2,1p5,NA,NA,2.664192358333965,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,AUT,NA,NA,3,NA,3.0551686932677846,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,AUT,2,1p5,NA,NA,3.4921998244546635,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,AUT,NA,NA,3,NA,2.426780963922884,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,300,AUT,2,1p5,NA,1.9196445418893493,2.4782901955469243,3.177000327921915
bhm_lr,estimates,uncertain,SSP1,rcp45,300,AUT,NA,NA,3,1.4454385922779924,1.8124060409781881,2.151571949079348
bhm_lr,estimates,uncertain,SSP1,rcp60,210,AUT,2,1p5,NA,1.8595970184913715,2.36888312768487,3.0999733651562194
bhm_lr,estimates,uncertain,SSP1,rcp60,210,AUT,NA,NA,3,1.4800383664161898,1.6765514542904834,2.0090809376979513
bhm_lr,estimates,uncertain,SSP2,rcp45,300,AUT,2,1p5,NA,1.8362702493783702,2.3621102236713676,3.0339130187705905
bhm_lr,estimates,uncertain,SSP2,rcp45,300,AUT,NA,NA,3,1.420218412910928,1.7868650199557121,2.1228281914033946
bhm_lr,estimates,uncertain,SSP2,rcp60,210,AUT,2,1p5,NA,1.7768416270515375,2.253469051066059,2.9791573716988484
bhm_lr,estimates,uncertain,SSP2,rcp60,210,AUT,NA,NA,3,1.4555599790827405,1.6523495903440057,1.980869330298272
bhm_lr,estimates,uncertain,SSP2,rcp85,330,AUT,2,1p5,NA,2.175758896693253,2.885845034410488,3.8215473650401948
bhm_lr,estimates,uncertain,SSP2,rcp85,330,AUT,NA,NA,3,1.239622706910396,1.4689610470921413,1.738275670640324
bhm_lr,estimates,uncertain,SSP3,rcp45,300,AUT,2,1p5,NA,1.4471917873825242,1.809276347490416,2.291100713737518
bhm_lr,estimates,uncertain,SSP3,rcp45,300,AUT,NA,NA,3,0.8807734232070822,1.0932747709353208,1.2956175177860942
bhm_lr,estimates,uncertain,SSP3,rcp85,330,AUT,2,1p5,NA,1.630892692597771,2.125784465621478,2.7945361377453666
