run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AZE,2,1p5,NA,0.12755988918730968,0.5851248839855622,1.396573724329241
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,AZE,NA,NA,3,0.31750491121261243,0.6968512748715104,0.8118458156865918
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AZE,2,1p5,NA,0.1250899898574176,0.581889416940328,1.3816934855204104
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,AZE,NA,NA,3,0.3115504096829882,0.7066619540727265,0.840806344459217
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AZE,2,1p5,NA,0.16602327706602804,0.7831273662254615,1.8539337113970755
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,AZE,NA,NA,3,0.29479453572066405,0.6358820897671801,0.7346331979100876
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AZE,2,1p5,NA,0.1618990461639543,0.7784307327052131,1.8434595780533243
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,AZE,NA,NA,3,0.28828909564073957,0.6451172067115293,0.7585772360009259
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AZE,2,1p5,NA,0.19799039510262528,1.0214621041092053,2.5685525070816575
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,AZE,NA,NA,3,0.2798810976147296,0.499417066236998,0.5320371950097751
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AZE,2,1p5,NA,0.2791538737165465,1.324248916953464,3.013034766147788
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,AZE,NA,NA,3,0.1996315667961662,0.45635942332611845,0.5510114089077063
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AZE,2,1p5,NA,0.345921994652479,1.6796557804517351,4.419588560814285
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,AZE,NA,NA,3,0.1938009797794719,0.3687049597994059,0.4212029853564341
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AZE,2,1p5,NA,0.12970939424607336,0.5967596712129426,1.3990471015956418
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,AZE,NA,NA,3,0.26243179988157506,0.5841934542727139,0.6912206426367087
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,AZE,2,1p5,NA,0.1270663080060974,0.5931385511262154,1.3840538091022465
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,AZE,NA,NA,3,0.25816539852795317,0.5923569544906518,0.7120629315474883
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,AZE,2,1p5,NA,0.10810714718763437,0.4797198938392075,1.088927813426321
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,AZE,NA,NA,3,0.5104257197482314,1.0679890502788574,1.1887970477777425
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,AZE,2,1p5,NA,0.13004819368965373,0.5931414518087371,1.5544690005259507
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,AZE,NA,NA,3,0.4810243953508569,0.7920833879207306,0.8415654605052952
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,AZE,2,1p5,NA,0.12839878823764672,0.5503889797525408,1.344891049746284
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,AZE,NA,NA,3,0.30427151230875377,0.639874124970197,0.8509082570302866
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,AZE,2,1p5,NA,0.11704327059309223,0.5231734152379349,1.2771852090284352
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,AZE,NA,NA,3,0.28583692435683006,0.6427109963757612,0.8274464324616038
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,AZE,2,1p5,NA,0.1482680693658185,0.7162066129462943,1.8737822777840862
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,AZE,NA,NA,3,0.28976112464814874,0.5143120880481158,0.6257922239538376
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,AZE,2,1p5,NA,0.16372152055023537,0.7398344468690697,1.7839763519087337
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,AZE,NA,NA,3,0.27463966422566743,0.5802923185894083,0.7728091825022719
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,AZE,2,1p5,NA,0.15296207615409363,0.6883115546855492,1.6896947306519658
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,AZE,NA,NA,3,0.266104503062614,0.5897373152107921,0.7509627490349534
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,AZE,2,1p5,NA,0.19300231703828657,0.9766725879573906,2.5359407437559423
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,AZE,NA,NA,3,0.2697688726657046,0.46434968335225973,0.5651881114560179
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,AZE,2,1p5,NA,0.27516022034519827,1.2455924461572394,2.9610037128497404
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,AZE,NA,NA,3,0.19176443879187444,0.41996464988801896,0.5684248121322548
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,AZE,2,1p5,NA,0.2609038899503172,1.1716203159747036,2.764803686268653
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,AZE,NA,NA,3,0.1839515890277087,0.421755774482256,0.5567132223612099
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,AZE,2,1p5,NA,0.33533669947905054,1.5764748759734377,4.426637895478855
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,AZE,NA,NA,3,0.18729331143070885,0.34934402012365745,0.4344370312113473
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,AZE,2,1p5,NA,0.12864319553618098,0.5608947098319608,1.3616775463777209
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,AZE,NA,NA,3,0.250845089476478,0.5358356393659658,0.7188661198535549
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,AZE,2,1p5,NA,0.12002476657767155,0.5345352821237089,1.2817044441441077
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,AZE,NA,NA,3,0.23651744103156294,0.5395604245328168,0.6996313506996205
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,AZE,2,1p5,NA,0.14817688295104406,0.7270731496345246,1.871982558113765
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,AZE,NA,NA,3,0.24562988788031673,0.4384688992456358,0.5359418666619836
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,AZE,2,1p5,NA,0.1113548124854051,0.45743246270762983,1.059412139844668
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,AZE,NA,NA,3,0.4812620221994369,0.966733539539198,1.2776072878051357
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,AZE,2,1p5,NA,0.10094319424133422,0.4269099436146313,0.9863567437322366
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,AZE,NA,NA,3,0.4595620243004358,0.982178463171291,1.2308803365151604
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,AZE,2,1p5,NA,0.12260609661850538,0.5557530309082611,1.5637047161268252
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,AZE,NA,NA,3,0.46683568696632877,0.7455629985368766,0.9118152469943455
bhm_lr,estimates,expected,SSP1,rcp45,1,AZE,2,1p5,NA,NA,0.5930194139941722,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,AZE,NA,NA,3,NA,0.6979593250669475,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,AZE,2,1p5,NA,NA,0.5892904758515942,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,AZE,NA,NA,3,NA,0.7064064537044896,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,AZE,2,1p5,NA,NA,0.7935643619667322,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,AZE,NA,NA,3,NA,0.6377460272405344,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,AZE,2,1p5,NA,NA,0.7911447767300364,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,AZE,NA,NA,3,NA,0.644448105279445,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,AZE,2,1p5,NA,NA,1.021508222481608,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,AZE,NA,NA,3,NA,0.4978084062666211,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,AZE,2,1p5,NA,NA,1.333724058052518,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,AZE,NA,NA,3,NA,0.4559019942862634,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,AZE,2,1p5,NA,NA,1.6670704305873214,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,AZE,NA,NA,3,NA,0.36880478540207784,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,AZE,2,1p5,NA,NA,0.6048326262007884,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,AZE,NA,NA,3,NA,0.5847971582476991,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,AZE,2,1p5,NA,NA,0.6009118006678632,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,AZE,NA,NA,3,NA,0.5919196553032575,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,AZE,2,1p5,NA,NA,0.48639882626745695,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,AZE,NA,NA,3,NA,1.071587001773446,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,AZE,2,1p5,NA,NA,0.5901987785022225,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,AZE,NA,NA,3,NA,0.8157787542288407,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,AZE,2,1p5,NA,0.45891213722194235,0.553012520988102,0.7509592388708439
bhm_lr,estimates,uncertain,SSP1,rcp45,315,AZE,NA,NA,3,0.5762898584241131,0.6819868909647505,0.8165267173638825
bhm_lr,estimates,uncertain,SSP1,rcp60,210,AZE,2,1p5,NA,0.43536575704613356,0.5041744369562486,0.7686444925746558
bhm_lr,estimates,uncertain,SSP1,rcp60,210,AZE,NA,NA,3,0.5964829103718635,0.668736183549027,0.7736402882529001
bhm_lr,estimates,uncertain,SSP2,rcp45,315,AZE,2,1p5,NA,0.601789097432803,0.7411764744006023,1.0126634982013323
bhm_lr,estimates,uncertain,SSP2,rcp45,315,AZE,NA,NA,3,0.5269837272775856,0.6234422383128202,0.7478050351358461
bhm_lr,estimates,uncertain,SSP2,rcp60,210,AZE,2,1p5,NA,0.5746911922006197,0.6645482977845069,1.0491939073432999
bhm_lr,estimates,uncertain,SSP2,rcp60,210,AZE,NA,NA,3,0.5449133546112527,0.6119409604346553,0.7070763552783754
bhm_lr,estimates,uncertain,SSP2,rcp85,345,AZE,2,1p5,NA,0.7665379840534502,0.974312978797748,1.350458883328179
bhm_lr,estimates,uncertain,SSP2,rcp85,345,AZE,NA,NA,3,0.43005979531840555,0.4843162389677898,0.5689823735267974
bhm_lr,estimates,uncertain,SSP3,rcp45,315,AZE,2,1p5,NA,1.0182713607335339,1.2556527186726385,1.668453084973015
bhm_lr,estimates,uncertain,SSP3,rcp45,315,AZE,NA,NA,3,0.377039371068107,0.44475196020793417,0.531358916413888
bhm_lr,estimates,uncertain,SSP3,rcp85,345,AZE,2,1p5,NA,1.234101719753275,1.5859092897815015,2.2532918526275396
bhm_lr,estimates,uncertain,SSP3,rcp85,345,AZE,NA,NA,3,0.31570884008749817,0.3600294966074022,0.421135475483302
bhm_lr,estimates,uncertain,SSP4,rcp45,315,AZE,2,1p5,NA,0.46765844015313507,0.5637900708173399,0.76475771957413885
bhm_lr,estimates,uncertain,SSP4,rcp45,315,AZE,NA,NA,3,0.48417440538496265,0.57180225945456,0.683566102615174
