run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BTN,1,0p7,NA,0.09934787439110722,0.2888269082166945,0.4502785854157601
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BTN,1,1p5,NA,0.02175564887192813,0.08749717361313522,0.20006851544568063
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BTN,2,0p7,NA,0.05206454335589917,0.1484177776294008,0.2268237418426048
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BTN,2,1p5,NA,0.013174890672752309,0.049833940332879294,0.10418505941315885
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BTN,NA,NA,3,0.10890976260146662,0.22486607795984956,0.2590258266276543
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,BTN,NA,NA,5,0.03653828367657364,0.08365450396654495,0.10636375908060872
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BTN,1,0p7,NA,0.09977034042968265,0.2911010214315071,0.45412020338896647
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BTN,1,1p5,NA,0.021571734160612536,0.08738239050588428,0.2018004899229543
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BTN,2,0p7,NA,0.05235488906507701,0.14907133834320915,0.2287063271913877
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BTN,2,1p5,NA,0.01290772316940341,0.04953988769885519,0.10372292549213565
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BTN,NA,NA,3,0.10835065174505057,0.22828250445677822,0.26861741197909533
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,BTN,NA,NA,5,0.03684654326370003,0.08555895261977498,0.11069774702133782
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BTN,1,0p7,NA,0.12220390022818273,0.3572992369712067,0.5577115167692867
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BTN,1,1p5,NA,0.02823287317869914,0.11639582420357737,0.27323207315636033
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BTN,2,0p7,NA,0.06190643691120526,0.17655226288177123,0.2697153561710463
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BTN,2,1p5,NA,0.016759617123211744,0.06427036745255439,0.13716373790768566
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BTN,NA,NA,3,0.11906039970004421,0.23900681497317922,0.26755535708765743
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,BTN,NA,NA,5,0.037326410365883064,0.08400449914305803,0.10468073934004507
