run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CAF,2,1p5,NA,0.0031183136949269577,0.02073751702038878,0.04558919281572584
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CAF,NA,NA,3,0.16493065184694453,0.38302188983131225,0.4200019496078448
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CAF,2,1p5,NA,0.0031027662273020317,0.020343306287418116,0.04445051290922168
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CAF,NA,NA,3,0.1656740423930237,0.3956395336141384,0.43034297210404115
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CAF,2,1p5,NA,0.004760880815718281,0.03298163974131444,0.07590042226928483
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CAF,NA,NA,3,0.10504901334827917,0.23835085276710005,0.26165383927588654
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CAF,2,1p5,NA,0.0047458795716457955,0.03246597748257214,0.07411912136864927
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CAF,NA,NA,3,0.10577132616954844,0.24507652896470192,0.26763716038660107
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CAF,2,1p5,NA,0.0048712138102573795,0.04023389033089642,0.1403385290116483
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CAF,NA,NA,3,0.08375881549859984,0.14477923220821073,0.16910026955325327
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CAF,2,1p5,NA,0.009232656403915683,0.07453495316671055,0.2020760973970457
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CAF,NA,NA,3,0.03367176665385811,0.0857069437090492,0.09241142630080532
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CAF,2,1p5,NA,0.009602447093222458,0.10824454771960892,0.34342234995079124
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CAF,NA,NA,3,0.028337038706992147,0.05846923135325035,0.0626793832683545
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CAF,2,1p5,NA,0.012185617761594004,0.10844221343364441,0.26580369541105237
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,CAF,NA,NA,3,0.0200588257130081,0.05679415041420139,0.06089129173558606
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CAF,2,1p5,NA,0.012138128953213579,0.10746171273133467,0.26271144343740066
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,CAF,NA,NA,3,0.020032597639036875,0.058565984555227504,0.0641068257117282
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CAF,2,1p5,NA,0.002661601188975355,0.017429768889645314,0.03723132228411477
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,CAF,NA,NA,3,0.27362548504497225,0.6236781426623242,0.6864553487648873
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CAF,2,1p5,NA,0.002753005407042402,0.02000549062806635,0.05469018018307008
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,CAF,NA,NA,3,0.2083672717683462,0.3762985989135528,0.4424147861463825
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,CAF,2,1p5,NA,0.003048814504398892,0.019740523449266308,0.04630934855348654
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,CAF,NA,NA,3,0.15631545786702558,0.3718262452607227,0.4818310496358739
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,CAF,2,1p5,NA,0.0030201305370422273,0.018554241885222963,0.041876893516221605
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,CAF,NA,NA,3,0.15115267063615126,0.38257527460296037,0.4541657281114627
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,CAF,2,1p5,NA,0.0032590424117075662,0.02294209530072067,0.07043465433728417
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,CAF,NA,NA,3,0.12097041852969538,0.23331573578495213,0.3032072783761886
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,CAF,2,1p5,NA,0.004952601498696267,0.031332770189644935,0.07620096443616561
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,CAF,NA,NA,3,0.0994430995824919,0.2314587356746163,0.2995236734650308
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,CAF,2,1p5,NA,0.00468796610184689,0.029352323551013297,0.06929953968517996
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,CAF,NA,NA,3,0.09773858309892806,0.23745870675713385,0.2823071470782354
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,CAF,2,1p5,NA,0.0046410198824503365,0.037587310447783566,0.13371879258295022
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,CAF,NA,NA,3,0.07537100492892532,0.14342881307477992,0.18700378324348513
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,CAF,2,1p5,NA,0.00927489039269223,0.06936249984466078,0.20055156100378788
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,CAF,NA,NA,3,0.032296970366948494,0.0817425125798011,0.10575614135430501
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,CAF,2,1p5,NA,0.008414874863850471,0.064789385583921,0.185245140107817
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,CAF,NA,NA,3,0.03169736690882849,0.08513532481805412,0.10071738573456047
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,CAF,2,1p5,NA,0.008890782157544588,0.09897864780605824,0.33205976836116574
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,CAF,NA,NA,3,0.027879475461455624,0.05580751005080795,0.07056452361517017
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,CAF,2,1p5,NA,0.012381657553678344,0.10013682504260268,0.26666775402140974
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,CAF,NA,NA,3,0.019974508814990098,0.05299780276652132,0.06910171238303439
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,CAF,2,1p5,NA,0.01213207300630107,0.09634084641455025,0.2444182476093366
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,CAF,NA,NA,3,0.018049559700193885,0.05528053410382621,0.06650253216816393
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,CAF,2,1p5,NA,0.011946811376566377,0.13138323638176744,0.4493797833162737
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,CAF,NA,NA,3,0.017929028933126537,0.038899247475507215,0.048743148375227134
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,CAF,2,1p5,NA,0.002701136266478138,0.016607794848140425,0.03728989348822891
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,CAF,NA,NA,3,0.2592749300936166,0.6050008697650504,0.7875570405866724
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,CAF,2,1p5,NA,0.002633702888371603,0.015873426555674308,0.03451673164009991
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,CAF,NA,NA,3,0.24396124729931784,0.620701100188434,0.7379517669477336
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,CAF,2,1p5,NA,0.0026187257815747807,0.01895260259168787,0.05319855593528927
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,CAF,NA,NA,3,0.18245058370689507,0.3712372128260609,0.48806678343478044
bhm_lr,estimates,expected,SSP1,rcp45,1,CAF,2,1p5,NA,NA,0.019551771921966766,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,CAF,NA,NA,3,NA,0.416624507712179,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,CAF,2,1p5,NA,NA,0.01925002224788947,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,CAF,NA,NA,3,NA,0.4241081355458735,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,CAF,2,1p5,NA,NA,0.03090521432755884,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,CAF,NA,NA,3,NA,0.2609087537126555,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,CAF,2,1p5,NA,NA,0.030420187095791047,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,CAF,NA,NA,3,NA,0.2651907411549731,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,CAF,2,1p5,NA,NA,0.03716712436833589,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,CAF,NA,NA,3,NA,0.17108519223272442,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,CAF,2,1p5,NA,NA,0.0692021085102819,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,CAF,NA,NA,3,NA,0.0890573407365581,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,CAF,2,1p5,NA,NA,0.0997204970635711,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,CAF,NA,NA,3,NA,0.06330460757142786,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,CAF,2,1p5,NA,NA,0.10114642485509397,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,CAF,NA,NA,3,NA,0.05631220340375965,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,CAF,2,1p5,NA,NA,0.10026203416554103,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,CAF,NA,NA,3,NA,0.05775923643635334,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,CAF,2,1p5,NA,NA,0.01639148288120605,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,CAF,NA,NA,3,NA,0.6844338917956795,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,CAF,2,1p5,NA,NA,0.018634237738275963,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,CAF,NA,NA,3,NA,0.4477318597629995,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,CAF,2,1p5,NA,0.015389061433904101,0.019393209829198146,0.024567063050828966
bhm_lr,estimates,uncertain,SSP1,rcp45,315,CAF,NA,NA,3,0.3544671097862834,0.43328498430162043,0.5016168890910708
bhm_lr,estimates,uncertain,SSP1,rcp60,210,CAF,2,1p5,NA,0.015105427163200512,0.017862341095652958,0.022449079029518405
bhm_lr,estimates,uncertain,SSP1,rcp60,210,CAF,NA,NA,3,0.378103209663524,0.41687204275591255,0.46086263675331646
bhm_lr,estimates,uncertain,SSP2,rcp45,315,CAF,2,1p5,NA,0.02388715814500526,0.030504420102918296,0.03928268396120758
bhm_lr,estimates,uncertain,SSP2,rcp45,315,CAF,NA,NA,3,0.22248284040692906,0.27207610101418794,0.3152563618811484
bhm_lr,estimates,uncertain,SSP2,rcp60,210,CAF,2,1p5,NA,0.023576153518545997,0.02777703022827604,0.035733052220212655
bhm_lr,estimates,uncertain,SSP2,rcp60,210,CAF,NA,NA,3,0.23724983767555138,0.2603591233079631,0.2894692377562265
bhm_lr,estimates,uncertain,SSP2,rcp85,345,CAF,2,1p5,NA,0.028533842582220272,0.034143018092636514,0.04911862746440117
bhm_lr,estimates,uncertain,SSP2,rcp85,345,CAF,NA,NA,3,0.14653573514227755,0.17050983060837296,0.2062826159241339
bhm_lr,estimates,uncertain,SSP3,rcp45,315,CAF,2,1p5,NA,0.05065571448447639,0.06619904975265664,0.09384865810778384
