run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHL,1,0p7,NA,0.7754737509929788,4.3018006775735165,7.850553501539134
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHL,1,1p5,NA,0.2656810901780454,1.9132394020525687,4.729723760155437
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHL,2,0p7,NA,0.39861264308660294,2.217697451288874,3.9813088254709146
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHL,2,1p5,NA,0.15271476327821687,1.0903401245472644,2.4970542983602355
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHL,NA,NA,3,0.5318619920718147,2.3652342362564927,3.393395283612233
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHL,NA,NA,5,0.18243185777764448,0.9227001646518316,1.4386466129944806
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHL,1,0p7,NA,0.7672909897283425,4.3137133791108075,7.903841547233765
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHL,1,1p5,NA,0.25292685525927644,1.9097868831642062,4.740265687424213
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHL,2,0p7,NA,0.39161601095452947,2.2219455592198423,4.000367300742813
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHL,2,1p5,NA,0.14196135062792983,1.0847248435268375,2.4857051787186437
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHL,NA,NA,3,0.5207214475526395,2.380905953710432,3.4689858616931053
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHL,NA,NA,5,0.1671151762398445,0.9297591014697819,1.4744451450173142
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHL,1,0p7,NA,0.9327967343456897,5.1615447801507,9.445134060534146
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHL,1,1p5,NA,0.33172673918442813,2.421118509209693,6.117172339121476
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHL,2,0p7,NA,0.4615847714408741,2.5530130101065502,4.583086090469924
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHL,2,1p5,NA,0.1878638030551304,1.335914306528911,3.108198675647887
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHL,NA,NA,3,0.574026588330158,2.488546550419803,3.496728483343756
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHL,NA,NA,5,0.18682455938239137,0.9119834434731021,1.4011271619373737
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHL,1,0p7,NA,0.9246680883078859,5.182452939722182,9.506251616436275
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHL,1,1p5,NA,0.3205496475614212,2.413829379247093,6.142407567499464
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHL,2,0p7,NA,0.4551434629447411,2.560636355233712,4.609418261074407
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHL,2,1p5,NA,0.17618913353069432,1.3285505280914556,3.098428968713134
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHL,NA,NA,3,0.566397761772743,2.4976603626405356,3.559088585306738
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHL,NA,NA,5,0.17308589506429,0.9188965514622299,1.435881973050223
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHL,1,0p7,NA,1.1175614220826195,5.216226037427844,8.790292101964043
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHL,1,1p5,NA,0.4018414170821648,3.1150179091134187,9.425960925692134
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHL,2,0p7,NA,0.5299331404651654,2.5468183322751865,4.235361506400112
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHL,2,1p5,NA,0.21378069359264287,1.5785331893445245,4.203515532758669
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHL,NA,NA,3,0.6360557264915436,2.083341769503536,2.6029750847705544
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHL,NA,NA,5,0.1968900628872961,0.8226295687486628,1.1746660554472839
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHL,1,0p7,NA,1.113557073145342,6.210357978676188,10.929873043466817
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHL,1,1p5,NA,0.6135079820913697,4.890850819875031,12.5406161172756
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHL,2,0p7,NA,0.5148545162677145,2.849745887653383,4.988830229390346
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHL,2,1p5,NA,0.31089530968706963,2.295568730567805,5.46366620802071
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHL,NA,NA,3,0.41330770382493076,1.8188355656566533,2.5894743883001508
