run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHN,1,0p7,NA,95.4189530027458,280.86199406489453,445.81395288786496
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHN,1,1p5,NA,30.21956030875057,123.68990524753013,307.16008810611334
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHN,2,0p7,NA,53.38824437746546,152.07795654047013,237.30438377128465
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHN,2,1p5,NA,18.431698127735547,70.03049784263447,154.34335842050766
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHN,NA,NA,3,82.266936574334,184.1277138163196,228.54629817940025
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CHN,NA,NA,5,34.217641511689884,83.05090903440032,112.529309375126
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHN,1,0p7,NA,96.21320425350426,281.1762630651018,451.85627036125754
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHN,1,1p5,NA,29.582572694900534,121.03075064129256,304.4557518967938
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHN,2,0p7,NA,52.44033363812725,153.55585612181528,239.99414824832607
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHN,2,1p5,NA,17.986166916639323,68.86301276024999,151.9231750421398
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHN,NA,NA,3,83.52144708108658,189.24414454813632,242.50536625404993
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CHN,NA,NA,5,33.52997402516395,85.48043949156947,119.03081597950744
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHN,1,0p7,NA,99.87228851232742,294.41172101249043,469.5979225861767
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHN,1,1p5,NA,37.00485216848238,156.4079374046319,400.22204713621625
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHN,2,0p7,NA,53.92285478686951,153.91624719185245,240.0760223146917
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHN,2,1p5,NA,22.140313507045366,85.51815726757923,192.03049695228654
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHN,NA,NA,3,69.10182256066842,152.5624011840374,186.41568108658245
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CHN,NA,NA,5,27.788022178232975,67.05162003196097,90.42656489065679
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHN,1,0p7,NA,100.80934875178545,295.31794440714305,473.26445096440983
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHN,1,1p5,NA,36.133423098583776,153.45844904423294,395.14570503109894
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHN,2,0p7,NA,53.368354729193634,153.9231903916964,242.69987922059317
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHN,2,1p5,NA,21.535268395911427,83.95627087016918,188.58894395420654
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHN,NA,NA,3,69.95966507591159,156.24948486861481,197.43504146890538
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CHN,NA,NA,5,27.300924934782927,69.01179282800453,95.5280273181527
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHN,1,0p7,NA,103.31278305811432,296.18811808132926,396.67035498392477
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHN,1,1p5,NA,41.3108069074675,243.93364267750755,616.6563768973006
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHN,2,0p7,NA,54.76271125908251,151.93819873595908,211.235120151585
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHN,2,1p5,NA,24.317649141121983,114.74107378721507,268.55919822387375
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHN,NA,NA,3,66.55537017025581,125.29424352108423,144.4308798954981
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CHN,NA,NA,5,27.016864681784877,60.333599908959805,78.00677623950166
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHN,1,0p7,NA,110.76277193194586,327.6324922839721,473.18460785267615
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHN,1,1p5,NA,64.4263996156659,309.04400913525143,674.6623592224591
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHN,2,0p7,NA,55.680268676111005,160.04107261562288,236.24363174870973
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHN,2,1p5,NA,33.71323659727716,142.39403777497418,296.6759901449529
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHN,NA,NA,3,48.67143525071803,109.37801487594929,137.20005298534875
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CHN,NA,NA,5,20.682208071183524,51.209667144628156,70.34930804205277
